lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.563339233398,-87.700424194336,310,120,16166,132367875,,1000,1,1,LTE,,,16166,,,
41.565447,-87.700114,310,260,7195,59223490,,1000,1,1,LTE,,,7195,,,
41.565534,-87.702855,310,410,16661,53833994,,8469,1,1,LTE,,,16661,,,
41.56608581543,-87.696304321289,310,260,7195,46388,,1000,1,1,CDMA,,,,260,7195,46388
41.566126,-87.695817,310,410,16661,54150166,,2414,1,1,LTE,,,16661,,,
41.566429,-87.692883,310,260,41476,27707013,,1049,1,1,LTE,,,41476,,,
41.566558,-87.698682,310,410,16661,54150159,,3031,1,1,LTE,,,16661,,,
41.566922,-87.695419,310,260,41476,5488653,,4263,1,1,LTE,,,41476,,,
41.566976,-87.699192,310,260,41476,5488643,,5590,1,1,LTE,,,41476,,,
41.567459,-87.691635,310,410,16661,55625994,,1000,1,1,LTE,,,16661,,,
41.567459106445,-87.700424194336,310,120,16166,132367887,,1000,1,1,LTE,,,16166,,,
41.567867,-87.696304,310,410,16661,55686166,,1000,1,1,LTE,,,16661,,,
41.568375,-87.699509,310,410,21975,67209641,,1000,1,1,UMTS,,,,,,
41.568695,-87.696665,310,260,41476,5488646,,1006,1,1,LTE,,,41476,,,
41.568832397461,-87.696304321289,310,410,21975,67177293,,1000,1,1,UMTS,,,,,,
41.568832397461,-87.694931030273,310,260,7195,59225396,,1000,1,1,UMTS,,,,,,
41.569972,-87.696091,311,480,51755,51796000,,1000,1,1,LTE,,,51755,,,
41.570206,-87.703171,310,410,21207,15247,,2636,1,1,CDMA,,,,410,21207,15247
41.570206,-87.701926,310,120,16166,132367872,,1000,1,1,LTE,,,16166,,,
41.570206,-87.694931,311,480,51755,128596000,,1000,1,1,LTE,,,51755,,,
41.57061,-87.693962,310,120,16149,132367887,,1000,1,1,LTE,,,16149,,,
41.57065,-87.695374,310,260,41476,5488703,,1000,1,1,LTE,,,41476,,,
41.570958,-87.694493,310,260,41476,5488663,,1000,1,1,LTE,,,41476,,,
