lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.376815795898,-111.77146911621,310,410,45996,9603,,1000,1,1,CDMA,,,,410,45996,9603
40.376816,-111.771469,310,410,49029,40606,,1000,1,1,GSM,,,,,,
40.376926,-111.769127,310,260,11622,44969494,,1000,1,1,LTE,,,11622,,,
40.377045,-111.770325,310,120,22283,182474499,,1000,1,1,LTE,,,22283,,,
40.378189,-111.768036,310,260,39992,22035711,,1000,1,1,UMTS,,,,,,
40.379414,-111.762451,311,490,237,52193,,1000,1,1,LTE,,,237,,,
40.380249,-111.765976,310,4180,87,52049,,1000,1,1,CDMA,,,,4180,87,52049
40.380258,-111.766874,311,480,3329,3451649,,1000,1,1,LTE,,,3329,,,
40.380537,-111.765629,310,410,45996,20609159,,14918,1,1,UMTS,,,,,,
40.380632,-111.762988,310,120,22283,182489346,,5511,1,1,LTE,,,22283,,,
40.380935,-111.763593,310,260,11622,23119637,,12532,1,1,LTE,,,11622,,,
40.380936,-111.769238,310,120,22283,182474511,,1000,1,1,LTE,,,22283,,,
40.382308959961,-111.76872253418,310,120,22283,182474496,,1000,1,1,LTE,,,22283,,,
