lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.508108,-82.646146,310,410,10526,20502033,,4030,1,1,LTE,,,10526,,,
34.508743286133,-82.649459838867,310,139,103,3249,,1000,1,1,CDMA,,,,139,103,3249
34.508919,-82.647909,310,410,10526,22530058,,7579,1,1,LTE,,,10526,,,
34.510313,-82.64279,310,260,31542,15692033,,1000,1,1,LTE,,,31542,,,
34.511292,-82.646965,310,260,31202,46092,,1000,1,1,GSM,,,,,,
34.511393,-82.644173,310,410,10526,20502040,,3107,1,1,LTE,,,10526,,,
34.51213,-82.649037,310,410,8992,218033251,,1000,1,1,UMTS,,,,,,
34.512294,-82.649628,311,480,39186,39206946,,1014,1,1,LTE,,,39186,,,
34.512314,-82.641769,311,480,39186,116006944,,1000,1,1,LTE,,,39186,,,
34.512455,-82.64814,310,260,31595,18092095,,1000,1,1,LTE,,,31595,,,
34.512734,-82.650729,310,410,8992,218033254,,1000,1,1,UMTS,,,,,,
34.51286315918,-82.649459838867,310,139,103,353,,1000,1,1,CDMA,,,,139,103,353
34.513405,-82.64103,310,260,31595,18092041,,2829,1,1,LTE,,,31595,,,
34.514163,-82.651316,310,410,10526,20612119,,4200,1,1,LTE,,,10526,,,
34.514236450195,-82.649459838867,310,260,17796,26670680,,1000,1,1,UMTS,,,,,,
34.514236450195,-82.648086547852,310,260,17796,26617677,,1000,1,1,UMTS,,,,,,
34.51466,-82.647186,311,480,39186,39179277,,2279,1,1,LTE,,,39186,,,
34.515532,-82.648757,311,480,39186,39179276,,2237,1,1,LTE,,,39186,,,
34.515609741211,-82.648086547852,311,480,39186,115979276,,1000,1,1,LTE,,,39186,,,
34.515797,-82.645973,312,530,31595,37056322,,1000,1,1,LTE,,,31595,,,
