lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
42.031631469727,-88.322525024414,310,410,16663,56203543,,1000,1,1,LTE,,,16663,,,
42.031695,-88.320498,310,120,16143,132233479,,1000,1,1,LTE,,,16143,,,
42.032071,-88.3229,310,410,21974,67517532,,1000,1,1,UMTS,,,,,,
42.032089,-88.329849,310,260,7182,85416025,,1000,1,1,UMTS,,,,,,
42.032089,-88.321762,311,870,16143,10602505,,1000,1,1,LTE,,,16143,,,
42.03209,-88.324356,310,260,7182,12612,,1000,1,1,CDMA,,,,260,7182,12612
42.032109,-88.330645,310,410,21974,67527532,,1000,1,1,UMTS,,,,,,
42.032318,-88.327331,310,4384,121,20370,,1000,1,1,CDMA,,,,4384,121,20370
42.032575,-88.320845,310,410,16663,54155536,,1545,1,1,LTE,,,16663,,,
42.033005,-88.320273,311,870,27692,10602496,,1000,1,1,LTE,,,27692,,,
42.033466,-88.320557,310,260,41703,6179350,,1000,1,1,LTE,,,41703,,,
42.034378051758,-88.326644897461,310,260,7183,85416019,,1000,1,1,UMTS,,,,,,
42.03525,-88.321483,310,260,41703,6246659,,1000,1,1,LTE,,,41703,,,
42.035751342773,-88.325271606445,310,410,21974,67540519,,1000,1,1,UMTS,,,,,,
42.03682,-88.329102,310,260,7182,85416019,,7092,1,1,UMTS,,,,,,
42.037124633789,-88.32389831543,310,20,48,4426,,1000,1,1,CDMA,,,,20,48,4426
42.037811,-88.324814,310,410,21974,67540513,,1000,1,1,UMTS,,,,,,
42.038013,-88.326507,310,260,41703,6246669,,1406,1,1,LTE,,,41703,,,
42.038497924805,-88.32389831543,311,480,51975,128852492,,1000,1,1,LTE,,,51975,,,
42.038498,-88.330307,310,410,21974,38439,,1000,1,1,CDMA,,,,410,21974,38439
42.038498,-88.322982,310,410,21974,67517537,,1758,1,1,UMTS,,,,,,
42.039414,-88.325271,310,260,7182,53398,,1000,1,1,CDMA,,,,260,7182,53398
