lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.904541,-86.191452,310,410,65534,48643087,,1000,1,1,UMTS,,,,,,
39.90509,-86.193238,310,260,20407,12412,,1000,1,1,CDMA,,,,260,20407,12412
39.905598,-86.200443,310,410,19979,48753167,,1196,1,1,LTE,,,19979,,,
39.906494,-86.198236,310,410,19979,48753160,,2392,1,1,LTE,,,19979,,,
39.906908,-86.200441,310,120,18691,153107471,,2013,1,1,LTE,,,18691,,,
39.907036,-86.200962,311,480,58635,58624278,,1000,1,1,LTE,,,58635,,,
39.90715,-86.199142,310,260,20499,8607629,,1000,1,1,UMTS,,,,,,
39.90715,-86.198502,310,260,20499,8607634,,1000,1,1,UMTS,,,,,,
39.907150268555,-86.198043823242,310,410,19979,48753374,,1000,1,1,LTE,,,19979,,,
39.907608,-86.201706,310,410,19988,72900456,,1000,1,1,UMTS,,,,,,
39.907833,-86.193901,310,260,42236,8557837,,1000,1,1,LTE,,,42236,,,
39.9079,-86.193413,310,260,42235,26376480,,1000,1,1,LTE,,,42235,,,
39.908582,-86.195998,310,410,19979,48753174,,1269,1,1,LTE,,,19979,,,
39.908619,-86.195984,310,410,19979,49062524,,1000,1,1,LTE,,,19979,,,
39.908691,-86.19474,310,260,41987,26376480,,1000,1,1,LTE,,,41987,,,
39.90921,-86.191864,310,80,2,816,,1000,1,1,CDMA,,,,80,2,816
39.909554,-86.200905,310,260,41984,6361867,,1000,1,1,LTE,,,41984,,,
39.909896850586,-86.200790405273,310,410,19990,72749387,,1000,1,1,UMTS,,,,,,
39.909896850586,-86.200790405273,310,410,19988,24421,,1000,1,1,CDMA,,,,410,19988,24421
39.909896850586,-86.198043823242,310,410,19990,4421,,1000,1,1,CDMA,,,,410,19990,4421
39.909896850586,-86.195297241211,310,260,20499,8607632,,1000,1,1,UMTS,,,,,,
39.909896850586,-86.193923950195,310,410,19990,72769732,,1000,1,1,UMTS,,,,,,
39.909896850586,-86.193923950195,310,410,19990,72767043,,1000,1,1,UMTS,,,,,,
39.909897,-86.19175,311,480,58635,58636291,,1000,1,1,LTE,,,58635,,,
39.909979,-86.197918,311,480,58635,135424279,,1000,1,1,LTE,,,58635,,,
39.910069,-86.193409,311,480,58635,58636320,,1000,1,1,LTE,,,58635,,,
39.910172,-86.20134,310,410,19988,72900453,,1000,1,1,UMTS,,,,,,
39.910318,-86.192052,310,260,41987,26376450,,3204,1,1,LTE,,,41987,,,
39.910759,-86.196793,310,260,41987,6361867,,2948,1,1,LTE,,,41987,,,
39.910762,-86.191437,310,260,41987,26376461,,1000,1,1,LTE,,,41987,,,
39.910812,-86.201706,310,410,19990,72769384,,1000,1,1,UMTS,,,,,,
39.911099,-86.195812,310,120,18707,153130498,,1000,1,1,LTE,,,18707,,,
39.911229,-86.193996,310,410,19979,49717472,,1000,1,1,LTE,,,19979,,,
39.91127,-86.198044,310,410,19990,72766112,,1000,1,1,UMTS,,,,,,
39.911270141602,-86.199417114258,310,260,20498,15150208,,1000,1,1,UMTS,,,,,,
39.911270141602,-86.199417114258,310,260,20499,22411,,1000,1,1,CDMA,,,,260,20499,22411
39.911270141602,-86.196670532227,310,260,20499,22416,,1000,1,1,GSM,,,,,,
39.911270141602,-86.193923950195,311,480,58635,135436320,,1000,1,1,LTE,,,58635,,,
39.911270141602,-86.193923950195,311,480,58635,135436321,,1000,1,1,LTE,,,58635,,,
39.911270141602,-86.191177368164,310,260,20499,8607627,,1000,1,1,UMTS,,,,,,
39.911416,-86.196644,310,410,19979,48753301,,1000,1,1,LTE,,,19979,,,
39.911473,-86.199741,310,260,20423,41393,,1252,1,1,GSM,,,,,,
39.911632,-86.193779,311,480,58635,58636321,,1000,1,1,LTE,,,58635,,,
39.91174,-86.197743,310,260,41984,6361857,,1000,1,1,LTE,,,41984,,,
39.911821,-86.195197,311,490,222,25425,,2108,1,1,CDMA,,,,490,222,25425
39.911837,-86.199401,310,260,42235,6361867,,1000,1,1,LTE,,,42235,,,
39.911848,-86.19219,310,410,19979,49717272,,2944,1,1,LTE,,,19979,,,
