lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
30.104598999023,-81.83235168457,310,260,21299,8983896,,1000,1,1,UMTS,,,,,,
30.104598999023,-81.830978393555,310,410,12554,230131987,,1000,1,1,LTE,,,12554,,,
30.10494,-81.833505,310,260,32612,18204673,,10619,1,1,LTE,,,32612,,,
30.105207,-81.830632,311,870,32623,78983746,,1000,1,1,LTE,,,32623,,,
30.10521,-81.829601,311,870,32525,78208283,,1000,1,1,LTE,,,32525,,,
30.105363,-81.829653,311,870,32623,78094363,,1000,1,1,LTE,,,32623,,,
30.105445,-81.830517,311,870,32623,77738243,,1000,1,1,LTE,,,32623,,,
30.105537,-81.829674,311,870,32623,77747203,,1000,1,1,LTE,,,32623,,,
30.105972,-81.831665,310,120,9474,77652226,,1000,1,1,LTE,,,9474,,,
30.105972290039,-81.833724975586,310,410,27580,5461,,1000,1,1,UMTS,,,,,,
30.105972290039,-81.833724975586,310,260,21271,5461,,1000,1,1,GSM,,,,,,
30.105972290039,-81.833724975586,310,410,27580,176898321,,1000,1,1,UMTS,,,,,,
30.106068,-81.832878,310,260,65534,18204673,,1000,1,1,UMTS,,,,,,
30.106616,-81.831165,310,260,32612,16621847,,10907,1,1,LTE,,,32612,,,
30.107129,-81.835489,311,480,36608,36741378,,1130,1,1,LTE,,,36608,,,
30.107141,-81.831921,311,870,32623,78998330,,1000,1,1,LTE,,,32623,,,
30.107162,-81.830055,311,870,32623,77667074,,1000,1,1,LTE,,,32623,,,
30.107871,-81.827259,311,870,32623,77738242,,1000,1,1,LTE,,,32623,,,
30.108361,-81.831844,311,870,32623,78983738,,1000,1,1,LTE,,,32623,,,
30.109346,-81.827314,311,870,32623,79078459,,3988,1,1,LTE,,,32623,,,
30.109371,-81.834783,311,870,32623,78983482,,1254,1,1,LTE,,,32623,,,
30.109406,-81.832352,310,4654,21,10355,,1000,1,1,CDMA,,,,4654,21,10355
30.109411,-81.832573,310,410,12554,178690314,,1000,1,1,LTE,,,12554,,,
30.109411,-81.832573,310,410,12554,178729738,,1000,1,1,LTE,,,12554,,,
30.109665,-81.83187,310,260,32612,17276418,,11123,1,1,LTE,,,32612,,,
30.109695,-81.831146,310,410,12554,178729879,,1000,1,1,LTE,,,12554,,,
30.109879,-81.832726,310,410,15998,15539364,,1000,1,1,LTE,,,15998,,,
30.109957,-81.835394,310,410,12554,176898321,,4751,1,1,LTE,,,12554,,,
30.110424,-81.832588,310,120,9475,77738243,,1000,1,1,LTE,,,9475,,,
30.110712,-81.82815,311,870,32623,77652226,,3984,1,1,LTE,,,32623,,,
30.111003,-81.831055,310,410,12554,176937744,,2243,1,1,LTE,,,12554,,,
30.111702,-81.830355,311,870,32623,78983474,,4124,1,1,LTE,,,32623,,,
30.111719,-81.829583,311,870,32525,79106099,,4274,1,1,LTE,,,32525,,,
30.111744,-81.833748,311,870,307,7226,,1000,1,1,LTE,,,307,,,
