lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
28.563766479492,-81.432723999023,310,260,33612,5236,,1000,1,1,CDMA,,,,260,33612,5236
28.563766479492,-81.429977416992,310,260,10798,27125639,,1000,1,1,UMTS,,,,,,
28.564796,-81.43856,311,870,12037,52496386,,1000,1,1,LTE,,,12037,,,
28.565342,-81.431145,310,410,13077,181343405,,1000,1,1,LTE,,,13077,,,
28.565532,-81.430075,310,260,33821,20147224,,1045,1,1,LTE,,,33821,,,
28.565685,-81.43129,310,410,13077,181343383,,1000,1,1,LTE,,,13077,,,
28.565836,-81.430527,310,260,33822,40001560,,1000,1,1,LTE,,,33822,,,
28.566463,-81.43827,310,260,10798,27089430,,1615,1,1,UMTS,,,,,,
28.566583,-81.430792,310,260,33822,40001540,,2296,1,1,LTE,,,33822,,,
28.568472,-81.43628,310,260,28998,27086575,,1876,1,1,UMTS,,,,,,
28.57063293457,-81.429977416992,311,490,12037,98677249,,1000,1,1,LTE,,,12037,,,
28.571199,-81.437893,310,260,33822,40001550,,1189,1,1,LTE,,,33822,,,
28.571573,-81.430763,310,410,13080,179241092,,1000,1,1,LTE,,,13080,,,
28.571573,-81.430763,310,410,13080,181015411,,1000,1,1,LTE,,,13080,,,
28.571654,-81.436957,310,410,13077,181628425,,3472,1,1,LTE,,,13077,,,
