lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.455856,-120.640305,311,480,8449,8481307,,1000,1,1,LTE,,,8449,,,
35.457401,-120.644687,310,260,15162,50786436,,2251,1,1,LTE,,,15162,,,
35.45768737793,-120.64430236816,310,260,26289,22567426,,1000,1,1,UMTS,,,,,,
35.459255,-120.646156,310,120,4,201364227,,1000,1,1,LTE,,,4,,,
35.459747,-120.646362,310,410,55562,192322569,,1000,1,1,UMTS,,,,,,
35.459804,-120.645235,310,120,4,13201,,2538,1,1,LTE,,,4,,,
35.459968,-120.647915,310,410,34605,192322576,,7485,1,1,LTE,,,34605,,,
35.46143,-120.646671,310,4145,49,13201,,1000,1,1,CDMA,,,,4145,49,13201
35.461807250977,-120.64430236816,310,4145,8,4921,,1000,1,1,CDMA,,,,4145,8,4921
35.463726,-120.647283,310,260,15162,50786446,,1000,1,1,LTE,,,15162,,,
35.463863,-120.64743,310,260,15162,50786447,,1000,1,1,LTE,,,15162,,,
