lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.3022,-80.7466,310,260,31516,223964417,,1301,1,1,LTE,,,31516,,,
35.302223,-80.751938,310,260,31691,33820674,,1000,1,1,LTE,,,31691,,,
35.302286,-80.748512,310,410,9877,197611288,,2617,1,1,LTE,,,9877,,,
35.30238,-80.744006,310,410,9877,197611415,,2463,1,1,LTE,,,9877,,,
35.302505493164,-80.747451782227,311,870,1026,8405507,,1000,1,1,LTE,,,1026,,,
35.302525,-80.747276,310,260,31516,223964437,,1000,1,1,LTE,,,31516,,,
35.303071,-80.750078,311,870,401,58097,,3857,1,1,LTE,,,401,,,
35.303075,-80.746459,311,480,40198,117009932,,2019,1,1,LTE,,,40198,,,
35.303204,-80.752281,310,120,1228,9736771,,1000,1,1,LTE,,,1228,,,
35.303267,-80.744474,311,870,30231,20984320,,1000,1,1,LTE,,,30231,,,
35.30387878418,-80.751571655273,310,410,12974,3773,,1000,1,1,CDMA,,,,410,12974,3773
35.30387878418,-80.751571655273,310,260,7497,20076268,,1000,1,1,UMTS,,,,,,
35.30387878418,-80.750198364258,310,410,12974,53773,,1000,1,1,CDMA,,,,410,12974,53773
35.303887,-80.749315,310,139,101,50,,17430,1,1,CDMA,,,,139,101,50
35.303909,-80.748642,310,410,9877,197340028,,1000,1,1,LTE,,,9877,,,
35.304016,-80.748634,311,480,40198,40227876,,1000,1,1,LTE,,,40198,,,
35.304016,-80.748634,311,480,40198,40241956,,1000,1,1,LTE,,,40198,,,
35.304356,-80.748634,311,480,40198,117144599,,1000,1,1,LTE,,,40198,,,
35.304565,-80.750198,310,410,12974,53776,,1000,1,1,CDMA,,,,410,12974,53776
35.304611,-80.749802,311,480,40198,117189420,,1000,1,1,LTE,,,40198,,,
35.304669,-80.748498,310,260,31584,15713025,,7056,1,1,LTE,,,31584,,,
35.304679,-80.749204,310,410,9877,197472529,,3885,1,1,LTE,,,9877,,,
35.30468,-80.749861,310,120,1026,3803451,,1017,1,1,UMTS,,,,,,
35.304699,-80.746727,310,260,31584,38335509,,1000,1,1,LTE,,,31584,,,
35.304945,-80.749821,311,480,40198,117166093,,1120,1,1,LTE,,,40198,,,
35.305121,-80.748563,311,480,40198,117009934,,1418,1,1,LTE,,,40198,,,
35.305137,-80.749733,310,120,1228,9736755,,1000,1,1,LTE,,,1228,,,
35.305252,-80.748304,311,480,40198,15792512,,1000,1,1,UMTS,,,,,,
35.305252075195,-80.746078491211,311,870,5143,20984320,,1000,1,1,LTE,,,5143,,,
35.305367,-80.743188,310,410,9877,197472534,,1514,1,1,LTE,,,9877,,,
35.305368,-80.748317,311,480,40198,117228844,,1000,1,1,LTE,,,40198,,,
35.30545,-80.750424,310,410,9877,199520663,,1000,1,1,LTE,,,9877,,,
35.305552,-80.747053,310,410,9877,197472520,,5367,1,1,LTE,,,9877,,,
35.305564,-80.752529,310,410,9877,197472663,,1029,1,1,LTE,,,9877,,,
35.305568,-80.749212,311,480,40198,117144600,,1000,1,1,LTE,,,40198,,,
35.305584,-80.749619,311,480,40198,117189419,,1000,1,1,LTE,,,40198,,,
35.305584,-80.749619,311,480,40198,40428817,,1000,1,1,LTE,,,40198,,,
35.305973,-80.750084,311,480,40198,117035532,,1000,1,1,LTE,,,40198,,,
35.305973,-80.750084,311,480,40198,117027862,,1000,1,1,LTE,,,40198,,,
35.306076,-80.747864,311,480,40198,40428842,,1000,1,1,LTE,,,40198,,,
35.306082,-80.749997,311,480,40198,117041952,,1343,1,1,LTE,,,40198,,,
35.306145,-80.748906,311,480,40198,117228814,,1000,1,1,LTE,,,40198,,,
35.306201,-80.748078,311,480,40198,1579251,,1000,1,1,UMTS,,,,,,
35.306242,-80.750262,310,410,9877,199520536,,1000,1,1,LTE,,,9877,,,
35.306376,-80.747837,311,480,40198,40387073,,1000,1,1,LTE,,,40198,,,
35.306526,-80.748024,311,480,40198,117009937,,1000,1,1,LTE,,,40198,,,
35.306625366211,-80.751571655273,310,100,144,10601,,1000,1,1,CDMA,,,,100,144,10601
35.306625366211,-80.750198364258,310,410,12974,3779,,1000,1,1,CDMA,,,,410,12974,3779
35.306625366211,-80.750198364258,310,299,144,4265,,1000,1,1,CDMA,,,,299,144,4265
35.306782,-80.750002,310,120,1026,9736763,,1000,1,1,LTE,,,1026,,,
35.306905,-80.751672,310,410,9877,199520684,,2752,1,1,LTE,,,9877,,,
35.307141,-80.748578,311,480,40198,117228813,,1000,1,1,LTE,,,40198,,,
35.307185,-80.747255,311,480,40198,117228812,,1000,1,1,LTE,,,40198,,,
35.307504,-80.752731,310,410,9877,197472536,,2562,1,1,LTE,,,9877,,,
35.307511,-80.75104,311,480,40198,194028814,,1000,1,1,LTE,,,40198,,,
35.307512,-80.752521,310,260,31584,19687683,,5215,1,1,LTE,,,31584,,,
35.307602,-80.752037,311,480,40198,40305667,,1000,1,1,LTE,,,40198,,,
35.307846,-80.751053,311,480,40198,117189440,,1000,1,1,LTE,,,40198,,,
35.307998657227,-80.750198364258,310,260,7499,22251,,1000,1,1,CDMA,,,,260,7499,22251
35.307998657227,-80.748825073242,310,120,1228,9736763,,1000,1,1,LTE,,,1228,,,
35.307998657227,-80.747451782227,310,410,12974,217569002,,1000,1,1,UMTS,,,,,,
35.307998657227,-80.744705200195,310,410,12974,217568996,,1000,1,1,UMTS,,,,,,
35.307999,-80.750748,310,410,12974,217567760,,1000,1,1,UMTS,,,,,,
35.308207,-80.75128,310,120,1026,9736755,,1000,1,1,LTE,,,1026,,,
35.308285,-80.749748,311,480,40198,117009933,,1000,1,1,LTE,,,40198,,,
35.308287,-80.75203,310,410,9877,197551029,,5676,1,1,LTE,,,9877,,,
35.3084,-80.7471,310,260,31691,33820673,,1000,1,1,LTE,,,31691,,,
35.308428,-80.749856,310,410,12974,217517763,,2144,1,1,UMTS,,,,,,
35.308666,-80.748394,310,410,9877,198839331,,1000,1,1,LTE,,,9877,,,
35.308685,-80.749512,310,260,7492,52844267,,1000,1,1,UMTS,,,,,,
35.308685,-80.749512,310,260,7492,52844272,,1000,1,1,UMTS,,,,,,
35.308697,-80.750443,311,480,40198,117228843,,1000,1,1,LTE,,,40198,,,
35.308883,-80.745878,311,480,40198,40428801,,3142,1,1,LTE,,,40198,,,
35.309029,-80.748138,310,260,7499,6969072,,1000,1,1,UMTS,,,,,,
35.309227,-80.748505,310,260,31516,227930174,,1000,1,1,LTE,,,31516,,,
35.309371948242,-80.748825073242,310,260,7497,20076270,,1000,1,1,UMTS,,,,,,
35.309372,-80.751419,310,410,12974,217567763,,1000,1,1,UMTS,,,,,,
35.309464,-80.747635,310,410,65535,197402384,,1000,1,1,UMTS,,,,,,
35.309521,-80.752089,311,480,40198,117144590,,2681,1,1,LTE,,,40198,,,
35.309563,-80.751685,310,260,31584,15774980,,14385,1,1,LTE,,,31584,,,
35.310059,-80.747452,310,410,65535,197402391,,1000,1,1,UMTS,,,,,,
35.31044,-80.745316,310,410,9877,77137717,,1000,1,1,UMTS,,,,,,
35.310738,-80.747276,311,480,40198,117018913,,1000,1,1,LTE,,,40198,,,
35.310745239258,-80.751571655273,310,120,1032,8404225,,1000,1,1,LTE,,,1032,,,
35.310745239258,-80.750198364258,310,410,12989,13573821,,1000,1,1,UMTS,,,,,,
35.310745239258,-80.750198364258,310,410,12989,13571081,,1000,1,1,UMTS,,,,,,
35.310745239258,-80.750198364258,311,870,1026,8405531,,1000,1,1,LTE,,,1026,,,
35.310925,-80.750023,312,530,31584,9787698,,1000,1,1,LTE,,,31584,,,
35.310925,-80.750023,312,530,31584,9787697,,1000,1,1,LTE,,,31584,,,
35.310925,-80.750023,312,530,31584,883251,,1000,1,1,LTE,,,31584,,,
35.310925,-80.750023,312,530,31584,883250,,1000,1,1,LTE,,,31584,,,
35.310941,-80.750983,310,260,31532,15713035,,1000,1,1,LTE,,,31532,,,
35.310941,-80.747223,310,260,31532,15713025,,1000,1,1,LTE,,,31532,,,
