lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.19722,-80.839004,310,139,101,161,,1000,1,1,CDMA,,,,139,101,161
35.197287,-80.836756,310,410,9874,77135823,,1000,1,1,UMTS,,,,,,
35.197298,-80.834698,310,260,31581,15738381,,4559,1,1,LTE,,,31581,,,
35.19736,-80.838656,310,410,9874,197535846,,1000,1,1,LTE,,,9874,,,
35.198135375977,-80.842208862305,310,260,7492,52844889,,1000,1,1,UMTS,,,,,,
35.198135375977,-80.838088989258,310,410,12973,219093097,,1000,1,1,UMTS,,,,,,
35.198153,-80.837876,310,260,31581,15715341,,3491,1,1,LTE,,,31581,,,
35.198188,-80.839438,310,410,9874,197535838,,1000,1,1,LTE,,,9874,,,
35.198902,-80.838611,310,120,401,58221,,1000,1,1,LTE,,,401,,,
35.199051,-80.837402,310,410,12971,218959992,,1000,1,1,UMTS,,,,,,
35.199226,-80.841199,310,120,1025,327983,,1000,1,1,UMTS,,,,,,
35.199395,-80.834327,311,480,40200,40197121,,841,1,1,LTE,,,40200,,,
35.199445,-80.839462,311,480,40200,116997133,,1000,1,1,LTE,,,40200,,,
35.199508666992,-80.840835571289,311,870,1025,8396291,,1000,1,1,LTE,,,1025,,,
35.199508666992,-80.838088989258,310,410,12999,6249,,1000,1,1,CDMA,,,,410,12999,6249
35.199508666992,-80.838088989258,310,410,12016,16243,,1000,1,1,GSM,,,,,,
35.199508666992,-80.833969116211,310,299,144,4193,,1000,1,1,LTE,,,144,,,
35.199509,-80.833817,310,260,7492,52844894,,1000,1,1,UMTS,,,,,,
35.199877,-80.836844,311,480,40200,40197137,,1000,1,1,LTE,,,40200,,,
35.199999,-80.840737,310,120,1025,8396315,,1000,1,1,LTE,,,1025,,,
35.200026,-80.842361,311,480,144,4193,,2022,1,1,LTE,,,144,,,
35.200028,-80.834363,311,480,40200,1570201,,1000,1,1,UMTS,,,,,,
35.200119,-80.842361,310,120,1025,8396291,,1000,1,1,LTE,,,1025,,,
35.20015,-80.842483,310,120,1025,3279827,,1000,1,1,UMTS,,,,,,
35.200264,-80.841247,310,120,1025,332323,,1000,1,1,UMTS,,,,,,
35.200506,-80.836631,311,480,40200,15702017,,1000,1,1,UMTS,,,,,,
35.200565,-80.840202,311,480,40200,40271118,,1000,1,1,LTE,,,40200,,,
35.200611,-80.843338,310,120,401,57717,,1000,1,1,CDMA,,,,120,401,57717
35.20072,-80.838502,311,480,40200,116997132,,1000,1,1,LTE,,,40200,,,
35.200946,-80.834824,310,260,31581,15715331,,2959,1,1,LTE,,,31581,,,
35.201149,-80.843041,310,410,9874,199473603,,2535,1,1,LTE,,,9874,,,
35.20139,-80.838346,311,480,40200,40197132,,2223,1,1,LTE,,,40200,,,
35.201401,-80.843613,310,410,9874,197379350,,1000,1,1,LTE,,,9874,,,
35.201706,-80.834198,310,260,7401,22873,,1000,1,1,GSM,,,,,,
35.202187,-80.841914,310,120,1025,327693,,1559,1,1,UMTS,,,,,,
35.202255249023,-80.84358215332,310,410,12973,219088781,,1000,1,1,UMTS,,,,,,
35.202255249023,-80.842208862305,310,410,12999,216995941,,1000,1,1,UMTS,,,,,,
