lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.576327,-112.189093,310,260,13445,22094348,,8022,1,1,LTE,,,13445,,,
33.577137,-112.188423,310,260,13405,20563203,,1000,1,1,LTE,,,13405,,,
33.578237,-112.190523,310,260,13415,24614677,,6404,1,1,LTE,,,13415,,,
33.578302,-112.188444,310,120,12291,100690435,,1000,1,1,LTE,,,12291,,,
33.578385,-112.185377,310,410,32783,124427798,,5749,1,1,LTE,,,32783,,,
33.578664,-112.187504,310,120,12291,100690443,,1000,1,1,LTE,,,12291,,,
33.578905,-112.186511,311,480,6148,82950924,,1350,1,1,LTE,,,6148,,,
33.579025268555,-112.18620300293,310,410,48999,26930224,,1000,1,1,UMTS,,,,,,
33.579638,-112.186115,310,260,13414,45325591,,1000,1,1,LTE,,,13414,,,
33.579712,-112.186203,310,120,12291,100690459,,1000,1,1,LTE,,,12291,,,
33.579794,-112.186972,310,120,12291,102021683,,1000,1,1,LTE,,,12291,,,
33.579993,-112.194161,310,120,1,568,,3882,1,1,LTE,,,1,,,
33.580299,-112.191428,310,260,13415,45325579,,6426,1,1,LTE,,,13415,,,
33.58039855957,-112.18620300293,310,120,12291,102021691,,1000,1,1,LTE,,,12291,,,
33.580399,-112.186246,311,480,6148,6150924,,1000,1,1,LTE,,,6148,,,
33.580978,-112.187744,312,250,13415,100690435,,1000,1,1,LTE,,,13415,,,
33.58127,-112.193555,310,120,1,842,,3830,1,1,LTE,,,1,,,
33.581314,-112.187576,310,410,48985,28306480,,1000,1,1,UMTS,,,,,,
33.581364,-112.186104,310,410,32768,124427792,,1000,1,1,LTE,,,32768,,,
33.581364,-112.186104,310,410,32768,124427798,,1000,1,1,LTE,,,32768,,,
33.581603,-112.186032,310,410,32777,124427798,,1000,1,1,LTE,,,32777,,,
33.581644,-112.184209,310,260,13415,45325570,,5022,1,1,LTE,,,13415,,,
33.581762,-112.193989,311,480,6148,6274828,,1000,1,1,LTE,,,6148,,,
33.581771850586,-112.19306945801,310,30,4,283,,1000,1,1,CDMA,,,,30,4,283
33.581771850586,-112.19306945801,310,30,2,639,,1000,1,1,CDMA,,,,30,2,639
33.581771850586,-112.18620300293,310,260,34716,39112,,1000,1,1,CDMA,,,,260,34716,39112
33.581771850586,-112.18620300293,310,260,52162,35462,,1000,1,1,CDMA,,,,260,52162,35462
33.581771850586,-112.18620300293,310,410,48985,26870847,,1000,1,1,UMTS,,,,,,
33.581771850586,-112.18482971191,311,490,12291,102021683,,1000,1,1,LTE,,,12291,,,
33.581772,-112.187154,311,30,4,283,,1000,1,1,LTE,,,4,,,
33.581772,-112.186661,310,410,48985,28306477,,1000,1,1,UMTS,,,,,,
33.581772,-112.185593,310,120,12291,100690451,,1000,1,1,LTE,,,12291,,,
33.581772,-112.18483,310,410,48985,28250254,,1532,1,1,UMTS,,,,,,
33.581772,-112.184143,310,4170,87,586,,1000,1,1,CDMA,,,,4170,87,586
33.581787,-112.193947,311,870,13415,102662971,,1000,1,1,LTE,,,13415,,,
33.58235,-112.183781,311,870,13415,102662714,,1000,1,1,LTE,,,13415,,,
33.582357,-112.183693,310,260,13415,20618241,,7163,1,1,LTE,,,13415,,,
33.582367,-112.184746,310,260,13415,20618271,,1000,1,1,LTE,,,13415,,,
33.582367,-112.184746,310,260,13415,20618276,,1000,1,1,LTE,,,13415,,,
33.582415,-112.190044,310,260,34744,21466561,,1011,1,1,UMTS,,,,,,
33.582458,-112.185516,310,260,13415,45638917,,1000,1,1,LTE,,,13415,,,
33.582466,-112.183777,311,870,13415,102662706,,1000,1,1,LTE,,,13415,,,
33.582488,-112.184268,311,480,6148,6275084,,3338,1,1,LTE,,,6148,,,
33.582838,-112.193355,310,410,32783,122891792,,5830,1,1,LTE,,,32783,,,
33.582976,-112.192349,310,260,34745,34553701,,2547,1,1,UMTS,,,,,,
33.583092,-112.185829,310,260,13414,25518223,,1000,1,1,LTE,,,13414,,,
33.583115,-112.185707,312,250,13414,20563203,,1000,1,1,LTE,,,13414,,,
33.583145141602,-112.18757629395,310,260,34750,20563203,,1000,1,1,UMTS,,,,,,
33.583145141602,-112.18757629395,310,260,13401,8359361,,1000,1,1,LTE,,,13401,,,
33.583173,-112.193448,310,260,13415,45325591,,8786,1,1,LTE,,,13415,,,
33.583618,-112.18792,312,250,13414,45638927,,1000,1,1,LTE,,,13414,,,
33.583636,-112.184482,310,410,32783,124427784,,4289,1,1,LTE,,,32783,,,
33.583972,-112.191086,310,260,34745,34563600,,1000,1,1,LTE,,,34745,,,
33.584026,-112.186981,310,260,13415,100690451,,1000,1,1,LTE,,,13415,,,
33.584125,-112.186277,310,260,13414,20557079,,6709,1,1,LTE,,,13414,,,
33.58427,-112.186747,311,480,6148,6150913,,1966,1,1,LTE,,,6148,,,
33.584518432617,-112.18757629395,310,260,34775,16343,,1000,1,1,UMTS,,,,,,
33.584801,-112.188282,310,260,34744,21456400,,1000,1,1,UMTS,,,,,,
33.584943,-112.186264,310,260,13414,48682895,,1865,1,1,LTE,,,13414,,,
