lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
42.985435,-87.956464,311,480,53527,53593100,,1495,1,1,LTE,,,53527,,,
42.986079,-87.950431,311,480,53526,53635852,,1000,1,1,LTE,,,53526,,,
42.986683,-87.947533,310,260,43266,29034756,,1000,1,1,LTE,,,43266,,,
42.986763,-87.948242,312,530,43266,159457300,,1000,1,1,LTE,,,43266,,,
42.986885,-87.947929,312,530,43266,159396361,,1000,1,1,LTE,,,43266,,,
42.986885,-87.947929,312,530,43266,159396363,,1000,1,1,LTE,,,43266,,,
42.986893,-87.955856,310,4153,84,543,,1000,1,1,CDMA,,,,4153,84,543
42.987118,-87.94841,310,260,43266,6635268,,1000,1,1,LTE,,,43266,,,
42.987395,-87.947739,310,410,30991,85797798,,1000,1,1,UMTS,,,,,,
42.987423,-87.949416,310,410,17162,77085967,,2530,1,1,LTE,,,17162,,,
42.987442,-87.954483,310,410,30991,85656018,,1000,1,1,UMTS,,,,,,
42.987442016602,-87.953109741211,310,410,30993,85788242,,1000,1,1,UMTS,,,,,,
42.987443,-87.949677,310,120,19459,160757248,,1000,1,1,LTE,,,19459,,,
42.987672,-87.953603,311,580,25,25683,,2578,1,1,CDMA,,,,580,25,25683
42.987769,-87.956656,311,480,53533,53593100,,1705,1,1,LTE,,,53533,,,
42.987794,-87.947967,310,410,30991,85797795,,2483,1,1,UMTS,,,,,,
42.987846,-87.953998,310,120,19457,159396353,,1000,1,1,LTE,,,19457,,,
42.988022,-87.95369,310,410,17160,77085960,,1000,1,1,LTE,,,17160,,,
42.988071,-87.95372,310,410,17162,77075216,,1000,1,1,LTE,,,17162,,,
42.988197,-87.948425,311,480,53526,130316033,,1000,1,1,LTE,,,53526,,,
42.98822,-87.949257,310,260,43266,28550915,,1000,1,1,LTE,,,43266,,,
42.98822,-87.949257,310,260,43266,28984075,,1000,1,1,LTE,,,43266,,,
42.988266,-87.951736,310,410,17162,30111715,,1000,1,1,UMTS,,,,,,
42.988533,-87.948944,311,580,25,18193,,1000,1,1,CDMA,,,,580,25,18193
42.988663,-87.947403,312,530,43266,159426049,,1000,1,1,LTE,,,43266,,,
42.988663,-87.947403,312,530,43266,159411219,,1000,1,1,LTE,,,43266,,,
42.988663,-87.947403,312,530,43266,159403530,,1000,1,1,LTE,,,43266,,,
42.988663,-87.947403,312,530,43266,159448851,,1000,1,1,LTE,,,43266,,,
42.988663,-87.947403,312,530,43266,159411214,,1000,1,1,LTE,,,43266,,,
42.988663,-87.947403,312,530,43266,159448850,,1000,1,1,LTE,,,43266,,,
42.988663,-87.947403,312,530,43266,159411218,,1000,1,1,LTE,,,43266,,,
42.988663,-87.947403,312,530,43266,159448852,,1000,1,1,LTE,,,43266,,,
42.988663,-87.947403,312,530,43266,159411205,,1000,1,1,LTE,,,43266,,,
42.988796,-87.948059,310,410,17162,77085974,,1000,1,1,LTE,,,17162,,,
42.988815,-87.951736,310,260,29798,14478132,,1000,1,1,UMTS,,,,,,
42.988815307617,-87.955856323242,310,120,19459,159457297,,1000,1,1,LTE,,,19459,,,
42.988815307617,-87.948989868164,310,410,17160,77085967,,1000,1,1,LTE,,,17160,,,
42.989161,-87.949803,311,480,53531,53737475,,1478,1,1,LTE,,,53531,,,
42.989341,-87.948792,310,410,17160,76811927,,1000,1,1,LTE,,,17160,,,
42.989639,-87.952011,310,120,19459,159396353,,1000,1,1,LTE,,,19459,,,
42.990053,-87.956488,311,480,53533,53593089,,7016,1,1,LTE,,,53533,,,
42.990188598633,-87.953109741211,310,410,30993,85656021,,1000,1,1,UMTS,,,,,,
42.990188598633,-87.95036315918,310,410,30998,5333458,,1000,1,1,UMTS,,,,,,
42.990188598633,-87.95036315918,310,260,43265,6635276,,1000,1,1,LTE,,,43265,,,
42.990189,-87.954483,310,260,43265,8676111,,1120,1,1,LTE,,,43265,,,
42.990189,-87.950821,310,260,29798,14428132,,1000,1,1,UMTS,,,,,,
42.990191,-87.949329,310,4153,84,287,,3810,1,1,CDMA,,,,4153,84,287
42.990267,-87.949593,311,480,53531,53592866,,5652,1,1,LTE,,,53531,,,
42.99063,-87.953257,310,260,43265,6635266,,1000,1,1,LTE,,,43265,,,
42.9907,-87.950012,310,,53526,53695512,,1000,1,1,LTE,,,53526,,,
42.9907,-87.950012,311,480,1792,140859396,,1000,1,1,LTE,,,1792,,,
42.9907,-87.950012,311,480,25,16898,,1000,1,1,CDMA,,,,480,25,16898
42.990708,-87.95056,310,410,30993,85656018,,1229,1,1,UMTS,,,,,,
42.990753,-87.950233,310,,1798,140908045,,1000,1,1,LTE,,,1798,,,
42.990925,-87.950325,310,,53526,53635862,,1000,1,1,LTE,,,53526,,,
42.990925,-87.950325,311,480,2,8451,,1000,1,1,CDMA,,,,480,2,8451
42.990997,-87.955367,310,,2,1019,,3490,1,1,LTE,,,2,,,
42.991469,-87.950174,310,260,43266,6635266,,3590,1,1,LTE,,,43266,,,
42.991505,-87.950316,311,580,53531,53592866,,1330,1,1,LTE,,,53531,,,
42.991561889648,-87.948989868164,311,220,1792,140800771,,1000,1,1,LTE,,,1792,,,
42.991562,-87.952616,310,410,17160,30004617,,1197,1,1,UMTS,,,,,,
42.991606,-87.950488,310,260,43266,6635276,,3599,1,1,LTE,,,43266,,,
42.991753,-87.949901,310,260,43266,6656062,,1015,1,1,LTE,,,43266,,,
42.991879,-87.945324,311,580,25,25795,,2869,1,1,CDMA,,,,580,25,25795
42.991885,-87.949817,310,260,43266,8676108,,1028,1,1,LTE,,,43266,,,
42.991956,-87.949226,310,260,43266,6635278,,1029,1,1,LTE,,,43266,,,
42.992018,-87.949199,310,260,43266,25992451,,1239,1,1,LTE,,,43266,,,
42.992096,-87.949284,311,580,25,25681,,1000,1,1,LTE,,,25,,,
42.992902,-87.952593,311,580,25,16898,,1000,1,1,CDMA,,,,580,25,16898
42.993846,-87.949869,311,580,1792,140800777,,3071,1,1,LTE,,,1792,,,
42.993925,-87.950264,310,260,43266,6635325,,1000,1,1,LTE,,,43266,,,
