lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
32.236561,-110.949089,311,480,5892,5910296,,1000,1,1,LTE,,,5892,,,
32.236678,-110.94608,310,260,13403,22066947,,6784,1,1,LTE,,,13403,,,
32.237196,-110.949244,310,260,34776,60211,,5138,1,1,GSM,,,,,,
32.237206,-110.951078,310,410,32778,123017878,,2068,1,1,LTE,,,32778,,,
32.237217,-110.946259,310,,1,12552,,1000,1,1,LTE,,,1,,,
32.237224,-110.944748,311,480,5892,5894158,,1000,1,1,LTE,,,5892,,,
32.237248,-110.945579,311,490,13403,22108673,,2134,1,1,LTE,,,13403,,,
32.237319946289,-110.94886779785,310,410,48991,26794770,,1000,1,1,UMTS,,,,,,
32.237319946289,-110.94886779785,310,410,48991,26751449,,1000,1,1,UMTS,,,,,,
32.237319946289,-110.94337463379,310,260,44757,47676707,,1000,1,1,UMTS,,,,,,
32.23732,-110.944748,310,260,34776,60132,,1000,1,1,GSM,,,,,,
32.237514,-110.945174,310,260,13403,22064386,,5786,1,1,LTE,,,13403,,,
32.238007,-110.944061,310,260,34752,21439414,,1000,1,1,UMTS,,,,,,
32.238144,-110.943375,311,140,3,280,,1000,1,1,LTE,,,3,,,
32.238614,-110.951271,311,480,5892,5947148,,1082,1,1,LTE,,,5892,,,
32.238693237305,-110.94749450684,311,870,14082,115353089,,1000,1,1,LTE,,,14082,,,
32.238693237305,-110.94749450684,310,120,3702,115353089,,1000,1,1,LTE,,,3702,,,
32.238693237305,-110.94612121582,310,410,32778,123017877,,1000,1,1,LTE,,,32778,,,
32.238693237305,-110.9447479248,310,410,48991,26794769,,1000,1,1,UMTS,,,,,,
32.238693237305,-110.9447479248,310,410,48995,26744073,,1000,1,1,UMTS,,,,,,
32.238694,-110.942345,310,410,48991,26744073,,1453,1,1,UMTS,,,,,,
32.23891,-110.942243,310,410,32778,123017744,,3427,1,1,LTE,,,32778,,,
32.238911,-110.948361,310,260,34752,21468410,,1000,1,1,UMTS,,,,,,
32.239157,-110.951222,310,410,48991,27469812,,1000,1,1,UMTS,,,,,,
32.23938,-110.946808,311,140,3,599,,1000,1,1,LTE,,,3,,,
32.23938,-110.941772,310,410,48991,26744070,,1000,1,1,UMTS,,,,,,
32.239473,-110.94377,311,480,5892,82694156,,5018,1,1,LTE,,,5892,,,
32.239692,-110.944059,310,260,13534,48558979,,1000,1,1,LTE,,,13534,,,
32.239725,-110.943223,311,490,13403,48558990,,5973,1,1,LTE,,,13403,,,
32.239859,-110.944504,311,480,5892,5894156,,3914,1,1,LTE,,,5892,,,
32.23992,-110.946624,311,870,1,12552,,8439,1,1,LTE,,,1,,,
32.239973,-110.944284,310,260,13403,22067005,,1000,1,1,LTE,,,13403,,,
32.24006652832,-110.94612121582,310,260,44757,47682804,,1000,1,1,UMTS,,,,,,
32.24006652832,-110.94612121582,310,410,48982,26747864,,1000,1,1,UMTS,,,,,,
32.24006652832,-110.9447479248,310,260,34758,32034,,1000,1,1,GSM,,,,,,
32.24006652832,-110.9447479248,310,410,48991,27471493,,1000,1,1,UMTS,,,,,,
32.24006652832,-110.9447479248,310,120,5892,5910304,,1000,1,1,LTE,,,5892,,,
32.24014,-110.944918,310,410,48991,26744076,,2082,1,1,UMTS,,,,,,
32.240816,-110.947925,310,120,14082,115353097,,1000,1,1,LTE,,,14082,,,
32.240849,-110.945992,311,480,5893,6060802,,1000,1,1,LTE,,,5893,,,
32.2409,-110.94462,310,260,13403,48558979,,1000,1,1,LTE,,,13403,,,
32.240923,-110.949405,311,490,13403,22066455,,3028,1,1,LTE,,,13403,,,
32.24094,-110.945702,311,480,5893,6060801,,1000,1,1,LTE,,,5893,,,
32.240987,-110.948427,311,490,13403,25307649,,3539,1,1,LTE,,,13403,,,
32.241035,-110.944092,311,490,13534,48558989,,1000,1,1,LTE,,,13534,,,
32.241047,-110.943981,311,490,13403,22067055,,1069,1,1,LTE,,,13403,,,
32.241058,-110.945213,311,480,3,280,,1000,1,1,CDMA,,,,480,3,280
32.241179,-110.945995,311,480,5893,6060812,,1000,1,1,LTE,,,5893,,,
32.241364,-110.945404,311,870,3,739,,1000,1,1,CDMA,,,,870,3,739
32.241383,-110.945541,311,870,3,280,,1000,1,1,CDMA,,,,870,3,280
32.241439819336,-110.94749450684,310,260,44757,47682807,,1000,1,1,UMTS,,,,,,
32.241439819336,-110.94612121582,310,140,48,599,,1000,1,1,CDMA,,,,140,48,599
32.241439819336,-110.94612121582,310,410,48991,50883,,1000,1,1,UMTS,,,,,,
32.241439819336,-110.94612121582,310,410,48991,50753,,1000,1,1,UMTS,,,,,,
32.241439819336,-110.94612121582,310,410,48995,50883,,1000,1,1,UMTS,,,,,,
32.241439819336,-110.94612121582,310,410,48995,50753,,1000,1,1,UMTS,,,,,,
32.241439819336,-110.94612121582,310,410,48995,28190745,,1000,1,1,UMTS,,,,,,
32.241439819336,-110.94612121582,310,410,3501,10222,,1000,1,1,GSM,,,,,,
32.241439819336,-110.94337463379,310,410,48991,27465009,,1000,1,1,UMTS,,,,,,
32.241439819336,-110.94337463379,310,120,3702,115348993,,1000,1,1,LTE,,,3702,,,
32.241454,-110.946735,311,480,5893,6060822,,1000,1,1,LTE,,,5893,,,
32.24147,-110.945551,310,260,34776,21462291,,1000,1,1,UMTS,,,,,,
32.241478,-110.94561,310,260,34776,21462309,,1000,1,1,UMTS,,,,,,
32.241481,-110.945571,310,260,65534,25260045,,1000,1,1,UMTS,,,,,,
