lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.790432,-90.579264,311,870,309,28282,,4297,1,1,LTE,,,309,,,
38.790512,-90.579132,312,530,44803,90231043,,1000,1,1,LTE,,,44803,,,
38.790664672852,-90.580215454102,310,120,11061,90751258,,1000,1,1,LTE,,,11061,,,
38.790987,-90.578175,312,530,44803,91553594,,1000,1,1,LTE,,,44803,,,
38.792122,-90.583244,312,530,44803,91553586,,1000,1,1,LTE,,,44803,,,
38.793106,-90.582199,310,410,24507,122223115,,1000,1,1,UMTS,,,,,,
38.793272,-90.57892,310,120,11011,90751258,,1000,1,1,LTE,,,11011,,,
38.793411,-90.578057,310,260,39499,7830966,,1000,1,1,UMTS,,,,,,
38.793411254883,-90.580215454102,310,410,24507,122165005,,1000,1,1,UMTS,,,,,,
38.793804,-90.58257,310,410,26381,61591172,,1000,1,1,LTE,,,26381,,,
38.793915,-90.580507,310,120,309,12202,,5031,1,1,LTE,,,309,,,
38.794011,-90.583517,310,410,24531,123959068,,7394,1,1,UMTS,,,,,,
38.79427,-90.576267,311,480,55045,55289857,,1000,1,1,LTE,,,55045,,,
38.794702,-90.582325,310,120,309,12282,,5605,1,1,LTE,,,309,,,
38.794785,-90.585022,310,4190,41,594,,2577,1,1,CDMA,,,,4190,41,594
38.794884,-90.578288,310,120,309,12203,,5209,1,1,LTE,,,309,,,
38.795144,-90.575364,310,410,26381,62371862,,3825,1,1,LTE,,,26381,,,
38.795393,-90.575182,310,410,26381,62236821,,4719,1,1,LTE,,,26381,,,
38.795519,-90.574375,311,480,55045,131915031,,1000,1,1,LTE,,,55045,,,
38.795968,-90.580736,310,120,11011,90222338,,1000,1,1,LTE,,,11011,,,
38.795981,-90.579023,310,260,44803,29312142,,2153,1,1,LTE,,,44803,,,
38.795996,-90.581647,310,120,11011,91553602,,1000,1,1,LTE,,,11011,,,
38.796055,-90.582092,312,530,44803,91682099,,1000,1,1,LTE,,,44803,,,
38.796122,-90.57399,310,410,26381,62236885,,1000,1,1,LTE,,,26381,,,
38.796157836914,-90.584335327148,310,260,39499,32183,,1000,1,1,CDMA,,,,260,39499,32183
38.796192,-90.576255,310,260,44803,29312143,,3886,1,1,LTE,,,44803,,,
38.796314,-90.580538,310,120,11011,91553586,,1000,1,1,LTE,,,11011,,,
38.79633,-90.579597,310,120,11011,90222346,,1000,1,1,LTE,,,11011,,,
38.796436,-90.575249,311,480,55045,132089869,,1000,1,1,LTE,,,55045,,,
38.796845,-90.582275,310,410,24531,122190233,,1000,1,1,UMTS,,,,,,
38.796845,-90.580902,310,410,24507,122189233,,1000,1,1,UMTS,,,,,,
38.796875,-90.578339,310,120,44803,6546700,,1000,1,1,LTE,,,44803,,,
38.796982,-90.583511,311,490,11011,90222346,,1000,1,1,LTE,,,11011,,,
38.797107,-90.580705,310,120,11011,91553594,,1000,1,1,LTE,,,11011,,,
38.797349,-90.581244,310,410,26381,62236823,,1000,1,1,LTE,,,26381,,,
38.797531,-90.582619,311,490,11011,90222338,,1000,1,1,LTE,,,11011,,,
38.797531,-90.576782,310,410,24507,122189231,,1000,1,1,UMTS,,,,,,
38.79753112793,-90.582962036133,310,410,24507,122190230,,1000,1,1,UMTS,,,,,,
38.79753112793,-90.581588745117,311,480,1495,55115011,,1000,1,1,LTE,,,1495,,,
38.79753112793,-90.580215454102,310,17,58,4645,,1000,1,1,CDMA,,,,17,58,4645
38.79753112793,-90.57746887207,310,410,26381,62211087,,1000,1,1,UMTS,,,,,,
38.797673,-90.581501,310,410,26381,62236898,,1000,1,1,LTE,,,26381,,,
