lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.24863,-84.346473,311,480,64002,64101409,,1366,1,1,LTE,,,64002,,,
39.249251,-84.345975,311,480,64002,64101408,,1042,1,1,LTE,,,64002,,,
39.24934387207,-84.345474243164,311,480,64002,140901408,,1000,1,1,LTE,,,64002,,,
39.24934387207,-84.338607788086,310,420,39229,31263,,1000,1,1,CDMA,,,,420,39229,31263
39.250375,-84.342042,310,120,16389,134912826,,2112,1,1,LTE,,,16389,,,
39.250717,-84.343186,311,490,16390,134259458,,1325,1,1,LTE,,,16390,,,
39.250717163086,-84.344100952148,310,120,16389,135555080,,1000,1,1,LTE,,,16389,,,
39.251591,-84.336361,310,420,39221,1372,,2136,1,1,CDMA,,,,420,39221,1372
39.25162,-84.338624,310,260,8102,10941,,1889,1,1,GSM,,,,,,
39.251646,-84.34137,310,260,8195,14297789,,1000,1,1,UMTS,,,,,,
39.252090454102,-84.341354370117,310,420,39229,31262,,1000,1,1,CDMA,,,,420,39229,31262
39.252090454102,-84.341354370117,310,420,39229,31183,,1000,1,1,CDMA,,,,420,39229,31183
39.252090454102,-84.341354370117,310,420,39229,31186,,1000,1,1,CDMA,,,,420,39229,31186
39.252090454102,-84.341354370117,310,410,17106,10062,,1000,1,1,GSM,,,,,,
39.252090454102,-84.338607788086,310,420,39229,31266,,1000,1,1,CDMA,,,,420,39229,31266
39.252090454102,-84.338607788086,310,420,39229,31184,,1000,1,1,CDMA,,,,420,39229,31184
39.252090454102,-84.338607788086,310,420,39229,31222,,1000,1,1,CDMA,,,,420,39229,31222
39.252090454102,-84.335861206055,310,420,39221,1006050,,1000,1,1,UMTS,,,,,,
39.253006,-84.346848,310,410,17615,83109714,,1000,1,1,UMTS,,,,,,
39.253463745117,-84.34684753418,310,410,17615,83109711,,1000,1,1,UMTS,,,,,,
39.253463745117,-84.34684753418,310,410,21525,43777553,,1000,1,1,UMTS,,,,,,
39.253463745117,-84.33723449707,310,420,39229,31261,,1000,1,1,CDMA,,,,420,39229,31261
39.253463745117,-84.33723449707,310,420,39229,31264,,1000,1,1,CDMA,,,,420,39229,31264
39.253464,-84.341904,310,260,8196,7744220,,1000,1,1,UMTS,,,,,,
39.253464,-84.339294,310,260,8198,10972,,1000,1,1,CDMA,,,,260,8198,10972
39.25424,-84.341354,310,420,59221,116908,,1000,1,1,UMTS,,,,,,
39.254629,-84.342403,310,260,47107,6468885,,1000,1,1,UMTS,,,,,,
39.254837,-84.344101,310,120,16389,135555077,,1000,1,1,LTE,,,16389,,,
39.254837036133,-84.338607788086,310,410,17615,10062,,1000,1,1,CDMA,,,,410,17615,10062
39.25518,-84.341526,310,420,59221,51372,,1000,1,1,CDMA,,,,420,59221,51372
39.255441,-84.341962,310,260,47358,6469132,,5842,1,1,LTE,,,47358,,,
39.256210327148,-84.339981079102,310,410,17615,83109716,,1000,1,1,UMTS,,,,,,
39.256261,-84.344711,310,410,21505,43777560,,1000,1,1,LTE,,,21505,,,
