lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.46315,-77.663762,310,260,21510,12740101,,3233,1,1,LTE,,,21510,,,
37.463599,-77.655304,311,480,2,29376513,,1000,1,1,LTE,,,2,,,
37.464458,-77.665199,310,260,21505,12740101,,1626,1,1,LTE,,,21505,,,
37.465565,-77.661598,310,120,405,25114,,1000,1,1,CDMA,,,,120,405,25114
37.465714,-77.656723,311,170,2,4782,,1000,1,1,LTE,,,2,,,
37.465782,-77.657359,311,480,29189,29376513,,1000,1,1,LTE,,,29189,,,
37.466812133789,-77.663040161133,310,260,37497,85865785,,1000,1,1,UMTS,,,,,,
37.466812133789,-77.658920288086,311,480,29195,29376513,,1000,1,1,LTE,,,29195,,,
37.467008,-77.659313,311,480,29195,29344001,,1000,1,1,LTE,,,29195,,,
37.467442,-77.656689,311,870,405,24858,,1000,1,1,CDMA,,,,870,405,24858
37.468376,-77.654839,311,870,405,25360,,1000,1,1,CDMA,,,,870,405,25360
37.468376,-77.654839,311,870,405,25114,,1000,1,1,CDMA,,,,870,405,25114
37.468376,-77.654839,311,870,405,25422,,1000,1,1,CDMA,,,,870,405,25422
37.469198,-77.659998,310,120,405,24858,,1042,1,1,LTE,,,405,,,
37.469941,-77.663612,310,410,5655,25879055,,1265,1,1,LTE,,,5655,,,
37.471366,-77.665642,310,170,2,4782,,1787,1,1,CDMA,,,,170,2,4782
