lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.012454,-73.757161,310,260,23040,11791109,,1618,1,1,LTE,,,23040,,,
41.013781,-73.752961,310,260,22576,11791112,,1915,1,1,LTE,,,22576,,,
41.014022827148,-73.75602722168,310,410,2385,208694282,,1000,1,1,LTE,,,2385,,,
41.015396118164,-73.757400512695,310,120,12300,52364289,,1000,1,1,LTE,,,12300,,,
41.016083,-73.75534,310,120,37388,52364289,,1359,1,1,LTE,,,37388,,,
41.016738,-73.754716,310,410,2448,208011024,,1000,1,1,LTE,,,2448,,,
41.01676940918,-73.749160766602,310,4162,2,660,,1000,1,1,CDMA,,,,4162,2,660
41.017456,-73.756027,310,410,11904,168977240,,1000,1,1,UMTS,,,,,,
41.017768,-73.752032,310,120,2324,19083546,,1000,1,1,LTE,,,2324,,,
41.018857,-73.751633,310,120,2324,19083522,,1000,1,1,LTE,,,2324,,,
41.019196,-73.757385,310,260,22621,12096515,,1000,1,1,LTE,,,22621,,,
41.019515991211,-73.757400512695,310,260,52198,22214,,1000,1,1,CDMA,,,,260,52198,22214
41.019515991211,-73.757400512695,310,260,52198,22217,,1000,1,1,CDMA,,,,260,52198,22217
41.019515991211,-73.753280639648,310,260,52198,13194953,,1000,1,1,UMTS,,,,,,
41.019516,-73.756943,310,260,52198,13194950,,1000,1,1,UMTS,,,,,,
41.019831,-73.753239,310,260,23040,11249412,,1938,1,1,LTE,,,23040,,,
41.020577,-73.756939,310,260,23040,11791105,,1000,1,1,LTE,,,23040,,,
41.020889282227,-73.757400512695,311,870,2324,19083522,,1000,1,1,LTE,,,2324,,,
41.020889282227,-73.75602722168,311,480,19969,96816396,,1000,1,1,LTE,,,19969,,,
