lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.509532,-77.523511,310,260,21510,14627848,,1014,1,1,LTE,,,21510,,,
37.509747,-77.527936,310,260,21510,121912196,,1000,1,1,LTE,,,21510,,,
37.509898,-77.527922,311,480,29189,29208344,,1000,1,1,LTE,,,29189,,,
37.509934,-77.521316,311,870,39811,60306699,,1013,1,1,LTE,,,39811,,,
37.510364,-77.528651,310,260,21510,38168195,,1300,1,1,LTE,,,21510,,,
37.510587,-77.525271,311,480,29189,29392142,,5352,1,1,LTE,,,29189,,,
37.510601,-77.530427,311,480,29434,262291208,,1000,1,1,LTE,,,29434,,,
37.510757446289,-77.529830932617,310,260,37497,85865501,,1000,1,1,UMTS,,,,,,
37.510757446289,-77.528457641602,310,260,37498,85865962,,1000,1,1,UMTS,,,,,,
37.510757446289,-77.528457641602,310,260,37498,85865501,,1000,1,1,UMTS,,,,,,
37.510757446289,-77.528457641602,310,260,21506,12145921,,1000,1,1,LTE,,,21506,,,
37.510757446289,-77.528457641602,311,480,29195,29208342,,1000,1,1,LTE,,,29195,,,
37.510757446289,-77.528457641602,310,260,21505,14627845,,1000,1,1,LTE,,,21505,,,
37.510757446289,-77.527084350586,310,410,10810,190786551,,1000,1,1,UMTS,,,,,,
37.510777,-77.524736,311,480,29195,29264142,,1000,1,1,LTE,,,29195,,,
37.510877,-77.522188,310,260,37498,46544823,,1251,1,1,UMTS,,,,,,
37.51092,-77.531004,310,260,21505,14627843,,1416,1,1,LTE,,,21505,,,
37.511022,-77.527677,310,410,5654,25888016,,2883,1,1,LTE,,,5654,,,
37.51113,-77.529257,310,410,5654,25871368,,4498,1,1,LTE,,,5654,,,
37.511275,-77.525568,310,120,4097,34887985,,1000,1,1,LTE,,,4097,,,
37.51147,-77.528999,310,260,21510,12145927,,4854,1,1,LTE,,,21510,,,
37.511612,-77.528179,310,410,5654,25887638,,1043,1,1,LTE,,,5654,,,
37.511738,-77.522572,310,120,4097,33556753,,1000,1,1,LTE,,,4097,,,
37.511974,-77.527992,311,490,21510,32650507,,1000,1,1,LTE,,,21510,,,
37.512130737305,-77.528457641602,310,260,37497,46544823,,1000,1,1,UMTS,,,,,,
37.512130737305,-77.521591186523,311,870,14723,60306690,,1000,1,1,LTE,,,14723,,,
37.512173,-77.528179,310,120,21510,33597459,,1000,1,1,LTE,,,21510,,,
37.512524,-77.530967,310,260,21510,122285574,,1000,1,1,LTE,,,21510,,,
37.512589,-77.522507,311,870,4097,60306699,,1000,1,1,LTE,,,4097,,,
37.51287,-77.531549,311,480,29189,29208342,,5610,1,1,LTE,,,29189,,,
37.512955,-77.52626,310,260,37498,46543901,,1000,1,1,UMTS,,,,,,
37.513031,-77.525242,310,260,21510,11432962,,3157,1,1,LTE,,,21510,,,
37.513264,-77.527153,310,120,4097,33556761,,1000,1,1,LTE,,,4097,,,
37.513368,-77.523947,310,120,405,24930,,3936,1,1,LTE,,,405,,,
37.513504,-77.531205,310,260,37498,46543904,,2000,1,1,UMTS,,,,,,
37.51350402832,-77.528457641602,310,260,37497,85865504,,1000,1,1,UMTS,,,,,,
37.51350402832,-77.524337768555,310,260,37498,85865507,,1000,1,1,UMTS,,,,,,
37.5143,-77.528652,310,260,21510,14627845,,1000,1,1,LTE,,,21510,,,
37.514362,-77.525024,311,870,39811,60306690,,1000,1,1,LTE,,,39811,,,
37.514528,-77.525586,310,120,4097,33556737,,1000,1,1,LTE,,,4097,,,
37.514617,-77.529854,310,410,5654,25888010,,4372,1,1,LTE,,,5654,,,
37.514877319336,-77.529830932617,311,870,4097,33556737,,1000,1,1,LTE,,,4097,,,
37.514877319336,-77.528457641602,310,260,32452,13803,,1000,1,1,GSM,,,,,,
37.514877319336,-77.528457641602,310,260,32452,13341,,1000,1,1,GSM,,,,,,
37.514877319336,-77.521591186523,310,410,10810,11257,,1000,1,1,CDMA,,,,410,10810,11257
37.515807,-77.528351,310,120,21510,33556753,,1000,1,1,LTE,,,21510,,,
37.516250610352,-77.529830932617,310,410,10810,190786555,,1000,1,1,UMTS,,,,,,
37.516250610352,-77.528457641602,311,870,4097,33556761,,1000,1,1,LTE,,,4097,,,
37.516250610352,-77.527084350586,310,260,37498,46543928,,1000,1,1,UMTS,,,,,,
37.516250610352,-77.527084350586,310,260,37498,46544807,,1000,1,1,UMTS,,,,,,
37.516251,-77.524681,310,260,37498,46543907,,1654,1,1,UMTS,,,,,,
37.516357,-77.529037,310,260,37496,105527976,,1000,1,1,UMTS,,,,,,
37.516858,-77.528616,311,480,29187,29191681,,1000,1,1,LTE,,,29187,,,
37.516937,-77.528458,311,480,29195,29208332,,1000,1,1,LTE,,,29195,,,
37.517252,-77.528398,310,120,21510,33556498,,1000,1,1,LTE,,,21510,,,
37.517277,-77.528519,311,480,29184,29349889,,1000,1,1,LTE,,,29184,,,
37.517524,-77.529374,310,260,32452,14263,,5834,1,1,GSM,,,,,,
37.517623901367,-77.529830932617,310,260,37498,85865504,,1000,1,1,UMTS,,,,,,
37.517623901367,-77.521591186523,310,260,37497,85865528,,1000,1,1,UMTS,,,,,,
37.517624,-77.524612,310,410,10830,191048697,,1000,1,1,UMTS,,,,,,
37.518188,-77.528229,311,490,21510,14627843,,1000,1,1,LTE,,,21510,,,
37.518369,-77.525907,311,480,29187,29191692,,1000,1,1,LTE,,,29187,,,
