lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
31.054896,-97.369131,310,410,27183,134077200,,6718,1,1,LTE,,,27183,,,
31.056185,-97.371742,310,260,30842,40755598,,1000,1,1,LTE,,,30842,,,
31.056185,-97.371742,310,260,30842,62964226,,1000,1,1,LTE,,,30842,,,
31.056185,-97.371742,310,260,30842,63504410,,1000,1,1,LTE,,,30842,,,
31.056534,-97.37365,310,410,27183,134077208,,1000,1,1,LTE,,,27183,,,
31.056569,-97.371075,310,120,7706,64291898,,1653,1,1,LTE,,,7706,,,
31.056682,-97.371164,310,120,7706,64291890,,1150,1,1,LTE,,,7706,,,
31.056768,-97.373199,310,260,30842,3728516,,1000,1,1,LTE,,,30842,,,
31.056768,-97.373199,310,260,30842,42294147,,1000,1,1,LTE,,,30842,,,
31.056768,-97.373199,310,260,30842,42294149,,1000,1,1,LTE,,,30842,,,
31.056768,-97.373199,310,260,30842,3728517,,1000,1,1,LTE,,,30842,,,
31.057663,-97.366562,310,410,27183,133523606,,1231,1,1,LTE,,,27183,,,
31.058874,-97.373337,310,410,27183,134077236,,1000,1,1,LTE,,,27183,,,
31.059036254883,-97.373886108398,310,410,27166,134081290,,1000,1,1,UMTS,,,,,,
31.059475,-97.365494,310,410,27183,133525465,,1000,1,1,LTE,,,27183,,,
31.059552,-97.372951,310,410,27183,134077335,,1000,1,1,LTE,,,27183,,,
31.059723,-97.365646,310,410,52813,107363730,,1924,1,1,UMTS,,,,,,
31.060409545898,-97.369766235352,310,4120,22,10674,,1000,1,1,CDMA,,,,4120,22,10674
31.061325,-97.366104,310,410,52813,107385527,,1657,1,1,UMTS,,,,,,
31.061638,-97.373299,310,410,27183,133523630,,1000,1,1,LTE,,,27183,,,
31.061777,-97.367847,310,410,52857,110138033,,3154,1,1,UMTS,,,,,,
31.061782836914,-97.373886108398,310,410,27175,134077222,,1000,1,1,LTE,,,27175,,,
31.061782836914,-97.365646362305,310,410,52813,15768,,1000,1,1,CDMA,,,,410,52813,15768
31.062012,-97.365875,310,410,52813,107363736,,1000,1,1,UMTS,,,,,,
31.062332,-97.366745,310,410,27166,133523458,,1000,1,1,LTE,,,27166,,,
31.062469,-97.373199,310,410,52813,107363737,,1000,1,1,UMTS,,,,,,
31.062889,-97.364883,310,410,27183,134077235,,1000,1,1,LTE,,,27183,,,
31.06315612793,-97.368392944336,311,480,35075,112010006,,1000,1,1,LTE,,,35075,,,
31.063639,-97.372487,311,870,312,42593,,3824,1,1,LTE,,,312,,,
