lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.492661,-88.994458,311,480,53001,53010978,,1000,1,1,LTE,,,53001,,,
40.492721,-88.984632,310,410,16390,55047959,,6960,1,1,LTE,,,16390,,,
40.493282,-88.995964,310,410,16390,55041763,,1000,1,1,LTE,,,16390,,,
40.49337,-88.995224,312,530,41700,125877003,,1000,1,1,LTE,,,41700,,,
40.49337,-88.995224,312,530,41700,125831950,,1000,1,1,LTE,,,41700,,,
40.49344,-88.98593,310,120,15365,125876999,,1000,1,1,LTE,,,15365,,,
40.493545532227,-88.988571166992,310,120,15365,127208199,,1000,1,1,LTE,,,15365,,,
40.493545532227,-88.985824584961,310,260,7156,39536555,,1000,1,1,UMTS,,,,,,
40.493546,-88.988419,310,120,15365,127208196,,1000,1,1,LTE,,,15365,,,
40.493683,-88.989258,310,120,15365,127208193,,1000,1,1,LTE,,,15365,,,
40.493846,-88.993797,310,260,7147,72304551,,1000,1,1,UMTS,,,,,,
40.494232,-88.986053,310,4384,1,13474,,1000,1,1,CDMA,,,,4384,1,13474
40.494259,-88.994965,310,120,124,61299,,1000,1,1,CDMA,,,,120,124,61299
40.494404,-88.984966,310,120,15365,125877008,,1000,1,1,LTE,,,15365,,,
40.4947,-88.985,310,260,41700,7082508,,1000,1,1,LTE,,,41700,,,
40.494918823242,-88.99543762207,310,260,7156,39536551,,1000,1,1,UMTS,,,,,,
40.494918823242,-88.994064331055,310,260,7156,39556551,,1000,1,1,UMTS,,,,,,
40.494918823242,-88.994064331055,310,260,7156,39556556,,1000,1,1,UMTS,,,,,,
40.495369,-88.993988,310,410,16390,55074019,,1000,1,1,LTE,,,16390,,,
40.495375,-88.995208,310,260,41700,7082499,,1472,1,1,LTE,,,41700,,,
40.495457,-88.993912,311,870,124,61331,,1000,1,1,LTE,,,124,,,
40.495457,-88.993912,311,870,124,61234,,1000,1,1,LTE,,,124,,,
40.495604,-88.985275,310,260,7147,72304550,,800,1,1,UMTS,,,,,,
40.49586,-88.985179,310,260,41700,7082498,,1000,1,1,LTE,,,41700,,,
40.4964,-88.9851,310,260,41700,28729732,,808,1,1,LTE,,,41700,,,
40.497665,-88.995536,310,120,15365,127208200,,1000,1,1,LTE,,,15365,,,
40.497665,-88.995307,310,120,15365,127208197,,1000,1,1,LTE,,,15365,,,
40.497665405273,-88.994064331055,310,120,15365,127208194,,1000,1,1,LTE,,,15365,,,
40.497665405273,-88.994064331055,310,260,7156,39536556,,1000,1,1,UMTS,,,,,,
40.498009,-88.992348,310,4384,1,13475,,1000,1,1,CDMA,,,,4384,1,13475
40.498105,-88.984856,310,260,41700,6723597,,1075,1,1,LTE,,,41700,,,
40.498352,-88.988571,310,120,15365,127208195,,1000,1,1,LTE,,,15365,,,
40.498409,-88.993041,310,260,41700,7082509,,1000,1,1,LTE,,,41700,,,
40.498581,-88.994469,311,480,53001,53010958,,1000,1,1,LTE,,,53001,,,
40.498922,-88.993105,310,260,41700,7082497,,1000,1,1,LTE,,,41700,,,
40.499038696289,-88.987197875977,310,120,15365,127208198,,1000,1,1,LTE,,,15365,,,
40.499268,-88.992805,311,480,53001,53026818,,1000,1,1,LTE,,,53001,,,
40.499275,-88.98492,310,260,7147,72288120,,1000,1,1,UMTS,,,,,,
40.499325,-88.986814,310,410,16390,55047958,,3231,1,1,LTE,,,16390,,,
40.499363,-88.993336,310,260,41700,7082507,,1000,1,1,LTE,,,41700,,,
40.500411987305,-88.992691040039,310,410,21891,72075389,,1000,1,1,UMTS,,,,,,
40.500411987305,-88.985824584961,310,120,15365,125876995,,1000,1,1,LTE,,,15365,,,
40.500608,-88.993147,310,410,21891,72075546,,2230,1,1,UMTS,,,,,,
40.500843,-88.985008,310,120,124,61298,,1000,1,1,CDMA,,,,120,124,61298
40.50138,-88.994376,311,480,53001,53026840,,1000,1,1,LTE,,,53001,,,
