lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.721857,-76.751896,311,480,39940,40109569,,10604,1,1,LTE,,,39940,,,
34.722041,-76.754829,310,410,9990,194602391,,12556,1,1,LTE,,,9990,,,
34.722079,-76.749517,310,260,31716,18789635,,3110,1,1,LTE,,,31716,,,
34.72297668457,-76.758041381836,311,220,768,94761730,,1000,1,1,LTE,,,768,,,
34.724389,-76.749756,311,580,10,6642,,1352,1,1,LTE,,,10,,,
34.724403,-76.75132,311,480,39940,40109603,,1000,1,1,LTE,,,39940,,,
34.725334,-76.757652,311,480,39940,116830230,,1000,1,1,LTE,,,39940,,,
34.725723266602,-76.753921508789,310,299,104,2882,,1000,1,1,LTE,,,104,,,
34.726722,-76.756119,311,480,39940,40028175,,1999,1,1,LTE,,,39940,,,
34.726767,-76.754215,311,480,39940,40028184,,4664,1,1,LTE,,,39940,,,
34.727096557617,-76.752548217773,310,410,12991,218416159,,1000,1,1,UMTS,,,,,,
34.727097,-76.756009,311,480,39940,193628184,,1000,1,1,LTE,,,39940,,,
34.72763,-76.755653,311,480,39940,40028185,,3687,1,1,LTE,,,39940,,,
34.72764,-76.754388,310,410,9990,194602250,,13033,1,1,LTE,,,9990,,,
34.727879,-76.758882,311,480,39940,40028162,,3611,1,1,LTE,,,39940,,,
34.728201,-76.753027,311,480,39940,116774179,,5185,1,1,LTE,,,39940,,,
34.728304,-76.756405,311,480,39940,116828182,,3343,1,1,LTE,,,39940,,,
34.72856,-76.750476,311,480,39940,40030233,,6063,1,1,LTE,,,39940,,,
34.728676,-76.755527,311,480,39940,40028187,,3297,1,1,LTE,,,39940,,,
34.728893,-76.758239,311,480,39940,116828183,,2409,1,1,LTE,,,39940,,,
34.729307,-76.757849,311,480,39940,116828184,,3497,1,1,LTE,,,39940,,,
34.729427,-76.755045,311,580,768,94761732,,1000,1,1,LTE,,,768,,,
34.729505,-76.752519,310,410,10009,194609929,,18725,1,1,LTE,,,10009,,,
34.729606,-76.758375,311,480,104,2882,,2583,1,1,LTE,,,104,,,
34.729738,-76.758557,311,480,104,2881,,923,1,1,LTE,,,104,,,
34.729843,-76.75621,311,220,768,94761729,,1000,1,1,LTE,,,768,,,
34.730633,-76.755222,311,480,39940,116828185,,2890,1,1,LTE,,,39940,,,
34.730688,-76.755633,310,410,9990,194612495,,1446,1,1,LTE,,,9990,,,
