lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
45.501937866211,-122.78938293457,310,260,35895,80660263,,1000,1,1,UMTS,,,,,,
45.501937866211,-122.78800964355,310,260,35895,80622583,,1000,1,1,UMTS,,,,,,
45.501937866211,-122.78663635254,310,260,35895,19316,,1000,1,1,CDMA,,,,260,35895,19316
45.501937866211,-122.78663635254,310,120,20512,167794692,,1000,1,1,LTE,,,20512,,,
45.502222,-122.77884,310,410,33986,13766688,,1711,1,1,UMTS,,,,,,
45.502493,-122.784527,310,120,20488,169121797,,3515,1,1,LTE,,,20488,,,
45.5025,-122.786,311,480,1287,78236176,,1000,1,1,LTE,,,1287,,,
45.502686,-122.785705,311,480,1287,1436179,,1000,1,1,LTE,,,1287,,,
45.502687,-122.785388,310,410,33986,13764028,,1001,1,1,UMTS,,,,,,
45.502919,-122.784327,311,480,1287,1436172,,1704,1,1,LTE,,,1287,,,
45.502937,-122.784848,311,490,13656,21852951,,1000,1,1,LTE,,,13656,,,
45.502979,-122.786617,310,410,33986,14353533,,1000,1,1,UMTS,,,,,,
45.503103,-122.785378,310,120,20488,169121800,,1000,1,1,LTE,,,20488,,,
45.503277,-122.78663,311,,2,740,,2146,1,1,LTE,,,2,,,
45.503311,-122.785263,310,4174,1,843,,1000,1,1,CDMA,,,,4174,1,843
45.503311157227,-122.78388977051,310,120,20499,167790594,,1000,1,1,LTE,,,20499,,,
45.503311157227,-122.77702331543,310,410,33986,14383529,,1000,1,1,UMTS,,,,,,
45.503386,-122.784584,311,480,1287,1436161,,1000,1,1,LTE,,,1287,,,
45.503394,-122.78493,310,120,20488,167790609,,1000,1,1,LTE,,,20488,,,
45.503628,-122.783913,310,260,13612,48046223,,1000,1,1,LTE,,,13612,,,
45.503962,-122.783896,310,260,3484672,7546875907,,1000,1,1,NR,,,3484672,,,
45.503998,-122.783203,310,410,33986,13770223,,1340,1,1,UMTS,,,,,,
45.504119,-122.780283,310,410,33986,14353532,,1000,1,1,UMTS,,,,,,
45.504582,-122.779166,310,410,36875,84509207,,3328,1,1,LTE,,,36875,,,
45.504643,-122.782291,310,120,20488,169121794,,1000,1,1,LTE,,,20488,,,
45.504684448242,-122.78114318848,310,120,20499,167868162,,1000,1,1,LTE,,,20499,,,
45.504684448242,-122.77976989746,310,410,33986,31145,,1000,1,1,CDMA,,,,410,33986,31145
45.50485,-122.788547,310,260,13602,21920771,,7735,1,1,LTE,,,13602,,,
45.504911,-122.778719,310,410,36875,84509208,,1527,1,1,LTE,,,36875,,,
45.505057,-122.78106,311,490,13656,21852941,,1000,1,1,LTE,,,13656,,,
45.505123,-122.781273,310,410,36875,84509186,,1000,1,1,LTE,,,36875,,,
45.505209,-122.782025,310,260,13656,21852931,,1000,1,1,LTE,,,13656,,,
45.505211,-122.779991,312,530,13612,167790600,,1000,1,1,LTE,,,13612,,,
45.505211,-122.779991,312,530,13612,167794440,,1000,1,1,LTE,,,13612,,,
45.505211,-122.779991,312,530,13612,167855124,,1000,1,1,LTE,,,13612,,,
45.505424,-122.781158,310,410,36875,84509335,,1000,1,1,LTE,,,36875,,,
45.50577,-122.780743,310,410,36875,84509356,,1000,1,1,LTE,,,36875,,,
45.506057739258,-122.78251647949,310,260,35895,80622586,,1000,1,1,UMTS,,,,,,
45.506057739258,-122.78114318848,310,4945,2,1553,,1000,1,1,CDMA,,,,4945,2,1553
45.506057739258,-122.77976989746,310,410,33986,898172,,1000,1,1,UMTS,,,,,,
45.5061,-122.780434,310,410,36875,84509334,,1000,1,1,LTE,,,36875,,,
45.506667,-122.786979,310,410,36875,84509357,,1000,1,1,LTE,,,36875,,,
45.506728,-122.777656,311,,2,484,,6516,1,1,LTE,,,2,,,
45.506931,-122.779526,310,410,36875,84509185,,1000,1,1,LTE,,,36875,,,
45.508093,-122.777452,310,260,13612,48046221,,1000,1,1,LTE,,,13612,,,
45.50815,-122.779472,310,410,36875,84509400,,1000,1,1,LTE,,,36875,,,
45.5082,-122.78065,310,410,36875,84509355,,1000,1,1,LTE,,,36875,,,
45.508471,-122.780131,310,410,33986,14393525,,2538,1,1,UMTS,,,,,,
45.508518,-122.778641,312,250,13612,21852939,,1000,1,1,LTE,,,13612,,,
45.508617,-122.780624,311,490,245,63539,,1000,1,1,CDMA,,,,490,245,63539
45.508652,-122.780701,311,490,245,63538,,1000,1,1,CDMA,,,,490,245,63538
45.508804321289,-122.78800964355,310,120,20499,167790595,,1000,1,1,LTE,,,20499,,,
45.508804321289,-122.77976989746,311,870,20499,169125889,,1000,1,1,LTE,,,20499,,,
45.508804321289,-122.77976989746,310,410,33986,13873819,,1000,1,1,UMTS,,,,,,
45.508804321289,-122.77839660645,311,480,1280,78138380,,1000,1,1,LTE,,,1280,,,
45.508804321289,-122.77702331543,310,410,33986,898171,,1000,1,1,UMTS,,,,,,
45.508906,-122.779541,310,410,33998,13239419,,1000,1,1,UMTS,,,,,,
45.508923,-122.780426,310,120,2,996,,1000,1,1,CDMA,,,,120,2,996
45.508995,-122.779335,310,260,13612,21853039,,2174,1,1,LTE,,,13612,,,
45.50911,-122.787552,310,120,20499,169186563,,1069,1,1,LTE,,,20499,,,
45.509242,-122.777197,310,410,33986,14360626,,5365,1,1,UMTS,,,,,,
45.509298,-122.777141,311,480,1287,1338382,,1000,1,1,LTE,,,1287,,,
45.5093,-122.7818,311,480,1287,78138404,,1000,1,1,LTE,,,1287,,,
45.509335,-122.78073,310,260,3484672,7546875925,,1000,1,1,NR,,,3484672,,,
45.50936,-122.77849,311,480,1287,78138380,,13360,1,1,LTE,,,1287,,,
45.509491,-122.78183,310,260,35896,80622587,,1000,1,1,UMTS,,,,,,
45.509491,-122.781593,312,250,13612,21852929,,1000,1,1,LTE,,,13612,,,
45.509506,-122.776628,311,480,1287,1338380,,4909,1,1,LTE,,,1287,,,
45.509573,-122.780847,310,410,36875,84509192,,8569,1,1,LTE,,,36875,,,
45.509831,-122.782098,310,260,13656,21852939,,1000,1,1,LTE,,,13656,,,
45.509964,-122.786682,311,480,1287,1425422,,1000,1,1,LTE,,,1287,,,
45.510067,-122.783038,310,260,13656,21852929,,1000,1,1,LTE,,,13656,,,
45.510137,-122.782415,310,260,13612,21852939,,7436,1,1,LTE,,,13612,,,
45.510177612305,-122.78388977051,310,410,36867,84509199,,1000,1,1,LTE,,,36867,,,
45.510177612305,-122.78388977051,310,260,35872,80660313,,1000,1,1,UMTS,,,,,,
45.510177612305,-122.78251647949,310,4174,1,331,,1000,1,1,CDMA,,,,4174,1,331
45.510177612305,-122.78251647949,310,410,33998,14359877,,1000,1,1,UMTS,,,,,,
