lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.133133,-106.60881,310,260,899,10713,,1000,1,1,CDMA,,,,260,899,10713
35.133135,-106.611805,311,870,313,22209,,1000,1,1,LTE,,,313,,,
35.133237,-106.61052,310,410,33025,120844695,,4051,1,1,LTE,,,33025,,,
35.133238,-106.609722,310,260,10527,46233634,,4773,1,1,LTE,,,10527,,,
35.133356,-106.605538,311,480,6402,6616076,,500,1,1,LTE,,,6402,,,
35.133366,-106.606461,310,260,897,48491814,,1000,1,1,LTE,,,897,,,
35.133478,-106.605397,311,480,6402,6616065,,3300,1,1,LTE,,,6402,,,
35.133545,-106.608246,310,410,33025,120427792,,1000,1,1,LTE,,,33025,,,
35.133590698242,-106.61201477051,310,260,10530,21524482,,1000,1,1,LTE,,,10530,,,
35.133590698242,-106.61201477051,310,410,47999,27932361,,1000,1,1,UMTS,,,,,,
35.133590698242,-106.61064147949,310,260,897,48442622,,1000,1,1,UMTS,,,,,,
35.133590698242,-106.61064147949,310,260,899,15723817,,1000,1,1,UMTS,,,,,,
35.133590698242,-106.60652160645,310,410,34020,423,,1000,1,1,GSM,,,,,,
35.133590698242,-106.60514831543,310,410,33025,26954621,,1000,1,1,LTE,,,33025,,,
35.133590698242,-106.60514831543,310,410,33025,26935725,,1000,1,1,LTE,,,33025,,,
35.133590698242,-106.60514831543,310,410,33025,26935720,,1000,1,1,LTE,,,33025,,,
35.133590698242,-106.60514831543,310,410,34020,492,,1000,1,1,GSM,,,,,,
35.133590698242,-106.60377502441,310,110,1,6753,,1000,1,1,CDMA,,,,110,1,6753
35.133590698242,-106.60377502441,310,410,65534,120325904,,1000,1,1,UMTS,,,,,,
35.133590698242,-106.60377502441,310,410,33025,26954624,,1000,1,1,LTE,,,33025,,,
35.133590698242,-106.60377502441,310,410,34020,421,,1000,1,1,GSM,,,,,,
35.133591,-106.609955,310,110,1,7715,,1000,1,1,CDMA,,,,110,1,7715
35.133591,-106.607208,310,120,6914,56638987,,1000,1,1,LTE,,,6914,,,
35.13365,-106.610804,310,410,33025,120819472,,3478,1,1,LTE,,,33025,,,
35.13365,-106.609626,310,120,313,6129,,1000,1,1,CDMA,,,,120,313,6129
35.133784,-106.609957,310,260,10527,48336526,,1776,1,1,LTE,,,10527,,,
35.133814,-106.60448,310,120,6965,57246491,,1996,1,1,LTE,,,6965,,,
35.133935,-106.604119,310,4274,93,4131,,2243,1,1,CDMA,,,,4274,93,4131
35.134048,-106.611099,310,260,897,48442619,,1000,1,1,UMTS,,,,,,
35.134049,-106.60469,310,120,6914,56652035,,4076,1,1,LTE,,,6914,,,
35.134186,-106.613139,310,260,10550,21035788,,9592,1,1,LTE,,,10550,,,
35.134235,-106.612006,311,870,313,6129,,3214,1,1,LTE,,,313,,,
35.13428,-106.611594,310,260,10527,46233612,,3158,1,1,LTE,,,10527,,,
