lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.490309,-74.452072,310,410,2358,208942089,,2248,1,1,LTE,,,2358,,,
40.490415,-74.449882,310,260,22796,11403011,,7857,1,1,LTE,,,22796,,,
40.490517,-74.446617,310,260,52107,45198,,1000,1,1,GSM,,,,,,
40.490583,-74.447916,310,410,3998,151627861,,1089,1,1,UMTS,,,,,,
40.4906,-74.4529,310,260,5891584,5426004279,,1000,1,1,NR,,,5891584,,,
40.490688,-74.449175,310,260,22796,11403012,,3933,1,1,LTE,,,22796,,,
40.490798950195,-74.456405639648,310,260,52158,242597187,,1000,1,1,UMTS,,,,,,
40.490798950195,-74.456405639648,310,16,6,345,,1000,1,1,CDMA,,,,16,6,345
40.490798950195,-74.450912475586,311,870,50049,102258178,,1000,1,1,LTE,,,50049,,,
40.490798950195,-74.450912475586,311,870,773,6338819,,1000,1,1,LTE,,,773,,,
40.490798950195,-74.446792602539,310,410,3948,43093,,1000,1,1,CDMA,,,,410,3948,43093
40.490798950195,-74.446792602539,310,260,52154,45204,,1000,1,1,CDMA,,,,260,52154,45204
40.490798950195,-74.446792602539,310,120,773,6355459,,1000,1,1,LTE,,,773,,,
40.490799,-74.45549,310,260,52154,135131370,,1000,1,1,UMTS,,,,,,
40.490936,-74.45105,311,870,897,102258178,,1000,1,1,LTE,,,897,,,
40.490946,-74.452814,311,480,22534,22539296,,2340,1,1,LTE,,,22534,,,
40.490971,-74.452801,310,120,773,6338819,,1000,1,1,LTE,,,773,,,
40.49101,-74.452497,310,260,32159,45199,,1000,1,1,CDMA,,,,260,32159,45199
40.491074,-74.457504,310,260,52154,135118152,,1000,1,1,UMTS,,,,,,
40.491074,-74.446274,312,530,22796,7670074,,1000,1,1,LTE,,,22796,,,
40.491076,-74.454322,312,530,22796,7670073,,1000,1,1,LTE,,,22796,,,
40.491132,-74.446145,310,260,22796,11403016,,1355,1,1,LTE,,,22796,,,
40.491349,-74.452015,310,410,2821,208942103,,1000,1,1,LTE,,,2821,,,
40.49141,-74.457504,310,260,22796,35449475,,1000,1,1,LTE,,,22796,,,
40.491448,-74.452552,310,410,2358,208942096,,1588,1,1,LTE,,,2358,,,
40.491461,-74.45181,310,260,5891584,5426004269,,1000,1,1,NR,,,5891584,,,
40.491486,-74.452973,312,530,22796,7670075,,1000,1,1,LTE,,,22796,,,
40.491623,-74.45311,310,410,2358,208942230,,1000,1,1,LTE,,,2358,,,
40.491712,-74.451699,310,260,23014,11403017,,1000,1,1,LTE,,,23014,,,
40.491943,-74.452286,310,410,2355,208942089,,1000,1,1,LTE,,,2355,,,
40.491947,-74.450613,310,410,3998,151616119,,1350,1,1,UMTS,,,,,,
40.491997,-74.448797,310,410,3998,151630339,,2590,1,1,UMTS,,,,,,
40.492047,-74.446668,311,870,50049,102258176,,1000,1,1,LTE,,,50049,,,
