lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.77278,-90.236746,310,120,309,23146,,2759,1,1,LTE,,,309,,,
38.772858,-90.241397,310,120,11019,90684186,,2506,1,1,LTE,,,11019,,,
38.773808,-90.234868,310,260,44802,9443842,,4366,1,1,LTE,,,44802,,,
38.774185180664,-90.239639282227,311,940,11019,76070667,,1000,1,1,LTE,,,11019,,,
38.774185180664,-90.238265991211,310,260,39499,14402655,,1000,1,1,UMTS,,,,,,
38.774271,-90.239468,311,870,11019,76070667,,1000,1,1,LTE,,,11019,,,
38.7747,-90.238953,311,940,11019,76070658,,1000,1,1,LTE,,,11019,,,
38.77485,-90.236919,310,410,26380,62425865,,8655,1,1,LTE,,,26380,,,
38.77497,-90.238462,311,870,43652,76070667,,1000,1,1,LTE,,,43652,,,
38.775196,-90.234968,310,260,44801,6545165,,9424,1,1,LTE,,,44801,,,
38.775448,-90.240685,311,870,309,13995,,1000,1,1,CDMA,,,,870,309,13995
38.775558,-90.238796,311,480,54784,54870787,,1000,1,1,LTE,,,54784,,,
38.77555847168,-90.241012573242,310,410,24507,122105401,,1000,1,1,UMTS,,,,,,
38.77555847168,-90.238265991211,311,870,43652,76070658,,1000,1,1,LTE,,,43652,,,
38.77555847168,-90.238265991211,311,870,11019,76070658,,1000,1,1,LTE,,,11019,,,
38.775731,-90.239124,310,260,39498,14403241,,2472,1,1,UMTS,,,,,,
38.776011,-90.239874,311,480,54784,54870817,,1000,1,1,LTE,,,54784,,,
38.776099,-90.242672,310,260,44802,8743169,,2093,1,1,LTE,,,44802,,,
38.776245,-90.238266,311,11,1,4947,,1000,1,1,LTE,,,1,,,
38.776474,-90.238724,310,260,39498,14410700,,1000,1,1,UMTS,,,,,,
38.776549,-90.240227,311,870,309,23257,,1000,1,1,CDMA,,,,870,309,23257
38.77655,-90.24041,310,120,309,7385,,1000,1,1,CDMA,,,,120,309,7385
38.776585,-90.239647,310,260,39496,14410697,,1000,1,1,LTE,,,39496,,,
38.776591,-90.240501,311,870,309,23145,,1000,1,1,CDMA,,,,870,309,23145
38.77663,-90.240852,310,120,309,7002,,1000,1,1,CDMA,,,,120,309,7002
38.776642,-90.240768,311,870,309,23227,,1000,1,1,CDMA,,,,870,309,23227
38.776661,-90.240749,311,870,309,7145,,1000,1,1,CDMA,,,,870,309,7145
38.776691,-90.241646,310,120,309,7162,,1000,1,1,CDMA,,,,120,309,7162
38.776755,-90.240006,311,870,309,7002,,1000,1,1,CDMA,,,,870,309,7002
38.776931762695,-90.241012573242,311,480,55045,54870787,,1000,1,1,LTE,,,55045,,,
38.776931762695,-90.239639282227,310,410,65535,61713681,,1000,1,1,UMTS,,,,,,
38.776931762695,-90.239639282227,311,490,11019,90230282,,1000,1,1,LTE,,,11019,,,
38.776931762695,-90.239639282227,311,480,54784,54794017,,1000,1,1,LTE,,,54784,,,
38.776932,-90.240326,310,410,65535,62425872,,1000,1,1,UMTS,,,,,,
38.776932,-90.240326,311,480,55045,54870817,,1000,1,1,LTE,,,55045,,,
38.776932,-90.238724,311,870,43652,76117506,,1000,1,1,LTE,,,43652,,,
38.776935,-90.237979,310,260,44801,9443842,,1178,1,1,LTE,,,44801,,,
38.77739,-90.238266,310,260,39498,14410695,,1124,1,1,UMTS,,,,,,
38.777863,-90.238052,310,410,26380,62425872,,8317,1,1,LTE,,,26380,,,
38.778051,-90.236132,310,410,24506,122132080,,3088,1,1,UMTS,,,,,,
38.778305053711,-90.239639282227,311,870,18564,76070658,,1000,1,1,LTE,,,18564,,,
38.779678344727,-90.236892700195,311,940,11019,76070666,,1000,1,1,LTE,,,11019,,,
38.779678344727,-90.23551940918,311,870,18564,76070666,,1000,1,1,LTE,,,18564,,,
38.780059,-90.239011,310,260,44801,8743169,,2243,1,1,LTE,,,44801,,,
38.780113,-90.236496,310,260,44926,9443852,,1000,1,1,LTE,,,44926,,,
