lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.960596,-74.212983,311,480,25608,25691424,,15749,1,1,LTE,,,25608,,,
39.961582,-74.218391,310,410,2352,208334509,,1000,1,1,LTE,,,2352,,,
39.961678,-74.218178,310,410,2352,208964375,,1000,1,1,LTE,,,2352,,,
39.962923,-74.214678,310,260,22802,11780358,,1000,1,1,LTE,,,22802,,,
39.963455200195,-74.214706420898,310,410,3941,169405263,,1000,1,1,UMTS,,,,,,
39.963455200195,-74.214706420898,310,410,3949,169405263,,1000,1,1,UMTS,,,,,,
39.963455200195,-74.214706420898,310,410,3941,169354958,,1000,1,1,UMTS,,,,,,
39.963478,-74.21473,310,410,2440,208901912,,1000,1,1,LTE,,,2440,,,
39.964142,-74.218826,310,410,3944,169208652,,1000,1,1,UMTS,,,,,,
39.964741,-74.211426,310,260,22785,11291138,,1000,1,1,LTE,,,22785,,,
39.964828,-74.221279,310,260,22785,11780358,,1000,1,1,LTE,,,22785,,,
39.964828,-74.220559,310,260,22785,11780355,,1000,1,1,LTE,,,22785,,,
39.964828491211,-74.220199584961,310,260,52193,39448941,,1000,1,1,UMTS,,,,,,
39.964828491211,-74.218826293945,310,410,3941,60236,,1000,1,1,CDMA,,,,410,3941,60236
39.964828491211,-74.211959838867,311,480,25609,25632771,,1000,1,1,LTE,,,25609,,,
39.965559,-74.215949,310,260,22802,11780355,,2254,1,1,LTE,,,22802,,,
39.965652,-74.221298,310,260,52193,39436198,,1000,1,1,UMTS,,,,,,
39.965661,-74.217911,310,260,52193,39435779,,1000,1,1,UMTS,,,,,,
39.966122,-74.218964,310,260,22802,11291141,,1000,1,1,LTE,,,22802,,,
39.966201782227,-74.211959838867,311,480,25605,25691424,,1000,1,1,LTE,,,25605,,,
39.966545,-74.214363,310,260,52106,48643,,1000,1,1,GSM,,,,,,
39.967575073242,-74.214706420898,311,480,25605,25691395,,1000,1,1,LTE,,,25605,,,
39.967921,-74.211174,310,260,52154,135131501,,1948,1,1,UMTS,,,,,,
39.968202,-74.220348,310,120,22802,610115,,1988,1,1,LTE,,,22802,,,
39.968574,-74.212959,311,8,2,4965,,1000,1,1,LTE,,,2,,,
