lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
42.327542,-72.654876,310,120,543,4325659,,1000,1,1,LTE,,,543,,,
42.328304,-72.655072,310,260,20993,13351942,,2334,1,1,LTE,,,20993,,,
42.329194,-72.658028,310,260,52061,256287767,,2400,1,1,LTE,,,52061,,,
42.329788,-72.656732,310,410,1027,16729353,,9216,1,1,LTE,,,1027,,,
42.330524,-72.655856,310,260,20993,13351939,,2497,1,1,LTE,,,20993,,,
42.330597,-72.653275,311,480,16898,16944385,,1000,1,1,LTE,,,16898,,,
42.331008911133,-72.656021118164,310,410,6972,131730852,,1000,1,1,UMTS,,,,,,
42.331008911133,-72.654647827148,310,410,6972,131780858,,1000,1,1,UMTS,,,,,,
42.332382202148,-72.654647827148,310,120,525,4325659,,1000,1,1,LTE,,,525,,,
42.334976,-72.654901,311,480,16898,16934670,,1578,1,1,LTE,,,16898,,,
