lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.93731,-75.120941,310,260,22028,11813894,,8717,1,1,LTE,,,22028,,,
39.937343,-75.115747,310,260,22028,15134999,,1110,1,1,LTE,,,22028,,,
39.937362670898,-75.122451782227,310,260,65534,12405506,,1000,1,1,UMTS,,,,,,
39.937362670898,-75.122451782227,310,260,65534,11901442,,1000,1,1,UMTS,,,,,,
39.937362670898,-75.119705200195,311,480,25355,25393174,,1000,1,1,LTE,,,25355,,,
39.937362670898,-75.115585327148,311,870,13463,56361216,,1000,1,1,LTE,,,13463,,,
39.937416,-75.118311,311,480,25356,25393174,,2275,1,1,LTE,,,25356,,,
39.937559,-75.121078,310,260,34687,85841900,,1000,1,1,UMTS,,,,,,
39.937686,-75.111912,310,260,22028,11138057,,6934,1,1,LTE,,,22028,,,
39.937987,-75.115835,311,870,4865,56361216,,1000,1,1,LTE,,,4865,,,
39.938049,-75.113525,311,8,11,4972,,1000,1,1,LTE,,,11,,,
39.93809,-75.118332,311,870,38551,56361225,,1000,1,1,LTE,,,38551,,,
39.938129,-75.112053,312,530,22028,39854099,,1000,1,1,LTE,,,22028,,,
39.938211,-75.113015,310,410,285,8595223,,2455,1,1,LTE,,,285,,,
39.938526,-75.11395,310,260,34687,85841899,,2417,1,1,UMTS,,,,,,
39.93853,-75.116768,310,260,34675,7521,,1000,1,1,GSM,,,,,,
39.938735961914,-75.11833190918,310,260,22028,12405519,,1000,1,1,UMTS,,,,,,
39.938735961914,-75.115585327148,311,870,13463,56361225,,1000,1,1,LTE,,,13463,,,
39.938735961914,-75.114212036133,310,410,2966,141986721,,1000,1,1,UMTS,,,,,,
39.938735961914,-75.112838745117,310,410,2932,141986728,,1000,1,1,UMTS,,,,,,
39.938735961914,-75.111465454102,311,480,25355,102237216,,1000,1,1,LTE,,,25355,,,
39.939016,-75.122103,310,260,22028,34958397,,1585,1,1,LTE,,,22028,,,
39.939175,-75.11166,310,120,4865,41185339,,2576,1,1,LTE,,,4865,,,
39.939327,-75.113622,310,260,22028,12313355,,5052,1,1,LTE,,,22028,,,
