lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
26.258681,-98.200205,310,120,13059,108299569,,1000,1,1,LTE,,,13059,,,
26.258698,-98.198548,310,410,54799,103304894,,1000,1,1,UMTS,,,,,,
26.259384155273,-98.195114135742,310,410,64947,125337971,,1000,1,1,UMTS,,,,,,
26.259384155273,-98.195114135742,310,410,3286,103501525,,1000,1,1,UMTS,,,,,,
26.259384155273,-98.195114135742,310,410,3286,103483270,,1000,1,1,UMTS,,,,,,
26.259384155273,-98.195114135742,310,410,3286,103501928,,1000,1,1,UMTS,,,,,,
26.259384155273,-98.195114135742,310,410,3286,103501496,,1000,1,1,UMTS,,,,,,
26.259782,-98.202125,310,260,30851,17053441,,1000,1,1,LTE,,,30851,,,
26.2603,-98.196945,310,260,5673,24032,,1000,1,1,GSM,,,,,,
26.260757446289,-98.20198059082,311,480,35844,35855640,,1000,1,1,LTE,,,35844,,,
26.261021,-98.201324,310,410,29453,138766863,,1000,1,1,LTE,,,29453,,,
26.261215,-98.197403,310,260,5673,24202,,1000,1,1,GSM,,,,,,
26.261689,-98.20295,310,410,29453,138766870,,1125,1,1,LTE,,,29453,,,
26.262130737305,-98.193740844727,310,410,3286,103501925,,1000,1,1,UMTS,,,,,,
26.262299,-98.202634,310,410,54796,103501925,,2654,1,1,UMTS,,,,,,
26.262362,-98.193555,310,260,34307,19736844,,3264,1,1,LTE,,,34307,,,
26.262528,-98.200854,310,410,29453,138894870,,1965,1,1,LTE,,,29453,,,
26.262589,-98.197861,310,260,5673,12123,,1000,1,1,GSM,,,,,,
26.263073,-98.199747,310,410,29453,138883842,,1785,1,1,LTE,,,29453,,,
26.263235,-98.196935,310,120,13059,108299577,,1000,1,1,LTE,,,13059,,,
26.263425,-98.198802,310,260,34307,39395351,,3016,1,1,LTE,,,34307,,,
26.26350402832,-98.20198059082,310,120,13059,107605562,,1000,1,1,LTE,,,13059,,,
26.26350402832,-98.197860717773,310,410,54796,103483270,,1000,1,1,UMTS,,,,,,
26.263617,-98.202332,310,260,34307,16483872,,1000,1,1,LTE,,,34307,,,
26.263617,-98.202332,310,260,34307,39356962,,1000,1,1,LTE,,,34307,,,
26.263779,-98.200333,310,260,2795,66019959,,1000,1,1,UMTS,,,,,,
26.264191,-98.195801,310,260,5673,24932,,1000,1,1,GSM,,,,,,
26.264328,-98.201706,310,260,2795,66018959,,1000,1,1,UMTS,,,,,,
26.264877319336,-98.196487426758,310,410,29457,138289169,,1000,1,1,LTE,,,29457,,,
26.265335,-98.197858,310,260,9903,24463,,5107,1,1,CDMA,,,,260,9903,24463
26.265493,-98.200016,310,260,34307,19736853,,1684,1,1,LTE,,,34307,,,
26.265502,-98.195364,310,260,30851,17049357,,1078,1,1,LTE,,,30851,,,
26.265678,-98.19456,310,410,29453,138417161,,3760,1,1,LTE,,,29453,,,
26.265709,-98.201775,310,410,29453,138894884,,1000,1,1,LTE,,,29453,,,
26.265736,-98.200264,310,260,2795,66006875,,1000,1,1,UMTS,,,,,,
26.265923,-98.2015,310,410,29453,138766849,,1000,1,1,LTE,,,29453,,,
26.266250610352,-98.197860717773,310,410,54799,103305320,,1000,1,1,UMTS,,,,,,
26.266816,-98.198265,310,120,13059,106962435,,1000,1,1,LTE,,,13059,,,
26.267188,-98.193343,310,260,30851,17049347,,1000,1,1,LTE,,,30851,,,
