lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.572205,-101.898438,312,250,31863,41136927,,1000,1,1,LTE,,,31863,,,
33.572319,-101.896019,310,120,311,26794,,1000,1,1,LTE,,,311,,,
33.572578,-101.899727,312,250,31863,120186939,,1000,1,1,LTE,,,31863,,,
33.572662,-101.899635,312,250,31863,120186682,,1000,1,1,LTE,,,31863,,,
33.572662,-101.899635,310,260,31863,41184789,,1000,1,1,LTE,,,31863,,,
33.572704,-101.900558,310,260,31748,129544581,,1000,1,1,LTE,,,31748,,,
33.572949,-101.894755,310,410,27657,202596105,,5802,1,1,LTE,,,27657,,,
33.573294,-101.900737,311,870,311,26553,,2461,1,1,LTE,,,311,,,
33.573536,-101.89537,310,410,27657,203280022,,5146,1,1,LTE,,,27657,,,
33.573616,-101.894837,312,250,31863,119545610,,1000,1,1,LTE,,,31863,,,
33.573641,-101.894494,310,410,27657,202529802,,4555,1,1,LTE,,,27657,,,
33.574905395508,-101.89476013184,310,410,28910,108800899,,1000,1,1,UMTS,,,,,,
33.575442,-101.897298,312,530,31863,120189489,,2158,1,1,LTE,,,31863,,,
33.5755,-101.894734,310,410,27657,203281944,,1000,1,1,LTE,,,27657,,,
33.575505,-101.90066,310,410,27657,202517520,,7959,1,1,LTE,,,27657,,,
33.575539,-101.8958,310,260,31863,16259842,,6160,1,1,LTE,,,31863,,,
33.575592,-101.899567,310,410,28902,40612,,1000,1,1,CDMA,,,,410,28902,40612
33.575886,-101.897742,311,870,31863,121054275,,1575,1,1,LTE,,,31863,,,
33.576168,-101.891998,310,410,27657,202529844,,1000,1,1,LTE,,,27657,,,
33.576278686523,-101.89750671387,310,410,28910,40618,,1000,1,1,CDMA,,,,410,28910,40618
33.576278686523,-101.89750671387,310,410,28910,108830378,,1000,1,1,UMTS,,,,,,
33.576278686523,-101.89476013184,310,260,47397,16259842,,1000,1,1,UMTS,,,,,,
33.576278686523,-101.8920135498,310,410,28902,108306181,,1000,1,1,UMTS,,,,,,
33.576278686523,-101.8920135498,310,260,65534,16259842,,1000,1,1,UMTS,,,,,,
33.576278686523,-101.8920135498,310,,14596,119544835,,1000,1,1,LTE,,,14596,,,
33.576515,-101.895595,310,410,27657,202567261,,2472,1,1,LTE,,,27657,,,
33.576677,-101.892014,310,260,31832,16254979,,1000,1,1,UMTS,,,,,,
33.576686,-101.892443,310,260,47397,20147174,,1213,1,1,UMTS,,,,,,
33.576885,-101.891927,310,410,27657,202529800,,5113,1,1,LTE,,,27657,,,
