lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
30.299279,-97.705732,310,120,7700,63539226,,1000,1,1,LTE,,,7700,,,
30.299606323242,-97.711715698242,310,260,2792,17003521,,1000,1,1,UMTS,,,,,,
30.299606323242,-97.710342407227,310,260,2792,85678648,,1000,1,1,UMTS,,,,,,
30.299606323242,-97.710342407227,310,410,28685,102542816,,1000,1,1,LTE,,,28685,,,
30.299606323242,-97.708969116211,310,410,28685,102502819,,1000,1,1,LTE,,,28685,,,
30.299606323242,-97.707595825195,310,410,28404,1293,,1000,1,1,GSM,,,,,,
30.299606323242,-97.70622253418,310,410,28683,211212297,,1000,1,1,LTE,,,28683,,,
30.300119,-97.71209,310,260,30841,38630679,,1000,1,1,LTE,,,30841,,,
30.300293,-97.7108,310,260,2792,85672926,,1000,1,1,UMTS,,,,,,
30.300293,-97.706223,310,260,52741,256234006,,1000,1,1,LTE,,,52741,,,
30.300459,-97.711044,310,260,30881,40868110,,5664,1,1,LTE,,,30881,,,
30.300719,-97.711837,310,260,30841,41089558,,3291,1,1,LTE,,,30841,,,
30.300979614258,-97.711715698242,311,490,7731,63493913,,1000,1,1,LTE,,,7731,,,
30.300979614258,-97.707595825195,310,260,2792,85668643,,1000,1,1,UMTS,,,,,,
30.300979614258,-97.707595825195,310,410,28685,102558786,,1000,1,1,LTE,,,28685,,,
30.300979614258,-97.707595825195,310,410,64945,125347798,,1000,1,1,UMTS,,,,,,
30.300979614258,-97.704849243164,310,410,28685,102417836,,1000,1,1,LTE,,,28685,,,
30.300979614258,-97.703475952148,310,410,28685,102548786,,1000,1,1,LTE,,,28685,,,
30.300979614258,-97.702102661133,310,260,2792,17039106,,1000,1,1,UMTS,,,,,,
30.301664,-97.712066,311,870,312,61938,,5771,1,1,LTE,,,312,,,
30.302352905273,-97.708969116211,310,410,28683,102545609,,1000,1,1,LTE,,,28683,,,
30.302352905273,-97.707595825195,310,410,28408,20601,,1000,1,1,CDMA,,,,410,28408,20601
30.302352905273,-97.707595825195,310,410,28685,102558789,,1000,1,1,LTE,,,28685,,,
30.302392,-97.706581,310,260,30841,38949381,,3905,1,1,LTE,,,30841,,,
30.30286,-97.706017,310,260,30841,38949481,,8353,1,1,LTE,,,30841,,,
30.30304,-97.706223,310,120,7700,63017729,,1000,1,1,LTE,,,7700,,,
30.303726,-97.712402,310,410,28988,102548789,,1000,1,1,UMTS,,,,,,
30.303726196289,-97.710342407227,310,410,28685,102409006,,1000,1,1,LTE,,,28685,,,
30.303726196289,-97.708969116211,310,410,28986,60485,,1000,1,1,CDMA,,,,410,28986,60485
30.303726196289,-97.707595825195,311,490,1287,5301249,,1000,1,1,LTE,,,1287,,,
30.303726196289,-97.70622253418,310,120,7731,63539226,,1000,1,1,LTE,,,7731,,,
30.303726196289,-97.703475952148,310,120,7682,63539226,,1000,1,1,LTE,,,7682,,,
30.30374,-97.70681,310,260,30841,40700943,,10495,1,1,LTE,,,30841,,,
30.303858,-97.71121,310,260,30841,39683942,,6546,1,1,LTE,,,30841,,,
30.303927,-97.711092,310,260,30881,39043176,,5615,1,1,LTE,,,30881,,,
30.304003,-97.703857,311,480,35078,35230744,,1000,1,1,LTE,,,35078,,,
30.304241,-97.707294,311,870,312,45938,,2470,1,1,LTE,,,312,,,
30.304262,-97.711644,310,260,2796,39803554,,4143,1,1,UMTS,,,,,,
30.304453,-97.710532,310,410,28986,102548789,,4739,1,1,UMTS,,,,,,
30.304514,-97.708942,310,410,28986,102558786,,2148,1,1,UMTS,,,,,,
30.304526,-97.711201,310,410,28685,211468304,,4384,1,1,LTE,,,28685,,,
30.305099487305,-97.711715698242,310,410,28685,102542815,,1000,1,1,LTE,,,28685,,,
30.305099487305,-97.710342407227,310,120,7681,62929154,,1000,1,1,LTE,,,7681,,,
30.305099487305,-97.708969116211,310,410,28408,20488,,1000,1,1,CDMA,,,,410,28408,20488
30.305099487305,-97.708969116211,310,410,28986,102558789,,1000,1,1,UMTS,,,,,,
30.305099487305,-97.707595825195,310,410,28685,102534209,,1000,1,1,LTE,,,28685,,,
30.305104,-97.709503,310,410,28685,211212297,,6907,1,1,LTE,,,28685,,,
30.3052,-97.709921,310,260,30841,39683852,,8796,1,1,LTE,,,30841,,,
30.305477,-97.70681,310,260,30841,44157828,,1000,1,1,LTE,,,30841,,,
30.305557,-97.706681,310,410,28986,102427833,,3117,1,1,UMTS,,,,,,
30.305657,-97.711476,310,260,30841,39684228,,1000,1,1,LTE,,,30841,,,
30.305696,-97.708771,310,260,30841,17039126,,1000,1,1,LTE,,,30841,,,
30.305835,-97.709705,310,410,28685,211212304,,1000,1,1,LTE,,,28685,,,
30.305856,-97.708649,310,410,28408,20482,,1333,1,1,CDMA,,,,410,28408,20482
30.306015,-97.708969,310,4120,95,6722,,1000,1,1,CDMA,,,,4120,95,6722
30.306088,-97.708859,310,410,28986,102548786,,1000,1,1,UMTS,,,,,,
30.306195,-97.707152,310,120,7700,62929154,,1000,1,1,LTE,,,7700,,,
30.306198,-97.705632,310,260,2792,85720133,,5213,1,1,UMTS,,,,,,
30.306309,-97.708884,310,410,28685,211212311,,9351,1,1,LTE,,,28685,,,
30.306334,-97.70842,310,260,30841,39683981,,1000,1,1,LTE,,,30841,,,
30.306334,-97.70842,310,260,30841,3108712,,1000,1,1,LTE,,,30841,,,
30.30634,-97.712324,310,260,30954,43088005,,7220,1,1,LTE,,,30954,,,
30.306437,-97.709372,310,260,30841,39683842,,9892,1,1,LTE,,,30841,,,
30.30647277832,-97.711715698242,311,870,7681,62929154,,1000,1,1,LTE,,,7681,,,
30.30647277832,-97.710342407227,310,410,65534,211468304,,1000,1,1,UMTS,,,,,,
30.30647277832,-97.710342407227,310,120,7682,62929154,,1000,1,1,LTE,,,7682,,,
30.30647277832,-97.708969116211,310,260,2796,39793285,,1000,1,1,UMTS,,,,,,
30.30647277832,-97.703475952148,310,410,28996,6366483,,1000,1,1,UMTS,,,,,,
30.30647277832,-97.703475952148,311,870,7682,62929154,,1000,1,1,LTE,,,7682,,,
30.306539,-97.708501,310,410,28685,211212461,,2081,1,1,LTE,,,28685,,,
30.306931,-97.709885,310,410,28988,102558786,,1000,1,1,UMTS,,,,,,
30.30723,-97.709395,310,410,28997,101837896,,1000,1,1,UMTS,,,,,,
30.307302,-97.709539,310,410,28685,211468297,,5014,1,1,LTE,,,28685,,,
30.307348,-97.709137,310,260,30841,3108612,,1000,1,1,LTE,,,30841,,,
30.307497,-97.709526,312,530,30841,64404274,,1000,1,1,LTE,,,30841,,,
30.30757,-97.709732,310,260,30841,3108622,,1000,1,1,LTE,,,30841,,,
30.30774,-97.710342,310,410,28685,211212438,,1000,1,1,LTE,,,28685,,,
30.307761,-97.711093,310,410,28685,211212290,,8504,1,1,LTE,,,28685,,,
30.307846069336,-97.711715698242,310,260,34309,16227842,,1000,1,1,LTE,,,34309,,,
30.307846069336,-97.710342407227,310,410,28986,50485,,1000,1,1,CDMA,,,,410,28986,50485
30.307846069336,-97.710342407227,310,120,1287,5276672,,1000,1,1,LTE,,,1287,,,
30.307846069336,-97.708969116211,310,410,28408,20693,,1000,1,1,CDMA,,,,410,28408,20693
30.307846069336,-97.708969116211,310,410,28986,60482,,1000,1,1,CDMA,,,,410,28986,60482
30.307846069336,-97.704849243164,310,260,2792,85668484,,1000,1,1,UMTS,,,,,,
30.307846069336,-97.704849243164,310,260,2792,85668489,,1000,1,1,UMTS,,,,,,
30.307899,-97.702571,310,410,28685,210839049,,4788,1,1,LTE,,,28685,,,
30.308033,-97.710014,310,410,28685,210839190,,3420,1,1,LTE,,,28685,,,
30.308048,-97.71138,310,260,30841,2563863,,1000,1,1,LTE,,,30841,,,
30.308079,-97.711098,310,260,30841,39683971,,1000,1,1,LTE,,,30841,,,
