lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.00516,-78.936066,310,410,12998,218337443,,1000,1,1,UMTS,,,,,,
36.005271,-78.937822,311,480,39680,39865090,,1000,1,1,LTE,,,39680,,,
36.005287,-78.940201,311,480,39680,39867650,,1000,1,1,LTE,,,39680,,,
36.005383,-78.93428,312,250,31601,31588866,,1000,1,1,LTE,,,31601,,,
36.005383,-78.93428,312,250,31601,31588865,,1000,1,1,LTE,,,31601,,,
36.005434,-78.944026,310,260,7403,13582,,1393,1,1,GSM,,,,,,
36.005441,-78.934564,311,480,39680,39864834,,1000,1,1,LTE,,,39680,,,
36.005493,-78.93663,310,260,7403,13941,,1000,1,1,GSM,,,,,,
36.005544,-78.937703,310,410,9988,195975821,,1000,1,1,LTE,,,9988,,,
36.00563,-78.942555,311,480,39680,116671500,,1000,1,1,LTE,,,39680,,,
36.00563,-78.941695,311,480,39680,39867905,,1000,1,1,LTE,,,39680,,,
36.005630493164,-78.942947387695,311,480,39680,116717068,,1000,1,1,LTE,,,39680,,,
36.005630493164,-78.94157409668,310,410,12236,10461,,1000,1,1,CDMA,,,,410,12236,10461
36.005630493164,-78.940200805664,310,410,12998,218303957,,1000,1,1,UMTS,,,,,,
36.005630493164,-78.938827514648,310,410,12998,218303958,,1000,1,1,UMTS,,,,,,
36.005630493164,-78.938827514648,311,480,39680,39865345,,1000,1,1,LTE,,,39680,,,
36.005630493164,-78.937454223633,311,480,39680,116666125,,1000,1,1,LTE,,,39680,,,
36.005630493164,-78.936080932617,310,410,9988,218303961,,1000,1,1,LTE,,,9988,,,
36.005759,-78.940018,310,410,9988,194827798,,5881,1,1,LTE,,,9988,,,
36.005789,-78.943865,310,410,12998,218301463,,2206,1,1,UMTS,,,,,,
36.005881,-78.938118,311,870,31601,31588611,,1000,1,1,LTE,,,31601,,,
36.006088,-78.942398,311,480,39680,39868417,,1000,1,1,LTE,,,39680,,,
36.006236,-78.940078,310,410,9988,195863173,,1000,1,1,LTE,,,9988,,,
36.006268,-78.934593,310,260,31601,15759117,,1000,1,1,LTE,,,31601,,,
36.006268,-78.934593,310,260,31601,227465534,,1000,1,1,LTE,,,31601,,,
36.006268,-78.934593,310,260,31601,38000447,,1000,1,1,LTE,,,31601,,,
36.006268,-78.934593,310,260,31601,15761165,,1000,1,1,LTE,,,31601,,,
36.0063,-78.9416,310,410,9988,194827784,,4307,1,1,LTE,,,9988,,,
36.006557,-78.934433,310,120,3842,31476994,,1000,1,1,LTE,,,3842,,,
36.006656,-78.94211,310,410,12998,218337524,,500,1,1,UMTS,,,,,,
36.006659,-78.933893,311,870,31601,230282554,,1000,1,1,LTE,,,31601,,,
36.006664,-78.936867,311,870,31601,67031091,,1000,1,1,LTE,,,31601,,,
