lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.55605,-90.52225,310,260,48125,29201551,,1000,1,1,LTE,,,48125,,,
41.556439,-90.517558,311,480,52805,52824087,,1000,1,1,LTE,,,52805,,,
41.55647277832,-90.526657104492,311,480,52805,129624096,,1000,1,1,LTE,,,52805,,,
41.556547,-90.525894,310,770,4571,48640781,,1000,1,1,LTE,,,4571,,,
41.5568,-90.524825,310,260,48125,29201541,,1000,1,1,LTE,,,48125,,,
41.556972,-90.524073,310,770,2571,151105,,1000,1,1,UMTS,,,,,,
41.557297,-90.522811,310,4124,1,9058,,1630,1,1,CDMA,,,,4124,1,9058
41.557714,-90.525856,310,410,29902,89366851,,1000,1,1,UMTS,,,,,,
41.557727,-90.517923,310,260,48125,26537996,,1147,1,1,LTE,,,48125,,,
41.557846069336,-90.526657104492,311,480,52805,129624097,,1000,1,1,LTE,,,52805,,,
41.557846069336,-90.522537231445,310,120,17669,144723202,,1000,1,1,LTE,,,17669,,,
41.557929,-90.526385,310,260,48125,26542093,,1542,1,1,LTE,,,48125,,,
41.55865,-90.522394,310,410,18433,74624265,,2910,1,1,LTE,,,18433,,,
41.558817,-90.517156,310,260,48125,26537986,,1000,1,1,LTE,,,48125,,,
41.559219,-90.524826,310,410,29902,89367658,,1852,1,1,UMTS,,,,,,
41.559219360352,-90.522537231445,310,120,17670,144705025,,1000,1,1,LTE,,,17670,,,
41.559415,-90.51662,310,410,18433,74626328,,7316,1,1,LTE,,,18433,,,
41.559769,-90.525833,310,410,29902,89366848,,1000,1,1,UMTS,,,,,,
41.560566,-90.517441,311,480,52805,52824090,,1000,1,1,LTE,,,52805,,,
41.560568,-90.523202,310,410,18433,74624279,,3642,1,1,LTE,,,18433,,,
41.56067,-90.525909,311,480,52805,52824100,,1948,1,1,LTE,,,52805,,,
41.56105,-90.524368,310,410,29902,89366855,,1000,1,1,UMTS,,,,,,
41.562199,-90.523963,310,260,48125,26537997,,1021,1,1,LTE,,,48125,,,
41.562441,-90.526724,310,410,18433,75296785,,1794,1,1,LTE,,,18433,,,
41.562653,-90.52597,310,186,1,4952,,1000,1,1,CDMA,,,,186,1,4952
41.563076,-90.519441,311,580,13,48678664,,1000,1,1,LTE,,,13,,,
41.563339233398,-90.52116394043,310,120,17671,144711681,,1000,1,1,LTE,,,17671,,,
41.563522,-90.517288,311,580,13,48852999,,1000,1,1,LTE,,,13,,,
41.564121,-90.526113,310,260,48125,26543115,,1907,1,1,LTE,,,48125,,,
41.564713,-90.515671,310,4124,1,9057,,1000,1,1,CDMA,,,,4124,1,9057
