lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.77306,-84.29554,310,410,11290,187648447,,1000,1,1,LTE,,,11290,,,
33.773064,-84.297294,310,260,30595,20283279,,1000,1,1,LTE,,,30595,,,
33.773142,-84.2981,310,410,11290,187903749,,1000,1,1,LTE,,,11290,,,
33.773397,-84.294554,310,260,33491,59705108,,1000,1,1,UMTS,,,,,,
33.773407,-84.294075,310,410,11290,187903945,,1000,1,1,LTE,,,11290,,,
33.773476,-84.294368,311,870,301,50802,,1000,1,1,LTE,,,301,,,
33.773575,-84.295349,310,260,33491,59705111,,1000,1,1,UMTS,,,,,,
33.773737,-84.290505,310,410,11290,187648257,,1000,1,1,LTE,,,11290,,,
33.773847,-84.289615,310,120,7631,62165051,,1000,1,1,LTE,,,7631,,,
33.774032592773,-84.297409057617,310,120,7631,60833538,,1000,1,1,LTE,,,7631,,,
33.774032592773,-84.297409057617,311,870,7433,62164786,,1000,1,1,LTE,,,7433,,,
33.774032592773,-84.297409057617,311,870,7433,62164794,,1000,1,1,LTE,,,7433,,,
33.774032592773,-84.29328918457,310,410,4544,224041040,,1000,1,1,UMTS,,,,,,
33.774033,-84.293976,310,260,2490,66258713,,1000,1,1,UMTS,,,,,,
33.774033,-84.292431,310,410,4544,224041044,,1000,1,1,UMTS,,,,,,
33.774368,-84.294891,311,480,44289,121113120,,1000,1,1,LTE,,,44289,,,
33.774769,-84.293428,310,410,11290,187698960,,1000,1,1,LTE,,,11290,,,
33.774899,-84.297264,312,250,30477,42796175,,1000,1,1,LTE,,,30477,,,
33.774933,-84.297219,310,260,30595,20151555,,1000,1,1,LTE,,,30595,,,
33.775177,-84.297867,310,260,33491,59755111,,1000,1,1,UMTS,,,,,,
33.775216,-84.297409,310,120,7631,62164802,,1000,1,1,LTE,,,7631,,,
33.775252,-84.298119,310,120,301,50787,,1000,1,1,CDMA,,,,120,301,50787
33.775352,-84.294716,310,120,3,7763,,1000,1,1,CDMA,,,,120,3,7763
33.775369,-84.298149,310,120,301,50802,,1335,1,1,LTE,,,301,,,
33.775374,-84.294169,310,410,11290,187903748,,1000,1,1,LTE,,,11290,,,
33.775405883789,-84.296035766602,310,120,7433,60833538,,1000,1,1,LTE,,,7433,,,
33.775405883789,-84.296035766602,310,120,7433,62164794,,1000,1,1,LTE,,,7433,,,
33.775405883789,-84.296035766602,310,120,7433,62164786,,1000,1,1,LTE,,,7433,,,
33.775405883789,-84.291915893555,310,260,2491,66258711,,1000,1,1,UMTS,,,,,,
33.775462,-84.294045,310,260,30595,20283268,,1852,1,1,LTE,,,30595,,,
33.775509,-84.297117,310,120,7631,62164786,,1000,1,1,LTE,,,7631,,,
33.775532,-84.297935,310,260,30595,38981903,,1000,1,1,LTE,,,30595,,,
33.775616,-84.296722,310,260,30595,18085399,,1000,1,1,LTE,,,30595,,,
33.775654,-84.289728,310,260,30595,38981902,,2319,1,1,LTE,,,30595,,,
33.775778,-84.291583,310,410,4544,224034040,,2941,1,1,UMTS,,,,,,
33.776034,-84.297348,310,410,11290,187903763,,2103,1,1,LTE,,,11290,,,
33.776093,-84.293976,310,410,4544,224034046,,1000,1,1,UMTS,,,,,,
33.776436,-84.292603,310,410,4544,224041043,,1000,1,1,UMTS,,,,,,
33.776601,-84.289824,310,260,30595,20283140,,1748,1,1,LTE,,,30595,,,
33.776608,-84.296036,310,410,11290,187698946,,1000,1,1,LTE,,,11290,,,
33.776638,-84.297408,310,410,11290,187903938,,1000,1,1,LTE,,,11290,,,
33.776688,-84.293682,310,410,11290,187699094,,2234,1,1,LTE,,,11290,,,
33.776735,-84.296036,310,120,7631,62164794,,1000,1,1,LTE,,,7631,,,
33.776779,-84.297867,310,260,38491,3733274,,1000,1,1,UMTS,,,,,,
33.776779174805,-84.297409057617,310,260,38491,1813,,1000,1,1,CDMA,,,,260,38491,1813
33.776779174805,-84.29328918457,310,260,23790,66258712,,1000,1,1,UMTS,,,,,,
33.776779174805,-84.291915893555,310,410,4544,38992,,1000,1,1,CDMA,,,,410,4544,38992
33.776779174805,-84.291915893555,310,260,33491,59755110,,1000,1,1,UMTS,,,,,,
33.777237,-84.290543,310,410,4311,31992,,1000,1,1,CDMA,,,,410,4311,31992
33.777891,-84.29552,310,260,30595,20151554,,1596,1,1,LTE,,,30595,,,
33.778128,-84.293937,310,410,11290,187903896,,2090,1,1,LTE,,,11290,,,
33.778152,-84.295349,310,410,4311,31993,,1000,1,1,CDMA,,,,410,4311,31993
33.77815246582,-84.297409057617,310,260,38491,3733269,,1000,1,1,UMTS,,,,,,
33.77815246582,-84.296035766602,310,260,2490,66288168,,1000,1,1,UMTS,,,,,,
33.77815246582,-84.296035766602,311,870,7433,60833538,,1000,1,1,LTE,,,7433,,,
33.77815246582,-84.294662475586,310,260,2494,40044314,,1000,1,1,UMTS,,,,,,
33.77815246582,-84.294662475586,311,480,44389,44412163,,1000,1,1,LTE,,,44389,,,
33.77816,-84.295776,310,410,11290,187903769,,1000,1,1,LTE,,,11290,,,
33.778194,-84.295776,310,410,11290,188588387,,1000,1,1,LTE,,,11290,,,
33.778194,-84.295776,310,410,11290,188588351,,1000,1,1,LTE,,,11290,,,
33.778194,-84.295776,310,410,11290,188589411,,1000,1,1,LTE,,,11290,,,
33.778194,-84.295776,310,410,11290,186889878,,1000,1,1,LTE,,,11290,,,
33.778194,-84.295776,310,410,11290,188589155,,1000,1,1,LTE,,,11290,,,
33.778393,-84.295692,310,410,11290,187878168,,1000,1,1,LTE,,,11290,,,
