lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.790512084961,-84.32487487793,310,410,11290,224032850,,1000,1,1,LTE,,,11290,,,
33.790512084961,-84.323501586914,310,410,4544,224037719,,1000,1,1,UMTS,,,,,,
33.790512084961,-84.323501586914,310,410,4544,224037718,,1000,1,1,UMTS,,,,,,
33.790512084961,-84.323501586914,310,120,7433,60917506,,1000,1,1,LTE,,,7433,,,
33.790512084961,-84.323501586914,310,410,11290,187793284,,1000,1,1,LTE,,,11290,,,
33.790512084961,-84.319381713867,311,480,44389,121210134,,1000,1,1,LTE,,,44389,,,
33.790512084961,-84.316635131836,310,410,4544,224063297,,1000,1,1,UMTS,,,,,,
33.790512084961,-84.31526184082,310,410,4544,224060291,,1000,1,1,UMTS,,,,,,
33.790668,-84.319559,310,410,4544,224035140,,1000,1,1,UMTS,,,,,,
33.791074,-84.321816,310,120,7627,61263643,,1000,1,1,LTE,,,7627,,,
33.791389,-84.316658,311,870,301,50514,,1000,1,1,LTE,,,301,,,
33.791502,-84.31919,310,260,30602,16305154,,1000,1,1,LTE,,,30602,,,
33.791596,-84.316857,310,410,11290,188447895,,1000,1,1,LTE,,,11290,,,
33.791615,-84.32019,311,870,301,34514,,1000,1,1,LTE,,,301,,,
33.791685,-84.315262,310,260,30595,61008643,,1000,1,1,LTE,,,30595,,,
33.791711,-84.318292,312,530,301,50627,,1000,1,1,LTE,,,301,,,
33.791748,-84.320183,310,410,11290,187792508,,1000,1,1,LTE,,,11290,,,
33.791758,-84.319775,312,530,301,50514,,1000,1,1,LTE,,,301,,,
33.791798,-84.32048,311,480,44298,44362332,,1000,1,1,LTE,,,44298,,,
33.791798,-84.32048,311,480,44298,44362262,,1000,1,1,LTE,,,44298,,,
33.791885,-84.323158,310,410,11290,187667588,,1000,1,1,LTE,,,11290,,,
33.791885,-84.320326,310,120,7627,62339891,,1563,1,1,LTE,,,7627,,,
33.791885,-84.317837,310,410,4544,224035146,,1000,1,1,UMTS,,,,,,
33.791885375977,-84.323501586914,310,410,4544,224032813,,1000,1,1,UMTS,,,,,,
33.791885375977,-84.323501586914,310,410,4544,224039815,,1000,1,1,UMTS,,,,,,
33.791885375977,-84.323501586914,310,410,4544,224039812,,1000,1,1,UMTS,,,,,,
33.791885375977,-84.322128295898,311,480,44289,121089578,,1000,1,1,LTE,,,44289,,,
33.791885375977,-84.322128295898,310,410,4544,224032812,,1000,1,1,UMTS,,,,,,
33.791885375977,-84.322128295898,311,480,44298,44289540,,1000,1,1,LTE,,,44298,,,
33.791885375977,-84.322128295898,310,410,11290,187667589,,1000,1,1,LTE,,,11290,,,
33.791885375977,-84.322128295898,311,480,44298,121089568,,1000,1,1,LTE,,,44298,,,
33.791885375977,-84.322128295898,311,480,44298,44289548,,1000,1,1,LTE,,,44298,,,
33.791885375977,-84.320755004883,310,410,4544,224032815,,1000,1,1,UMTS,,,,,,
33.791885375977,-84.320755004883,310,410,11290,187846788,,1000,1,1,LTE,,,11290,,,
33.791885375977,-84.320755004883,310,410,4544,224032811,,1000,1,1,UMTS,,,,,,
33.791885375977,-84.318008422852,310,410,4544,34095,,1000,1,1,CDMA,,,,410,4544,34095
33.791885375977,-84.316635131836,310,120,7433,62339891,,1000,1,1,LTE,,,7433,,,
33.791885375977,-84.31526184082,310,410,4544,224060294,,1000,1,1,UMTS,,,,,,
33.791885375977,-84.31526184082,310,410,4544,224063291,,1000,1,1,UMTS,,,,,,
33.791918,-84.321403,310,260,30595,41099789,,1000,1,1,LTE,,,30595,,,
33.791985,-84.322037,310,260,30595,41099779,,1000,1,1,LTE,,,30595,,,
33.792,-84.317207,310,120,7627,61008643,,1000,1,1,LTE,,,7627,,,
33.792053,-84.321877,312,530,301,7633,,1000,1,1,LTE,,,301,,,
33.792198,-84.32019,310,410,11286,187792071,,1000,1,1,LTE,,,11286,,,
33.792229,-84.320068,310,260,2691,59764388,,1000,1,1,UMTS,,,,,,
33.792278,-84.320755,310,410,11290,187846789,,1000,1,1,LTE,,,11290,,,
33.79234,-84.321255,310,260,30595,41100043,,1000,1,1,LTE,,,30595,,,
33.792393,-84.321571,311,480,3,7634,,1000,1,1,LTE,,,3,,,
33.792507,-84.323593,310,260,30595,41099778,,1000,1,1,LTE,,,30595,,,
33.792526,-84.323494,310,260,30595,41099788,,1000,1,1,LTE,,,30595,,,
33.792572,-84.322128,311,480,44298,44289538,,1000,1,1,LTE,,,44298,,,
33.792666,-84.320432,310,410,11290,187791888,,1000,1,1,LTE,,,11290,,,
33.792693,-84.323609,310,120,7627,62248754,,1000,1,1,LTE,,,7627,,,
33.792858,-84.324059,310,410,11290,187668489,,1000,1,1,LTE,,,11290,,,
33.792866,-84.320363,310,410,11290,187792022,,1000,1,1,LTE,,,11290,,,
33.792924,-84.322832,310,120,7627,62248762,,1000,1,1,LTE,,,7627,,,
33.792934,-84.319443,310,410,11290,187792764,,1000,1,1,LTE,,,11290,,,
33.793043,-84.317373,310,260,9271,10092,,4964,1,1,GSM,,,,,,
33.793153,-84.319593,310,120,7627,62339899,,1000,1,1,LTE,,,7627,,,
33.793182,-84.320755,310,410,11290,187668496,,1000,1,1,UMTS,,,,,,
33.793258666992,-84.323501586914,311,480,44289,121089568,,1000,1,1,LTE,,,44289,,,
33.793258666992,-84.322128295898,310,260,2491,66266988,,1000,1,1,UMTS,,,,,,
33.793258666992,-84.322128295898,310,260,23796,66266988,,1000,1,1,UMTS,,,,,,
33.793258666992,-84.322128295898,310,120,7433,62248754,,1000,1,1,LTE,,,7433,,,
33.793258666992,-84.319381713867,310,410,4544,224032798,,1000,1,1,UMTS,,,,,,
33.793258666992,-84.319381713867,310,410,4544,224032799,,1000,1,1,UMTS,,,,,,
33.793258666992,-84.319381713867,310,410,4544,224032802,,1000,1,1,UMTS,,,,,,
33.793258666992,-84.316635131836,310,260,23791,59764388,,1000,1,1,UMTS,,,,,,
33.793305,-84.32487,310,410,11290,187847689,,1000,1,1,LTE,,,11290,,,
33.793461,-84.318722,310,410,11290,187667324,,1000,1,1,LTE,,,11290,,,
33.793718,-84.319486,310,260,33491,59713388,,1000,1,1,UMTS,,,,,,
33.793808,-84.322128,310,120,7627,62248770,,1000,1,1,LTE,,,7627,,,
33.793945,-84.320068,310,410,4311,30750,,1000,1,1,CDMA,,,,410,4311,30750
33.794174,-84.318008,310,260,33491,59764390,,1000,1,1,UMTS,,,,,,
33.794391,-84.32457,310,410,11290,187791880,,1000,1,1,LTE,,,11290,,,
33.79452,-84.323958,310,410,11290,187791887,,1000,1,1,LTE,,,11290,,,
33.794631958008,-84.32487487793,310,410,4544,33096,,1000,1,1,CDMA,,,,410,4544,33096
33.794631958008,-84.32487487793,310,120,7433,62248762,,1000,1,1,LTE,,,7433,,,
33.794631958008,-84.320755004883,310,41,3,7634,,1000,1,1,CDMA,,,,41,3,7634
33.794631958008,-84.320755004883,310,410,11290,187727120,,1000,1,1,UMTS,,,,,,
33.794631958008,-84.320755004883,310,410,11290,224032798,,1000,1,1,LTE,,,11290,,,
33.794631958008,-84.319381713867,310,410,4544,33092,,1000,1,1,CDMA,,,,410,4544,33092
33.794632,-84.315261,310,260,38491,59716099,,1000,1,1,UMTS,,,,,,
33.794901,-84.320743,310,410,11290,187727113,,1000,1,1,LTE,,,11290,,,
33.795368,-84.321335,310,410,11290,187668482,,1000,1,1,LTE,,,11290,,,
33.795443,-84.324563,310,410,11290,187847696,,1000,1,1,LTE,,,11290,,,
33.796005249023,-84.322128295898,310,260,30602,17724162,,1000,1,1,LTE,,,30602,,,
33.796005249023,-84.322128295898,310,120,7433,62248761,,1000,1,1,LTE,,,7433,,,
33.796451,-84.322942,310,410,11290,187894425,,2037,1,1,LTE,,,11290,,,
33.797146,-84.322433,310,410,11286,187727113,,1000,1,1,LTE,,,11286,,,
33.797146,-84.322433,310,410,11286,187792064,,1000,1,1,LTE,,,11286,,,
