lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
32.368764,-99.742985,310,410,28104,18162,,5053,1,1,CDMA,,,,410,28104,18162
32.369155883789,-99.74006652832,311,870,14598,119579906,,1000,1,1,LTE,,,14598,,,
32.37190246582,-99.745559692383,310,410,28911,108895729,,1000,1,1,UMTS,,,,,,
32.372803,-99.743767,310,410,27658,203275010,,1000,1,1,LTE,,,27658,,,
32.373047,-99.740982,311,480,35588,35751456,,1000,1,1,LTE,,,35588,,,
32.373275756836,-99.745559692383,310,410,28906,18163,,1000,1,1,CDMA,,,,410,28906,18163
32.373275756836,-99.745559692383,310,410,28906,14062,,1000,1,1,CDMA,,,,410,28906,14062
32.373275756836,-99.745559692383,310,410,28906,108545779,,1000,1,1,UMTS,,,,,,
32.373275756836,-99.741439819336,310,410,28906,18168,,1000,1,1,CDMA,,,,410,28906,18168
32.374195,-99.741943,310,410,27658,203700502,,1000,1,1,LTE,,,27658,,,
32.374329,-99.74527,310,410,27658,203275011,,1000,1,1,LTE,,,27658,,,
32.374592,-99.742783,311,870,311,13834,,1000,1,1,CDMA,,,,870,311,13834
32.374649047852,-99.745559692383,310,410,28911,108870655,,1000,1,1,UMTS,,,,,,
32.374699,-99.742928,311,870,311,13755,,1000,1,1,CDMA,,,,870,311,13755
32.374878,-99.744213,311,870,311,13545,,1000,1,1,CDMA,,,,870,311,13545
32.375018,-99.744557,311,870,311,13498,,1000,1,1,CDMA,,,,870,311,13498
32.375045,-99.744484,311,870,311,13626,,1000,1,1,CDMA,,,,870,311,13626
32.375515,-99.743729,311,870,311,29834,,1000,1,1,LTE,,,311,,,
32.375656,-99.74176,310,410,27658,203275009,,1000,1,1,LTE,,,27658,,,
