lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.847854614258,-74.228439331055,310,120,3075,26520626,,1000,1,1,LTE,,,3075,,,
40.848222,-74.233422,310,260,22789,11368708,,2417,1,1,LTE,,,22789,,,
40.84837,-74.229812,310,260,52162,124622379,,1510,1,1,UMTS,,,,,,
40.848408,-74.232966,310,260,22809,11261443,,1952,1,1,LTE,,,22809,,,
40.848622,-74.230842,310,260,22809,11198465,,1943,1,1,LTE,,,22809,,,
40.848868,-74.230716,310,410,2432,208308396,,1000,1,1,LTE,,,2432,,,
40.849189,-74.230985,310,410,2432,208308234,,2779,1,1,LTE,,,2432,,,
40.849228,-74.229126,310,4162,1,803,,1000,1,1,CDMA,,,,4162,1,803
40.84967,-74.23768,310,260,22809,12152579,,2525,1,1,LTE,,,22809,,,
40.849915,-74.231186,311,16,14,684,,1000,1,1,LTE,,,14,,,
40.850661,-74.23075,311,480,23297,23340054,,1000,1,1,LTE,,,23297,,,
40.850745,-74.230963,310,410,3978,169981891,,1448,1,1,UMTS,,,,,,
40.851288,-74.234325,311,480,23297,23340034,,1000,1,1,LTE,,,23297,,,
40.85178,-74.233444,310,260,22809,11198467,,2325,1,1,LTE,,,22809,,,
40.852164,-74.230061,310,410,3978,169971891,,1286,1,1,UMTS,,,,,,
40.852737,-74.231186,310,410,3978,169971897,,1000,1,1,UMTS,,,,,,
40.853004,-74.230156,310,120,3075,26520627,,1000,1,1,LTE,,,3075,,,
40.8532,-74.235747,310,260,52100,35513,,1040,1,1,GSM,,,,,,
40.854925,-74.234518,310,16,15,4888,,51885,1,1,CDMA,,,,16,15,4888
40.855765,-74.230502,310,410,2432,208308395,,1000,1,1,LTE,,,2432,,,
40.85582,-74.234177,311,480,,23310616,,1000,1,1,LTE,,,,,,
40.856094360352,-74.233932495117,310,410,3978,170036322,,1000,1,1,UMTS,,,,,,
40.856094360352,-74.22981262207,310,260,52162,124620685,,1000,1,1,UMTS,,,,,,
40.856094360352,-74.22981262207,310,260,52162,124620680,,1000,1,1,UMTS,,,,,,
