lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.709667,-77.808283,310,120,6155,51776059,,1177,1,1,LTE,,,6155,,,
38.712387084961,-77.805862426758,310,410,10978,12703,,1000,1,1,GSM,,,,,,
38.713498,-77.812522,310,260,20446,13104643,,2593,1,1,LTE,,,20446,,,
38.713697,-77.809851,310,260,20446,33273733,,5450,1,1,LTE,,,20446,,,
38.713761,-77.806549,310,410,10978,194720165,,1000,1,1,UMTS,,,,,,
38.713872,-77.804661,310,410,5126,166725130,,1000,1,1,LTE,,,5126,,,
38.714041,-77.804235,310,410,4668,166725130,,1000,1,1,LTE,,,4668,,,
38.714569,-77.814183,310,410,4668,166725137,,3987,1,1,UMTS,,,,,,
38.71504,-77.810138,310,410,65534,166725137,,1000,1,1,UMTS,,,,,,
38.715133666992,-77.807235717773,310,410,10978,13903,,1000,1,1,GSM,,,,,,
38.716017,-77.808277,311,480,29964,30008352,,1000,1,1,LTE,,,29964,,,
38.716241,-77.813454,311,480,29954,30009100,,1000,1,1,LTE,,,29954,,,
38.716506958008,-77.814102172852,311,480,29964,30008834,,1000,1,1,LTE,,,29964,,,
