lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.545267,-101.871957,311,870,31863,121054257,,4774,1,1,LTE,,,31863,,,
33.545361,-101.864212,310,260,31863,41137214,,1000,1,1,LTE,,,31863,,,
33.54538,-101.864258,310,260,31863,41137184,,1000,1,1,LTE,,,31863,,,
33.545627,-101.865536,310,120,14646,120172569,,1000,1,1,LTE,,,14646,,,
33.545692,-101.870682,311,870,31863,119586313,,1000,1,1,LTE,,,31863,,,
33.545814,-101.870335,311,480,35328,35441686,,1000,1,1,LTE,,,35328,,,
33.545849,-101.872423,310,410,27657,202627594,,2845,1,1,LTE,,,27657,,,
33.546373,-101.872117,310,410,27657,203271732,,1539,1,1,LTE,,,27657,,,
33.546516,-101.873665,310,260,31863,39879951,,1000,1,1,LTE,,,31863,,,
33.546516,-101.873665,310,260,31863,39879949,,1000,1,1,LTE,,,31863,,,
33.546516,-101.873665,310,260,31748,129530125,,1000,1,1,LTE,,,31748,,,
33.546822,-101.872361,310,410,27657,202627608,,1566,1,1,LTE,,,27657,,,
33.546859,-101.86691,310,260,31863,16250401,,3834,1,1,LTE,,,31863,,,
33.547064,-101.864779,310,260,31863,2773637,,4034,1,1,LTE,,,31863,,,
33.547121,-101.873632,311,870,311,10729,,3800,1,1,LTE,,,311,,,
33.54715,-101.871846,310,260,31872,2773261,,2061,1,1,LTE,,,31872,,,
33.547255,-101.871693,310,120,311,120170521,,1000,1,1,LTE,,,311,,,
33.547297,-101.866234,311,870,31863,120170778,,1000,1,1,LTE,,,31863,,,
33.547368,-101.869474,310,260,31863,16250431,,1835,1,1,LTE,,,31863,,,
33.547715,-101.863701,310,410,27657,202627600,,2733,1,1,LTE,,,27657,,,
33.547795,-101.867657,310,410,27657,203271730,,4164,1,1,LTE,,,27657,,,
33.548277,-101.872452,310,120,311,119544585,,1000,1,1,LTE,,,311,,,
33.548332,-101.872972,310,260,31863,16268801,,8870,1,1,LTE,,,31863,,,
33.548435,-101.870895,310,260,31872,3765505,,1000,1,1,LTE,,,31872,,,
33.548599,-101.868337,310,260,31863,44500879,,1000,1,1,LTE,,,31863,,,
33.54867,-101.872529,311,480,35328,35441666,,1000,1,1,LTE,,,35328,,,
33.548771,-101.870041,310,260,31872,16264993,,1000,1,1,LTE,,,31872,,,
33.548812866211,-101.87278747559,310,410,28910,108805166,,1000,1,1,UMTS,,,,,,
33.548812866211,-101.87141418457,310,410,28902,40303,,1000,1,1,CDMA,,,,410,28902,40303
33.548812866211,-101.86454772949,310,410,28902,108280613,,1000,1,1,UMTS,,,,,,
33.548931,-101.869034,310,120,311,26826,,1000,1,1,CDMA,,,,120,311,26826
33.548931,-101.867714,311,870,1,11859,,1000,1,1,CDMA,,,,870,1,11859
33.548931,-101.867714,311,870,1,11330,,1000,1,1,CDMA,,,,870,1,11330
33.548931,-101.867714,311,870,1,11329,,1000,1,1,CDMA,,,,870,1,11329
33.549007,-101.870491,310,260,31863,3357828,,1000,1,1,LTE,,,31863,,,
33.549188,-101.864441,310,260,31863,2773254,,9665,1,1,LTE,,,31863,,,
33.54936,-101.866536,310,260,31863,41137165,,1000,1,1,LTE,,,31863,,,
33.54981,-101.87007,310,260,31863,41137153,,6946,1,1,LTE,,,31863,,,
33.549888,-101.87016,312,530,31863,120162841,,1740,1,1,LTE,,,31863,,,
33.550035,-101.870453,311,480,35328,35441667,,1000,1,1,LTE,,,35328,,,
33.550184,-101.864127,310,260,31863,41137164,,1000,1,1,LTE,,,31863,,,
33.550186157227,-101.87004089355,310,410,28910,40303,,1000,1,1,CDMA,,,,410,28910,40303
33.550236,-101.867959,312,530,31863,121054265,,2067,1,1,LTE,,,31863,,,
33.551332,-101.866221,312,530,31863,121054273,,2096,1,1,LTE,,,31863,,,
33.552174,-101.865112,310,260,31872,16261378,,1000,1,1,LTE,,,31872,,,
33.552748,-101.868704,310,410,27657,202627606,,1441,1,1,LTE,,,27657,,,
33.553076,-101.865973,310,260,31872,39879950,,2724,1,1,LTE,,,31872,,,
33.553128,-101.869077,311,480,35328,35441698,,1342,1,1,LTE,,,35328,,,
33.55331,-101.864044,312,530,31863,120877114,,1000,1,1,LTE,,,31863,,,
33.553686,-101.870594,310,260,31872,44500877,,1000,1,1,LTE,,,31872,,,
33.553862,-101.866833,310,,311,58809,,1475,1,1,GSM,,,,,,
33.553985,-101.868242,310,410,27657,202627592,,6411,1,1,LTE,,,27657,,,
