lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.754427,-78.824182,310,260,31583,17368873,,5671,1,1,LTE,,,31583,,,
33.754458,-78.818817,311,480,40720,117634594,,1000,1,1,LTE,,,40720,,,
33.754645,-78.821977,310,120,2049,16785923,,1000,1,1,LTE,,,2049,,,
33.754711,-78.816577,310,120,68,8506,,1000,1,1,CDMA,,,,120,68,8506
33.755508,-78.824599,310,,103,12187,,1000,1,1,LTE,,,103,,,
33.757881,-78.821303,311,480,40720,117634592,,1385,1,1,LTE,,,40720,,,
33.758131,-78.822539,311,480,40720,40834592,,3010,1,1,LTE,,,40720,,,
33.758173,-78.816126,310,410,10518,20522256,,7576,1,1,LTE,,,10518,,,
33.758485,-78.824098,311,480,40720,40834563,,5545,1,1,LTE,,,40720,,,
33.758507,-78.819966,311,480,40706,40719372,,1000,1,1,LTE,,,40706,,,
33.759041,-78.820675,310,260,31583,17368835,,1000,1,1,LTE,,,31583,,,
33.759089,-78.821285,311,480,40720,40834593,,1000,1,1,LTE,,,40720,,,
33.759193,-78.820468,311,480,40706,40719361,,1000,1,1,LTE,,,40706,,,
33.760189,-78.819828,311,480,103,12587,,1000,1,1,LTE,,,103,,,
33.760817,-78.824738,310,410,10518,20857750,,4499,1,1,LTE,,,10518,,,
33.761672973633,-78.816604614258,310,260,31723,46325105,,1000,1,1,LTE,,,31723,,,
33.761783,-78.815974,311,480,40720,40850721,,1000,1,1,LTE,,,40720,,,
