lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.030209,-73.626534,310,260,31896,,,1000,1,1,UMTS,,,,,,
41.031297,-73.635539,310,410,1539,13338122,,1000,1,1,LTE,,,1539,,,
41.031338,-73.62437,310,410,1539,13338128,,1647,1,1,LTE,,,1539,,,
41.031875610352,-73.625564575195,310,410,1539,13005328,,1000,1,1,LTE,,,1539,,,
41.032791,-73.628769,310,260,31898,59516703,,1000,1,1,UMTS,,,,,,
41.033248901367,-73.631057739258,310,4162,14,797,,1000,1,1,CDMA,,,,4162,14,797
41.033248901367,-73.626937866211,311,870,4609,39085362,,1000,1,1,LTE,,,4609,,,
41.033248901367,-73.625564575195,310,260,31898,11842050,,1000,1,1,UMTS,,,,,,
41.033249,-73.628139,310,410,1539,13338121,,1000,1,1,LTE,,,1539,,,
41.034622,-73.63472,310,120,4609,39085363,,1000,1,1,LTE,,,4609,,,
41.035995483398,-73.626937866211,310,120,4609,39085369,,1000,1,1,LTE,,,4609,,,
41.037197,-73.62608,311,480,16640,16662798,,1000,1,1,LTE,,,16640,,,
41.038746,-73.629688,310,260,31898,60068,,2646,1,1,CDMA,,,,260,31898,60068
41.038746,-73.629688,310,260,31898,62413,,2646,1,1,CDMA,,,,260,31898,62413
