lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.51386,-90.198748,311,230,1,51336706,,1000,1,1,LTE,,,1,,,
33.514137,-90.19844,310,410,20928,212049472,,1586,1,1,UMTS,,,,,,
33.51448059082,-90.199813842773,310,410,20928,212049478,,1000,1,1,UMTS,,,,,,
33.51507,-90.192989,310,260,45571,7162,,1000,1,1,LTE,,,45571,,,
33.515126,-90.197534,310,410,20929,212049478,,2635,1,1,UMTS,,,,,,
33.515171,-90.203321,310,410,15136,52237065,,1456,1,1,LTE,,,15136,,,
33.515484,-90.203651,311,480,46087,46259459,,1000,1,1,LTE,,,46087,,,
33.516093,-90.200836,310,410,15136,52237064,,1000,1,1,LTE,,,15136,,,
33.516914,-90.203651,311,480,46087,46252291,,1000,1,1,LTE,,,46087,,,
33.516964,-90.19604,310,410,15136,52237079,,2076,1,1,LTE,,,15136,,,
33.517651,-90.203499,310,260,33018,18587404,,3190,1,1,LTE,,,33018,,,
33.51806,-90.196113,310,410,15136,52262672,,2417,1,1,LTE,,,15136,,,
33.518600463867,-90.202560424805,310,120,10251,83954178,,1000,1,1,LTE,,,10251,,,
33.5188,-90.193659,310,410,15136,52226577,,2072,1,1,LTE,,,15136,,,
33.519284,-90.20333,311,230,1,51303682,,1628,1,1,LTE,,,1,,,
33.519287,-90.203247,310,120,10248,83954178,,1000,1,1,LTE,,,10248,,,
33.519974,-90.203247,310,410,20928,40515,,1000,1,1,CDMA,,,,410,20928,40515
