lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
26.540191,-81.85418,310,410,13323,180742401,,2624,1,1,LTE,,,13323,,,
26.540908813477,-81.850204467773,310,260,15198,14097549,,1000,1,1,UMTS,,,,,,
26.542113,-81.850216,310,410,13323,181709058,,2182,1,1,LTE,,,13323,,,
26.542421,-81.852875,310,260,33121,16592385,,1000,1,1,LTE,,,33121,,,
26.542587,-81.850357,310,410,27696,232316602,,1000,1,1,UMTS,,,,,,
26.543183,-81.854705,310,410,13323,180742591,,2544,1,1,LTE,,,13323,,,
26.543191,-81.850256,310,410,13323,181709065,,6557,1,1,LTE,,,13323,,,
26.543524,-81.853117,311,490,33164,38769168,,1000,1,1,LTE,,,33164,,,
26.543655395508,-81.852951049805,310,4151,501,58688,,1000,1,1,CDMA,,,,4151,501,58688
26.544278,-81.855341,310,260,33267,43715183,,1000,1,1,LTE,,,33267,,,
26.545008,-81.849861,310,260,33029,222572055,,1000,1,1,LTE,,,33029,,,
26.545028686523,-81.851577758789,310,120,13450,110403394,,1000,1,1,LTE,,,13450,,,
26.545303,-81.846754,310,260,33121,38769168,,2522,1,1,LTE,,,33121,,,
26.5454,-81.855348,310,260,33164,38769168,,1000,1,1,LTE,,,33164,,,
26.545704,-81.850204,310,260,33267,70051340,,1000,1,1,LTE,,,33267,,,
26.545704,-81.850204,310,260,33267,222476300,,1000,1,1,LTE,,,33267,,,
26.545715,-81.852493,310,260,15198,14097558,,1000,1,1,UMTS,,,,,,
26.545715,-81.846771,310,410,27696,232317088,,1000,1,1,UMTS,,,,,,
26.545972,-81.847974,310,260,33121,19588101,,2912,1,1,LTE,,,33121,,,
26.546221,-81.853035,311,490,305,38747,,1000,1,1,LTE,,,305,,,
26.546221,-81.853035,311,490,305,38554,,1000,1,1,LTE,,,305,,,
26.546221,-81.853035,311,490,305,38665,,1000,1,1,LTE,,,305,,,
26.546221,-81.853035,311,490,305,38587,,1000,1,1,LTE,,,305,,,
26.54628,-81.852925,310,260,33029,222572431,,1000,1,1,LTE,,,33029,,,
26.54637,-81.854958,310,260,62337,6548816173,,1558,1,1,NR,,,62337,,,
26.546401977539,-81.85432434082,310,260,15198,14097564,,1000,1,1,UMTS,,,,,,
26.546401977539,-81.852951049805,310,260,29398,14097564,,1000,1,1,UMTS,,,,,,
26.546401977539,-81.850204467773,310,120,13315,109057795,,1000,1,1,LTE,,,13315,,,
26.546401977539,-81.848831176758,310,260,15198,7307,,1000,1,1,CDMA,,,,260,15198,7307
26.546401977539,-81.847457885742,310,410,27696,180774415,,1000,1,1,UMTS,,,,,,
26.546402,-81.854599,310,120,13410,109685529,,1612,1,1,LTE,,,13410,,,
26.546639,-81.845838,310,260,29381,3912,,1000,1,1,GSM,,,,,,
26.546689,-81.845785,311,490,33164,109680409,,1000,1,1,LTE,,,33164,,,
26.546693,-81.845566,311,490,33164,16592752,,1000,1,1,LTE,,,33164,,,
26.546702,-81.850891,310,120,13450,109057537,,1025,1,1,LTE,,,13450,,,
26.546741,-81.855265,310,260,33103,17955078,,1496,1,1,LTE,,,33103,,,
26.546826,-81.855129,310,260,33121,17955078,,9649,1,1,LTE,,,33121,,,
26.546994,-81.85001,310,260,8516352,6548811797,,1000,1,1,NR,,,8516352,,,
26.547251,-81.854969,310,260,33267,43715459,,1000,1,1,LTE,,,33267,,,
26.547399,-81.845552,311,490,33164,17333505,,1261,1,1,LTE,,,33164,,,
26.547693,-81.849701,310,410,13323,180774571,,1000,1,1,LTE,,,13323,,,
26.547947,-81.847629,310,120,13450,109680409,,1529,1,1,LTE,,,13450,,,
26.54796,-81.854565,312,530,33121,109072130,,1763,1,1,LTE,,,33121,,,
26.548119,-81.846428,310,410,27696,232317091,,1000,1,1,UMTS,,,,,,
