lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
30.472007,-84.229801,310,410,27578,230594936,,1000,1,1,UMTS,,,,,,
30.472023,-84.230617,310,410,12552,177159184,,3299,1,1,LTE,,,12552,,,
30.472283,-84.232118,310,410,12552,177159170,,4251,1,1,LTE,,,12552,,,
30.472640991211,-84.230117797852,310,410,27578,39282,,1000,1,1,CDMA,,,,410,27578,39282
30.472641,-84.227764,310,120,13842,77691915,,1000,1,1,LTE,,,13842,,,
30.473679,-84.232638,310,410,12552,177174294,,3143,1,1,LTE,,,12552,,,
30.473707,-84.234663,310,410,12552,178419315,,3184,1,1,LTE,,,12552,,,
30.475331,-84.234888,310,260,32613,17390594,,6856,1,1,LTE,,,32613,,,
30.47622,-84.235558,310,410,12552,177159318,,3703,1,1,LTE,,,12552,,,
30.476760864258,-84.23698425293,310,260,43999,563060,,1000,1,1,UMTS,,,,,,
30.476760864258,-84.23698425293,310,260,43999,1903,,1000,1,1,CDMA,,,,260,43999,1903
30.476761,-84.23053,310,120,13842,77699082,,1000,1,1,LTE,,,13842,,,
30.476862,-84.234918,310,120,13842,77694218,,1000,1,1,LTE,,,13842,,,
30.477526,-84.235527,310,120,307,1290,,1000,1,1,CDMA,,,,120,307,1290
30.477575,-84.234545,310,120,13892,78128154,,1000,1,1,LTE,,,13892,,,
30.478134155273,-84.23698425293,311,870,13842,77694210,,1000,1,1,LTE,,,13842,,,
30.478134155273,-84.23698425293,311,870,13892,78128154,,1000,1,1,LTE,,,13892,,,
30.4782,-84.226986,310,260,43971,1901,,1773,1,1,GSM,,,,,,
30.47837,-84.234776,310,410,12552,177159359,,1000,1,1,LTE,,,12552,,,
30.478671,-84.228502,310,120,307,1321,,1000,1,1,CDMA,,,,120,307,1321
30.479046,-84.234897,310,120,13842,77694210,,1000,1,1,LTE,,,13842,,,
30.479114,-84.227859,311,480,36613,36817409,,2614,1,1,LTE,,,36613,,,
30.479145,-84.230347,310,120,307,17227,,1000,1,1,CDMA,,,,120,307,17227
30.479527,-84.233795,310,260,32623,77699074,,1000,1,1,LTE,,,32623,,,
