lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.805696,-74.208971,310,260,23020,10649608,,1000,1,1,LTE,,,23020,,,
40.805777,-74.20042,311,480,23297,23307267,,1000,1,1,LTE,,,23297,,,
40.806163,-74.202624,310,260,22789,13245445,,3995,1,1,LTE,,,22789,,,
40.806329,-74.208756,311,480,23297,23432450,,1000,1,1,LTE,,,23297,,,
40.806538,-74.200584,312,250,22805,14585091,,1000,1,1,LTE,,,22805,,,
40.806655883789,-74.210586547852,311,870,3075,25199875,,1000,1,1,LTE,,,3075,,,
40.806655883789,-74.209213256836,310,260,52161,124619238,,1000,1,1,UMTS,,,,,,
40.806655883789,-74.209213256836,310,260,52162,163938815,,1000,1,1,UMTS,,,,,,
40.806655883789,-74.209213256836,311,16,14,545,,1000,1,1,LTE,,,14,,,
40.806655883789,-74.200973510742,311,480,23297,23307298,,1000,1,1,LTE,,,23297,,,
40.806712,-74.208826,311,480,23297,23304470,,2144,1,1,LTE,,,23297,,,
40.807173,-74.209072,310,260,60505,5426241837,,1000,1,1,NR,,,60505,,,
40.807245,-74.201054,310,260,52162,163936612,,1000,1,1,UMTS,,,,,,
40.808029174805,-74.210586547852,310,410,3998,151630270,,1000,1,1,UMTS,,,,,,
40.808029174805,-74.210586547852,311,870,3075,25194241,,1000,1,1,LTE,,,3075,,,
40.808029174805,-74.209213256836,310,260,52162,249135248,,1000,1,1,UMTS,,,,,,
40.808029174805,-74.200973510742,310,260,52162,163936615,,1000,1,1,UMTS,,,,,,
40.808396,-74.203913,310,410,2369,208347152,,1311,1,1,LTE,,,2369,,,
40.808559,-74.211357,312,250,22809,10649601,,1000,1,1,LTE,,,22809,,,
40.808559,-74.211357,312,250,22809,25199875,,1000,1,1,LTE,,,22809,,,
40.808559,-74.211357,312,250,22805,32098049,,1000,1,1,LTE,,,22805,,,
40.808653,-74.202005,310,260,22789,10649604,,4761,1,1,LTE,,,22789,,,
40.808689,-74.208321,310,260,23012,55521303,,1000,1,1,LTE,,,23012,,,
40.808865,-74.211196,310,260,22789,10649601,,1709,1,1,LTE,,,22789,,,
40.809295,-74.206653,310,410,2369,208347145,,1000,1,1,LTE,,,2369,,,
40.809402,-74.211273,310,260,52162,124644003,,1000,1,1,UMTS,,,,,,
40.80940246582,-74.209213256836,310,260,52162,151630270,,1000,1,1,UMTS,,,,,,
40.80940246582,-74.200973510742,310,260,52161,124619521,,1000,1,1,UMTS,,,,,,
40.809541,-74.208176,310,260,23012,55521679,,1000,1,1,LTE,,,23012,,,
40.8098,-74.209424,310,260,52162,124620433,,1000,1,1,UMTS,,,,,,
40.809991,-74.203655,310,410,3982,151623336,,1000,1,1,UMTS,,,,,,
40.810008,-74.207539,310,260,23012,55521283,,1000,1,1,LTE,,,23012,,,
40.810125,-74.209647,310,120,3076,25199875,,1000,1,1,LTE,,,3076,,,
40.810226,-74.20015,310,120,3076,26531122,,1000,1,1,LTE,,,3076,,,
40.810318,-74.200363,310,120,3076,26531130,,1000,1,1,LTE,,,3076,,,
40.81061,-74.199702,310,410,3985,164140706,,1000,1,1,UMTS,,,,,,
40.810689,-74.207595,310,260,22809,11083528,,6639,1,1,LTE,,,22809,,,
40.810775756836,-74.209213256836,310,260,32170,35589,,1000,1,1,CDMA,,,,260,32170,35589
40.810775756836,-74.206466674805,310,260,52162,35588,,1000,1,1,CDMA,,,,260,52162,35588
40.810775756836,-74.205093383789,310,260,52162,124619524,,1000,1,1,UMTS,,,,,,
40.810775756836,-74.205093383789,310,260,52162,124644584,,1000,1,1,UMTS,,,,,,
40.810775756836,-74.205093383789,310,410,3998,151623336,,1000,1,1,UMTS,,,,,,
40.810881,-74.203298,310,260,52162,124619521,,1000,1,1,UMTS,,,,,,
40.810892,-74.204908,310,260,22789,11369986,,1000,1,1,LTE,,,22789,,,
40.810901,-74.20787,310,260,60505,5510766895,,1000,1,1,NR,,,60505,,,
40.811039,-74.203598,310,120,8,8892,,1000,1,1,CDMA,,,,120,8,8892
40.811657,-74.208221,310,260,23012,55521293,,3385,1,1,LTE,,,23012,,,
40.812149,-74.211175,310,4162,8,8636,,1000,1,1,CDMA,,,,4162,8,8636
40.812149,-74.200287,310,410,2358,208347152,,1000,1,1,LTE,,,2358,,,
40.812149047852,-74.210586547852,310,260,52162,124620427,,1000,1,1,UMTS,,,,,,
40.812149047852,-74.210586547852,311,870,3076,25194241,,1000,1,1,LTE,,,3076,,,
40.812149047852,-74.205093383789,310,410,2358,208347145,,1000,1,1,LTE,,,2358,,,
40.812149047852,-74.203720092773,310,4162,1,456,,1000,1,1,CDMA,,,,4162,1,456
40.812149047852,-74.203720092773,310,410,2369,208347286,,1000,1,1,LTE,,,2369,,,
40.812149047852,-74.202346801758,310,410,3982,151623330,,1000,1,1,UMTS,,,,,,
40.812149047852,-74.202346801758,310,410,3998,151623330,,1000,1,1,UMTS,,,,,,
40.812218,-74.208694,310,260,22809,13245448,,1011,1,1,LTE,,,22809,,,
40.812439,-74.200134,310,260,22805,11369986,,1000,1,1,LTE,,,22805,,,
40.813522338867,-74.209213256836,310,410,3998,151610275,,1000,1,1,UMTS,,,,,,
40.813522338867,-74.209213256836,310,260,52162,124619525,,1000,1,1,UMTS,,,,,,
40.813702,-74.208359,310,260,60505,5510766893,,1000,1,1,NR,,,60505,,,
40.813797,-74.209213,310,410,3982,151623337,,1000,1,1,UMTS,,,,,,
40.814209,-74.211273,311,870,3076,25199873,,1000,1,1,LTE,,,3076,,,
40.814394,-74.208694,310,260,23012,55521677,,1000,1,1,LTE,,,23012,,,
