lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.054271,-106.581301,310,260,10550,46110476,,1000,1,1,LTE,,,10550,,,
35.05452,-106.581223,310,260,10550,46110219,,1000,1,1,LTE,,,10550,,,
35.05452,-106.581223,310,260,10550,46110209,,1000,1,1,LTE,,,10550,,,
35.054729,-106.581764,310,260,897,23814150,,1000,1,1,UMTS,,,,,,
35.054741,-106.581802,310,260,897,21514755,,1000,1,1,UMTS,,,,,,
35.054855,-106.580887,310,410,47999,26936251,,1000,1,1,UMTS,,,,,,
35.055708,-106.582062,310,260,10550,46109954,,1000,1,1,LTE,,,10550,,,
35.055807,-106.582082,310,260,10550,46109964,,1000,1,1,LTE,,,10550,,,
35.056686401367,-106.58317565918,310,120,6916,56641282,,1000,1,1,LTE,,,6916,,,
35.058059692383,-106.58729553223,310,410,47999,48492077,,1000,1,1,UMTS,,,,,,
35.058059692383,-106.58317565918,310,870,313,21954,,1000,1,1,CDMA,,,,870,313,21954
35.05806,-106.583922,311,480,6402,6484000,,1000,1,1,LTE,,,6402,,,
35.058263,-106.587362,310,260,10550,21518850,,25511,1,1,LTE,,,10550,,,
35.058799,-106.584634,311,480,6402,6617622,,500,1,1,LTE,,,6402,,,
35.058872,-106.583916,311,480,6402,6489603,,1000,1,1,LTE,,,6402,,,
35.059075,-106.578705,310,260,801,13553,,1000,1,1,GSM,,,,,,
35.059104,-106.579228,311,480,6402,6649878,,2162,1,1,LTE,,,6402,,,
35.059361,-106.57798,311,480,6402,83416864,,1000,1,1,LTE,,,6402,,,
35.059361,-106.57798,311,480,6402,6617626,,1000,1,1,LTE,,,6402,,,
35.059403,-106.576915,311,480,6402,6649858,,6867,1,1,LTE,,,6402,,,
35.059432983398,-106.58729553223,310,4274,93,4274,,1000,1,1,CDMA,,,,4274,93,4274
35.059432983398,-106.58592224121,310,260,897,10975,,1000,1,1,CDMA,,,,260,897,10975
35.059432983398,-106.58042907715,310,260,899,15674076,,1000,1,1,UMTS,,,,,,
35.059432983398,-106.58042907715,310,260,899,15674079,,1000,1,1,UMTS,,,,,,
35.059475,-106.586441,310,260,10527,21061181,,1000,1,1,LTE,,,10527,,,
35.05949,-106.579483,310,260,801,10971,,1000,1,1,UMTS,,,,,,
35.059613,-106.586384,310,260,10527,21061124,,1000,1,1,LTE,,,10527,,,
35.059624,-106.578674,311,490,313,5954,,1000,1,1,CDMA,,,,490,313,5954
35.059631,-106.578679,311,490,313,5953,,1000,1,1,CDMA,,,,490,313,5953
35.059891,-106.583176,310,410,47999,26936247,,1000,1,1,UMTS,,,,,,
35.060299,-106.586037,310,260,10527,46119181,,1000,1,1,LTE,,,10527,,,
35.060588,-106.576862,311,490,313,6050,,1682,1,1,CDMA,,,,490,313,6050
35.060631,-106.587055,310,120,313,21953,,1000,1,1,LTE,,,313,,,
35.060644,-106.587067,310,120,313,22051,,1000,1,1,LTE,,,313,,,
35.060806,-106.585236,310,4274,93,4273,,1000,1,1,CDMA,,,,4274,93,4273
35.060806274414,-106.58729553223,310,260,899,10971,,1000,1,1,CDMA,,,,260,899,10971
35.060806274414,-106.58042907715,310,410,47999,954,,1000,1,1,GSM,,,,,,
35.060806274414,-106.57905578613,310,410,47999,957,,1000,1,1,CDMA,,,,410,47999,957
35.060806274414,-106.57905578613,310,410,47999,1684410,,1000,1,1,UMTS,,,,,,
35.060806274414,-106.57905578613,310,410,47999,1684411,,1000,1,1,UMTS,,,,,,
35.061009,-106.581543,310,260,10550,46119181,,2271,1,1,LTE,,,10550,,,
35.061114,-106.585077,311,480,6402,83417622,,1000,1,1,LTE,,,6402,,,
35.061344,-106.58123,310,410,47999,26936253,,2360,1,1,UMTS,,,,,,
35.061676,-106.584953,311,480,6402,6617624,,1000,1,1,LTE,,,6402,,,
35.061722,-106.585464,310,260,897,10971,,1000,1,1,CDMA,,,,260,897,10971
35.061913,-106.581238,310,120,313,5954,,1000,1,1,LTE,,,313,,,
35.061919,-106.580314,310,260,10550,46305056,,1603,1,1,LTE,,,10550,,,
35.061954,-106.57679,310,260,10550,46119180,,1918,1,1,LTE,,,10550,,,
35.061983,-106.584353,310,260,897,10974,,1000,1,1,CDMA,,,,260,897,10974
35.06217956543,-106.5845489502,310,120,6916,56641281,,1000,1,1,LTE,,,6916,,,
35.06217956543,-106.57768249512,311,870,6914,57244697,,1000,1,1,LTE,,,6914,,,
35.06218,-106.583347,311,110,1,7011,,1000,1,1,LTE,,,1,,,
