lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.523421,-82.945817,310,410,12153,20453,,19968,1,1,CDMA,,,,410,12153,20453
35.525246,-82.941246,311,480,38932,38913026,,1000,1,1,LTE,,,38932,,,
35.525585,-82.941246,311,480,38932,115713049,,1000,1,1,LTE,,,38932,,,
35.525585,-82.941246,311,480,38932,115713046,,1000,1,1,LTE,,,38932,,,
35.525684,-82.942932,311,480,38932,192662287,,1000,1,1,LTE,,,38932,,,
35.525948,-82.941582,311,480,38932,115713047,,1000,1,1,LTE,,,38932,,,
35.52768,-82.940731,310,410,9888,20705033,,4426,1,1,LTE,,,9888,,,
35.528137,-82.937416,311,480,38952,115889433,,1000,1,1,LTE,,,38952,,,
35.528164,-82.944611,311,480,38932,115713052,,1000,1,1,LTE,,,38932,,,
35.529098510742,-82.937850952148,310,410,12976,217403787,,1000,1,1,UMTS,,,,,,
35.529114,-82.938843,310,260,51611,257026227,,1000,1,1,LTE,,,51611,,,
