lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
44.967646,-93.25716,310,260,43526,5223701,,9573,1,1,LTE,,,43526,,,
44.967648,-93.265198,311,870,43526,161610519,,1000,1,1,LTE,,,43526,,,
44.967648,-93.265198,311,870,43526,161610517,,1000,1,1,LTE,,,43526,,,
44.967727661133,-93.26774597168,310,120,19713,161574912,,1000,1,1,LTE,,,19713,,,
44.967727661133,-93.264999389648,310,260,29892,33598514,,1000,1,1,UMTS,,,,,,
44.967727661133,-93.264999389648,311,480,48909,49130006,,1000,1,1,LTE,,,48909,,,
44.967727661133,-93.263626098633,310,410,32517,91967469,,1000,1,1,UMTS,,,,,,
44.967727661133,-93.262252807617,311,870,19713,161610499,,1000,1,1,LTE,,,19713,,,
44.967727661133,-93.260879516602,310,260,29892,33604925,,1000,1,1,UMTS,,,,,,
44.967727661133,-93.260879516602,310,260,29871,40633,,1000,1,1,GSM,,,,,,
44.967727661133,-93.256759643555,310,260,29895,40638,,1000,1,1,CDMA,,,,260,29895,40638
44.967728,-93.264999,311,870,19713,161572353,,1000,1,1,LTE,,,19713,,,
44.967728,-93.262596,311,480,48909,202730058,,1000,1,1,LTE,,,48909,,,
44.967729,-93.256303,310,410,32005,11035,,1759,1,1,GSM,,,,,,
44.967746,-93.257406,311,870,241,22867,,2043,1,1,LTE,,,241,,,
44.967758,-93.266901,310,260,43527,26420753,,9141,1,1,LTE,,,43527,,,
44.967808,-93.264961,311,490,43526,26600962,,1000,1,1,LTE,,,43526,,,
44.967828,-93.267746,311,480,48909,49129996,,1000,1,1,LTE,,,48909,,,
44.967864,-93.264917,310,260,43526,26419469,,2386,1,1,LTE,,,43526,,,
44.968067,-93.25753,310,120,43526,163227905,,1000,1,1,LTE,,,43526,,,
44.9681,-93.2582,311,480,48909,202746570,,1000,1,1,LTE,,,48909,,,
44.968129,-93.26221,310,260,43526,26419212,,1000,1,1,LTE,,,43526,,,
44.968163,-93.262357,310,260,43526,26417933,,6828,1,1,LTE,,,43526,,,
44.9682,-93.267,310,260,43526,26419459,,2097,1,1,LTE,,,43526,,,
44.968243,-93.264214,310,120,43526,161574154,,1000,1,1,LTE,,,43526,,,
