lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.292191,-88.316116,310,143,2,837,,1000,1,1,CDMA,,,,143,2,837
36.292709,-88.314949,310,410,8846,42880694,,1000,1,1,LTE,,,8846,,,
36.292786,-88.314911,310,410,8846,41959446,,1000,1,1,LTE,,,8846,,,
36.294748,-88.309446,311,480,46337,46353666,,1000,1,1,LTE,,,46337,,,
36.294828,-88.30865,311,480,46337,46378000,,2598,1,1,LTE,,,46337,,,
36.296071,-88.309219,311,480,46337,46408998,,3944,1,1,LTE,,,46337,,,
36.296387,-88.311905,311,480,,46353692,,1000,1,1,LTE,,,,,,
36.297653,-88.310951,311,480,,46353682,,1000,1,1,LTE,,,,,,
36.297935,-88.310822,311,480,46337,46353682,,1000,1,1,LTE,,,46337,,,
36.299793,-88.309158,311,480,46337,46353678,,1000,1,1,LTE,,,46337,,,
36.300392,-88.310074,311,480,,46378002,,1000,1,1,LTE,,,,,,
36.300686,-88.309921,311,480,46337,46378002,,1000,1,1,LTE,,,46337,,,
