lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.318740844727,-95.605087280273,311,220,4097,102449922,,1000,1,1,LTE,,,4097,,,
36.320906,-95.603982,310,260,46593,7276546,,1271,1,1,LTE,,,46593,,,
36.321012,-95.604742,310,260,46593,7276555,,1563,1,1,LTE,,,46593,,,
36.321022,-95.599136,310,410,25093,117841110,,1000,1,1,LTE,,,25093,,,
36.321136,-95.604067,310,260,46593,7276545,,3708,1,1,LTE,,,46593,,,
36.322860717773,-95.60920715332,310,150,46506,113446907,,1000,1,1,UMTS,,,,,,
36.322860717773,-95.607833862305,310,150,46506,113466907,,1000,1,1,UMTS,,,,,,
36.324234008789,-95.603713989258,310,410,46506,117864726,,1000,1,1,UMTS,,,,,,
36.324442,-95.607418,310,410,25093,117864853,,1616,1,1,LTE,,,25093,,,
36.325525,-95.609423,310,410,25093,117864726,,2356,1,1,LTE,,,25093,,,
36.325607299805,-95.607833862305,311,580,4097,102449921,,1000,1,1,LTE,,,4097,,,
