lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
18.216513,-66.047401,330,110,9,295169,,1879,1,1,LTE,,,9,,,
18.216548,-66.054016,310,260,31052,17087234,,2543,1,1,LTE,,,31052,,,
18.216551,-66.0476,330,110,45,7973125,,1000,1,1,LTE,,,45,,,
18.216835,-66.046289,330,110,45,7968012,,5235,1,1,LTE,,,45,,,
18.21711,-66.051743,330,110,41055,1365926,,1000,1,1,UMTS,,,,,,
18.21711,-66.051743,330,110,41055,1321421,,1000,1,1,UMTS,,,,,,
18.217229,-66.05172,330,110,45,9094416,,5064,1,1,LTE,,,45,,,
18.217391967773,-66.046371459961,330,110,41001,1413187,,1000,1,1,UMTS,,,,,,
18.217725,-66.053528,310,410,16128,130571542,,1000,1,1,LTE,,,16128,,,
18.21785,-66.047287,330,120,1,130572044,,1000,1,1,LTE,,,1,,,
18.217977,-66.05334,310,260,49001,903,,2779,1,1,GSM,,,,,,
18.218214,-66.046387,310,410,16128,131158039,,4343,1,1,LTE,,,16128,,,
18.218232,-66.047201,330,110,45,7937291,,1000,1,1,LTE,,,45,,,
18.218271,-66.050084,330,110,9,9094402,,1000,1,1,LTE,,,9,,,
18.218371,-66.052021,310,410,16128,130571528,,1000,1,1,LTE,,,16128,,,
18.218371,-66.048172,330,110,41055,1321796,,7063,1,1,UMTS,,,,,,
18.218569,-66.047549,310,410,51799,249171240,,1000,1,1,UMTS,,,,,,
18.218574,-66.047643,330,110,41055,1321792,,3222,1,1,UMTS,,,,,,
18.218765,-66.050491,310,410,51799,249170504,,1000,1,1,UMTS,,,,,,
18.218765258789,-66.050491333008,330,110,43,10011,,1000,1,1,GSM,,,,,,
18.218765258789,-66.047744750977,310,410,51799,249198267,,1000,1,1,UMTS,,,,,,
18.218804,-66.047561,330,110,41055,1367991,,1744,1,1,UMTS,,,,,,
18.219414,-66.047409,330,110,41055,1332635,,1000,1,1,UMTS,,,,,,
18.219414,-66.047409,330,110,41055,1332636,,1000,1,1,UMTS,,,,,,
18.219482,-66.04763,310,260,48995,34427282,,2308,1,1,UMTS,,,,,,
18.219752,-66.054276,330,110,9,9094403,,1000,1,1,UMTS,,,,,,
18.219795,-66.054214,330,110,9,3744005,,1000,1,1,LTE,,,9,,,
18.219867,-66.04632,310,260,31052,17105667,,7243,1,1,LTE,,,31052,,,
18.220131,-66.052525,330,110,41001,1386287,,1000,1,1,LTE,,,41001,,,
18.220138549805,-66.050491333008,310,410,16143,130569994,,1000,1,1,LTE,,,16143,,,
18.220467,-66.052376,330,110,41001,1431488,,1000,1,1,LTE,,,41001,,,
18.220849,-66.051384,330,110,41001,1386258,,1000,1,1,LTE,,,41001,,,
18.220853,-66.046829,330,110,9,3744002,,1000,1,1,LTE,,,9,,,
18.220867,-66.048889,310,410,16128,131076106,,1000,1,1,LTE,,,16128,,,
18.22097,-66.053609,330,110,41001,1431461,,1000,1,1,UMTS,,,,,,
18.221476,-66.046539,330,120,1,643,,1000,1,1,LTE,,,1,,,
18.22151184082,-66.046371459961,310,410,16128,131082187,,1000,1,1,LTE,,,16128,,,
18.221515,-66.050263,330,110,41001,1386260,,1000,1,1,UMTS,,,,,,
18.221684,-66.050148,310,410,16128,130692866,,1256,1,1,LTE,,,16128,,,
18.221717,-66.046679,330,110,41001,11233,,1000,1,1,GSM,,,,,,
18.221787,-66.045456,310,410,16128,131405073,,1000,1,1,LTE,,,16128,,,
18.222311,-66.046532,330,110,9,7955201,,1000,1,1,LTE,,,9,,,
18.222839,-66.045532,310,260,31052,42174596,,1000,1,1,LTE,,,31052,,,
18.222885131836,-66.051864624023,330,110,41001,1413061,,1000,1,1,UMTS,,,,,,
18.222885131836,-66.046371459961,310,410,51799,249200888,,1000,1,1,UMTS,,,,,,
18.222885131836,-66.046371459961,310,260,48995,34412606,,1000,1,1,UMTS,,,,,,
18.222885131836,-66.046371459961,330,120,1,130572045,,1000,1,1,LTE,,,1,,,
18.222885131836,-66.046371459961,310,260,48995,34432606,,1000,1,1,UMTS,,,,,,
18.222982,-66.050171,330,110,9,29442,,1000,1,1,LTE,,,9,,,
18.223145,-66.051972,330,110,41001,1387688,,1000,1,1,LTE,,,41001,,,
18.223185,-66.04655,330,110,41001,1387459,,1000,1,1,UMTS,,,,,,
18.223209,-66.045425,310,410,16128,131083528,,1000,1,1,LTE,,,16128,,,
18.223336,-66.047865,330,110,9,3659526,,7522,1,1,LTE,,,9,,,
18.223522,-66.04599,330,110,9,3744011,,1000,1,1,LTE,,,9,,,
18.223522,-66.04599,330,110,9,7973131,,1000,1,1,LTE,,,9,,,
18.223522,-66.04599,330,110,9,8623370,,1000,1,1,LTE,,,9,,,
18.223522,-66.04599,330,110,9,7939851,,1000,1,1,LTE,,,9,,,
18.223522,-66.04599,330,110,9,8623361,,1000,1,1,LTE,,,9,,,
18.223574,-66.046583,330,110,41001,1387462,,1000,1,1,UMTS,,,,,,
18.2236,-66.045975,330,110,9,7973128,,1000,1,1,LTE,,,9,,,
18.22367,-66.04951,310,260,48995,34432607,,1000,1,1,UMTS,,,,,,
