lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.697468,-84.091865,311,480,65024,65194242,,6286,1,1,LTE,,,65024,,,
40.697843,-84.088023,310,120,21765,178262785,,1000,1,1,LTE,,,21765,,,
40.698165893555,-84.091415405273,311,15,25,10642,,1000,1,1,LTE,,,25,,,
40.698776,-84.081978,312,250,47359,134319634,,1000,1,1,LTE,,,47359,,,
40.69905,-84.093373,310,260,42625,104434690,,1271,1,1,LTE,,,42625,,,
40.699532,-84.091545,310,410,21261,45021199,,5001,1,1,LTE,,,21261,,,
40.699539,-84.093475,310,120,21766,178262785,,1000,1,1,LTE,,,21766,,,
40.69953918457,-84.091415405273,310,120,21765,178262788,,1000,1,1,LTE,,,21765,,,
40.69953918457,-84.085922241211,311,490,21765,178262785,,1000,1,1,LTE,,,21765,,,
40.69953918457,-84.08317565918,310,410,17555,81650215,,1000,1,1,UMTS,,,,,,
40.69954,-84.089356,311,490,221,2178,,1000,1,1,LTE,,,221,,,
40.700237,-84.090833,310,410,17555,81656697,,25133,1,1,UMTS,,,,,,
