lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.67371,-73.937877,310,410,11897,166923505,,1000,1,1,UMTS,,,,,,
40.673732,-73.935303,311,490,22764,10626818,,1000,1,1,LTE,,,22764,,,
40.67379,-73.938098,310,260,21248,10626821,,1000,1,1,LTE,,,21248,,,
40.673831,-73.933853,311,480,20738,20747296,,1000,1,1,LTE,,,20738,,,
40.673834,-73.936325,310,410,2425,28244746,,1000,1,1,LTE,,,2425,,,
40.673836,-73.935665,311,870,7,12744,,1000,1,1,LTE,,,7,,,
40.67388,-73.933812,310,260,22555,14506502,,1000,1,1,LTE,,,22555,,,
40.673899,-73.93604,310,260,22755,35551238,,1000,1,1,LTE,,,22755,,,
40.673904,-73.934555,310,260,32180,26432,,1000,1,1,GSM,,,,,,
40.67391,-73.941695,310,260,60504,5478805807,,1000,1,1,NR,,,60504,,,
40.67393,-73.938393,310,260,52199,6648120,,1000,1,1,UMTS,,,,,,
40.674034,-73.935512,310,120,7,13311,,1000,1,1,LTE,,,7,,,
40.674062,-73.938965,310,260,22764,10626823,,1000,1,1,LTE,,,22764,,,
40.67408,-73.938644,310,410,2320,29245355,,1000,1,1,LTE,,,2320,,,
40.674145,-73.938881,310,410,2425,28244907,,1000,1,1,LTE,,,2425,,,
40.674145,-73.938881,310,410,2425,28807176,,1000,1,1,LTE,,,2425,,,
40.674145,-73.938881,310,410,2425,29502985,,1000,1,1,LTE,,,2425,,,
40.674155,-73.938848,310,260,21248,10626817,,1000,1,1,LTE,,,21248,,,
40.67416,-73.933498,311,490,22764,10493185,,1000,1,1,LTE,,,22764,,,
40.674184,-73.936941,310,260,52290,200648970,,1000,1,1,UMTS,,,,,,
40.67419,-73.936217,310,260,5827584,5593890837,,1000,1,1,NR,,,5827584,,,
40.674194,-73.936112,310,260,5827584,5580107798,,1000,1,1,NR,,,5827584,,,
40.674209,-73.934064,310,260,22555,14453255,,4461,1,1,LTE,,,22555,,,
40.674224,-73.936736,310,120,2310,18930699,,1000,1,1,LTE,,,2310,,,
40.674271,-73.936115,310,260,22764,228669444,,1000,1,1,LTE,,,22764,,,
40.674351,-73.938843,310,410,2425,29500113,,1000,1,1,LTE,,,2425,,,
40.674351,-73.938843,310,410,2425,29501650,,1000,1,1,LTE,,,2425,,,
40.674362,-73.93486,310,260,22531,11180294,,1000,1,1,LTE,,,22531,,,
40.674375,-73.938193,310,260,52299,10581110,,3849,1,1,UMTS,,,,,,
40.674424,-73.938232,310,260,21248,11104772,,1000,1,1,LTE,,,21248,,,
40.674491,-73.940738,310,260,22550,10813188,,1000,1,1,LTE,,,22550,,,
40.674496,-73.931877,310,410,2320,28244908,,1000,1,1,LTE,,,2320,,,
40.674522,-73.936127,311,490,22764,228669502,,1000,1,1,LTE,,,22764,,,
40.674557,-73.94178,310,260,22582,13696257,,1000,1,1,LTE,,,22582,,,
40.674601,-73.937488,310,260,52290,200634681,,1000,1,1,UMTS,,,,,,
40.674648,-73.941689,311,480,7,827,,1000,1,1,LTE,,,7,,,
40.674663,-73.935776,310,260,22528,14430978,,1221,1,1,LTE,,,22528,,,
40.674732,-73.941622,310,260,22764,10626825,,1000,1,1,LTE,,,22764,,,
40.674748,-73.931827,310,260,22550,13696264,,1000,1,1,LTE,,,22550,,,
40.674819946289,-73.941421508789,311,480,20738,97627404,,1000,1,1,LTE,,,20738,,,
40.674819946289,-73.938674926758,310,260,52199,30239309,,1000,1,1,UMTS,,,,,,
40.674819946289,-73.938674926758,310,260,21249,10626817,,1000,1,1,LTE,,,21249,,,
40.674819946289,-73.937301635742,310,260,52199,6648123,,1000,1,1,UMTS,,,,,,
40.674819946289,-73.933181762695,310,16,7,812,,1000,1,1,CDMA,,,,16,7,812
40.674819946289,-73.933181762695,310,260,22531,10493185,,1000,1,1,LTE,,,22531,,,
40.674819946289,-73.933181762695,310,260,21248,10582530,,1000,1,1,LTE,,,21248,,,
40.67482,-73.941833,311,480,20738,20827404,,1000,1,1,LTE,,,20738,,,
40.67482,-73.935471,310,260,22531,14430978,,1000,1,1,LTE,,,22531,,,
40.674821,-73.941697,310,410,35648,12716,,1992,1,1,GSM,,,,,,
40.674822,-73.935506,311,480,20738,20848142,,1000,1,1,LTE,,,20738,,,
40.674834,-73.940766,310,120,7,16676,,1000,1,1,LTE,,,7,,,
40.674918,-73.943187,311,480,20738,97714188,,1000,1,1,LTE,,,20738,,,
40.674926,-73.932507,310,260,22555,11104775,,1000,1,1,LTE,,,22555,,,
40.674967,-73.933342,311,480,20738,20879886,,1000,1,1,LTE,,,20738,,,
40.674996,-73.936402,310,260,21248,10626820,,1000,1,1,LTE,,,21248,,,
40.67502,-73.934542,310,260,22555,10626824,,1000,1,1,LTE,,,22555,,,
40.675041,-73.94099,310,260,22555,10626820,,1385,1,1,LTE,,,22555,,,
40.675049,-73.936386,310,260,32181,28987,,1000,1,1,GSM,,,,,,
40.675056,-73.938779,311,480,20738,20848150,,1000,1,1,LTE,,,20738,,,
40.675108,-73.938178,311,480,20738,20848152,,1000,1,1,LTE,,,20738,,,
40.675132,-73.933379,310,260,22555,10493191,,1030,1,1,LTE,,,22555,,,
40.675154,-73.941711,310,260,52290,200662541,,1000,1,1,UMTS,,,,,,
40.675232,-73.941833,310,260,22531,13696258,,1000,1,1,LTE,,,22531,,,
40.675284,-73.939953,310,260,22550,13696258,,1349,1,1,LTE,,,22550,,,
40.675301,-73.936134,311,490,22755,14430978,,1000,1,1,LTE,,,22755,,,
40.675379,-73.937125,310,260,52299,10608141,,1000,1,1,UMTS,,,,,,
40.675379,-73.936863,310,260,22755,14430978,,1000,1,1,LTE,,,22755,,,
40.675413,-73.9362,310,260,5827584,5458510126,,1000,1,1,NR,,,5827584,,,
40.675419,-73.932121,310,260,22582,228670783,,1000,1,1,LTE,,,22582,,,
