lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.307755,-82.374115,310,260,23299,9409901,,1000,1,1,UMTS,,,,,,
36.307755,-82.368622,310,410,16935,204625866,,1000,1,1,UMTS,,,,,,
36.307934,-82.373497,311,480,41733,41806352,,1000,1,1,LTE,,,41733,,,
36.309127807617,-82.373428344727,310,260,23299,9409906,,1000,1,1,UMTS,,,,,,
36.309127807617,-82.372055053711,311,480,41731,118567425,,1000,1,1,LTE,,,41731,,,
36.309127807617,-82.370681762695,311,480,41731,41767425,,1000,1,1,LTE,,,41731,,,
36.309127807617,-82.370681762695,311,480,41733,118567436,,1000,1,1,LTE,,,41733,,,
36.309127807617,-82.370681762695,311,480,41733,41767425,,1000,1,1,LTE,,,41733,,,
36.309128,-82.370132,310,410,9089,41535247,,1000,1,1,LTE,,,9089,,,
36.309128,-82.369308,310,410,16935,204625869,,1000,1,1,UMTS,,,,,,
36.311188,-82.367592,310,410,16934,204628710,,1358,1,1,UMTS,,,,,,
36.3116,-82.375076,310,120,11321,92829722,,1000,1,1,LTE,,,11321,,,
36.311874389648,-82.373428344727,310,120,11330,92829722,,1000,1,1,LTE,,,11330,,,
36.312485,-82.374039,310,120,11321,92327682,,1000,1,1,LTE,,,11321,,,
36.313247680664,-82.373428344727,310,120,11280,93655867,,1000,1,1,LTE,,,11280,,,
36.313248,-82.375488,310,260,44032,7865357,,1000,1,1,LTE,,,44032,,,
36.31362,-82.376962,311,480,41733,41817370,,1196,1,1,LTE,,,41733,,,
36.313972,-82.37336,311,480,41733,41816613,,1000,1,1,LTE,,,41733,,,
36.31414,-82.376648,311,480,41733,41730085,,1000,1,1,LTE,,,41733,,,
36.314229,-82.375734,310,120,11321,93655867,,1000,1,1,LTE,,,11321,,,
36.31462097168,-82.372055053711,310,120,11280,93655859,,1000,1,1,LTE,,,11280,,,
36.31462097168,-82.370681762695,310,120,11280,92327682,,1000,1,1,LTE,,,11280,,,
36.31462097168,-82.367935180664,310,120,11324,92829722,,1000,1,1,LTE,,,11324,,,
36.31548,-82.370259,311,480,41733,41817368,,1000,1,1,LTE,,,41733,,,
36.315634,-82.368649,310,120,11321,93655859,,2089,1,1,LTE,,,11321,,,
