lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.823914,-75.012085,310,260,22245,11139337,,1000,1,1,LTE,,,22245,,,
39.824066,-75.010529,310,8,11,4987,,1000,1,1,CDMA,,,,8,11,4987
39.824066,-75.008469,310,410,2986,138119870,,1000,1,1,UMTS,,,,,,
39.824463,-75.012375,310,260,22245,55468420,,1000,1,1,LTE,,,22245,,,
39.824752807617,-75.007095336914,310,260,34650,19253,,1000,1,1,CDMA,,,,260,34650,19253
39.824752807617,-75.004348754883,311,480,25359,102241056,,1000,1,1,LTE,,,25359,,,
39.825383,-75.012429,310,410,276,8589072,,1000,1,1,LTE,,,276,,,
39.825439,-75.006409,310,410,2986,138121025,,1000,1,1,UMTS,,,,,,
39.82575,-75.004886,310,410,276,8593169,,1175,1,1,LTE,,,276,,,
39.826099,-75.014069,310,260,22028,11470960,,1000,1,1,LTE,,,22028,,,
39.82635,-75.013486,310,410,2986,138120864,,1000,1,1,UMTS,,,,,,
39.826868,-75.01177,310,260,22028,11139337,,2057,1,1,LTE,,,22028,,,
39.82704,-75.01386,310,410,276,8589065,,1000,1,1,LTE,,,276,,,
39.827169,-75.008888,310,260,22028,11470853,,1000,1,1,LTE,,,22028,,,
39.827451,-75.010408,310,260,22028,11139334,,2033,1,1,LTE,,,22028,,,
39.827499389648,-75.009841918945,310,410,2986,142182622,,1000,1,1,UMTS,,,,,,
39.828224,-75.006897,310,260,34687,85789092,,1000,1,1,UMTS,,,,,,
39.828224,-75.006897,310,260,34687,85789091,,1000,1,1,UMTS,,,,,,
39.828709,-75.008942,310,260,22245,11139331,,1000,1,1,LTE,,,22245,,,
39.828872680664,-75.00846862793,311,480,25359,102241036,,1000,1,1,LTE,,,25359,,,
39.829265,-75.003564,310,410,2986,138121024,,1000,1,1,UMTS,,,,,,
39.829302,-75.006752,310,260,34694,39930680,,1000,1,1,UMTS,,,,,,
39.829555,-75.008213,310,410,276,8593162,,2487,1,1,LTE,,,276,,,
39.829689,-75.004391,310,260,34694,39930683,,1194,1,1,UMTS,,,,,,
39.829904,-75.004867,310,410,276,8593303,,1000,1,1,LTE,,,276,,,
39.829972,-75.007096,310,410,2986,138119864,,1108,1,1,UMTS,,,,,,
39.83024597168,-75.005722045898,310,410,2986,35679,,1000,1,1,CDMA,,,,410,2986,35679
39.830742,-75.013744,310,120,4872,39919131,,1000,1,1,LTE,,,4872,,,
39.830933,-75.009155,310,260,34694,39913889,,1000,1,1,UMTS,,,,,,
39.830966,-75.006717,310,120,4872,41250355,,1000,1,1,LTE,,,4872,,,
39.831063,-75.007172,310,120,4872,41250363,,1000,1,1,LTE,,,4872,,,
39.831283,-75.00664,310,120,4872,41250371,,1000,1,1,LTE,,,4872,,,
39.831619,-75.007095,310,260,34673,2462,,1000,1,1,GSM,,,,,,
39.831838,-75.007111,310,260,22021,11139331,,5730,1,1,LTE,,,22021,,,
39.832087,-75.011667,310,260,22028,11139331,,5043,1,1,LTE,,,22028,,,
39.832297,-75.008598,310,260,22028,34968838,,1000,1,1,LTE,,,22028,,,
39.832306,-75.007782,310,4168,73,867,,1184,1,1,CDMA,,,,4168,73,867
39.83239,-75.006266,310,260,34687,85805882,,1397,1,1,UMTS,,,,,,
