lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.291253,-76.590473,310,260,20233,14639115,,4785,1,1,LTE,,,20233,,,
39.291364,-76.597431,310,260,20233,10262534,,2824,1,1,LTE,,,20233,,,
39.291405,-76.597473,310,260,20233,35014918,,1000,1,1,LTE,,,20233,,,
39.291458,-76.589292,311,480,27904,104827660,,2310,1,1,LTE,,,27904,,,
39.291508,-76.594124,310,120,9,4768,,1000,1,1,LTE,,,9,,,
39.291554,-76.592968,310,260,20233,35168535,,1000,1,1,LTE,,,20233,,,
39.291573,-76.592628,310,260,20233,10262589,,1000,1,1,LTE,,,20233,,,
39.29163,-76.591156,310,260,20233,37032452,,1000,1,1,LTE,,,20233,,,
39.291698,-76.590454,310,410,4663,18964374,,1000,1,1,LTE,,,4663,,,
39.291705,-76.595835,310,260,46133,12323,,1000,1,1,GSM,,,,,,
39.291725,-76.590706,310,260,20233,15005503,,1000,1,1,LTE,,,20233,,,
39.291752,-76.587518,310,260,20233,35168534,,1000,1,1,LTE,,,20233,,,
39.291801,-76.587822,310,120,9,4512,,1000,1,1,LTE,,,9,,,
39.291909,-76.592209,310,260,20233,14890508,,5741,1,1,LTE,,,20233,,,
39.291915893555,-76.593246459961,311,480,27928,27987726,,1000,1,1,LTE,,,27928,,,
39.291915893555,-76.59049987793,310,410,7986,161101510,,1000,1,1,UMTS,,,,,,
39.291915893555,-76.589126586914,311,480,27928,104827660,,1000,1,1,LTE,,,27928,,,
39.291915893555,-76.586380004883,311,870,1931,7928074,,1000,1,1,LTE,,,1931,,,
39.291915893555,-76.586380004883,311,490,267,2194971,,1000,1,1,LTE,,,267,,,
39.291915893555,-76.586380004883,310,410,4648,159766494,,1000,1,1,LTE,,,4648,,,
39.291965,-76.590368,310,260,20233,10262532,,1173,1,1,LTE,,,20233,,,
39.292013,-76.596887,310,120,289,2229506,,1000,1,1,LTE,,,289,,,
39.292027,-76.596779,310,120,289,3522882,,1000,1,1,LTE,,,289,,,
39.292107,-76.591697,310,260,46190,79331857,,1000,1,1,UMTS,,,,,,
39.292116,-76.595678,310,260,46190,79363866,,1000,1,1,UMTS,,,,,,
39.292118,-76.591819,311,480,27904,27987726,,1000,1,1,LTE,,,27904,,,
39.292153,-76.594328,311,480,27904,27987713,,1000,1,1,LTE,,,27904,,,
39.292271,-76.59671,311,870,289,9146378,,1000,1,1,LTE,,,289,,,
39.292331,-76.593566,311,480,27928,27987724,,1000,1,1,LTE,,,27928,,,
39.292444,-76.595166,310,260,20233,14658574,,1000,1,1,LTE,,,20233,,,
39.292444,-76.591239,311,480,27928,27987713,,1000,1,1,LTE,,,27928,,,
39.29262,-76.588007,310,260,20233,32475907,,2358,1,1,LTE,,,20233,,,
39.292864,-76.589631,310,260,20233,15005452,,24848,1,1,LTE,,,20233,,,
39.293008,-76.592716,311,480,27904,27987724,,1000,1,1,LTE,,,27904,,,
39.293247,-76.597519,310,410,4663,18279448,,1000,1,1,LTE,,,4663,,,
39.293247,-76.597519,310,410,4663,18279446,,1000,1,1,LTE,,,4663,,,
39.293289,-76.589813,311,490,395,7928075,,1000,1,1,LTE,,,395,,,
39.29328918457,-76.597366333008,311,490,267,3522867,,1000,1,1,LTE,,,267,,,
39.29328918457,-76.595993041992,310,120,267,2182402,,1000,1,1,LTE,,,267,,,
39.29328918457,-76.594619750977,311,870,1931,7928066,,1000,1,1,LTE,,,1931,,,
39.29328918457,-76.591873168945,311,490,27019,7928066,,1000,1,1,LTE,,,27019,,,
39.29328918457,-76.589126586914,311,490,267,3522874,,1000,1,1,LTE,,,267,,,
39.29328918457,-76.586380004883,310,4195,9,517,,1000,1,1,CDMA,,,,4195,9,517
39.293395,-76.597578,310,12,4,916,,1000,1,1,CDMA,,,,12,4,916
39.293404,-76.594391,311,870,395,7928075,,1000,1,1,LTE,,,395,,,
39.293447,-76.594082,311,480,27904,104825868,,2035,1,1,LTE,,,27904,,,
39.293476,-76.59275,310,260,20233,14640141,,1000,1,1,LTE,,,20233,,,
39.293549,-76.590553,311,480,27904,104827404,,1000,1,1,LTE,,,27904,,,
39.293596,-76.594589,310,260,20233,14639374,,1000,1,1,LTE,,,20233,,,
39.293612,-76.591814,310,260,46190,79351416,,1000,1,1,UMTS,,,,,,
39.29368,-76.590443,310,410,7986,161095360,,1000,1,1,UMTS,,,,,,
39.293738,-76.58863,310,260,20233,14639873,,1180,1,1,LTE,,,20233,,,
39.293751,-76.587794,310,260,20233,14640129,,1000,1,1,LTE,,,20233,,,
39.293816,-76.590469,310,70,5,660,,1000,1,1,CDMA,,,,70,5,660
39.293913,-76.593746,311,870,395,7928066,,1000,1,1,LTE,,,395,,,
39.293976,-76.595993,311,870,27019,7928075,,1000,1,1,LTE,,,27019,,,
39.293976,-76.589127,311,490,395,7928066,,1000,1,1,LTE,,,395,,,
39.293989,-76.593718,311,480,27904,27987729,,1000,1,1,LTE,,,27904,,,
39.293991,-76.592026,310,260,20459,15005443,,1000,1,1,LTE,,,20459,,,
39.293998,-76.593142,310,260,46190,79356636,,1000,1,1,UMTS,,,,,,
39.29402,-76.590766,310,260,20233,14639876,,1003,1,1,LTE,,,20233,,,
39.294025,-76.591667,310,260,20233,35168575,,1000,1,1,LTE,,,20233,,,
39.294059,-76.592769,310,260,20233,15005453,,2538,1,1,LTE,,,20233,,,
39.294169,-76.589055,311,480,5,660,,1000,1,1,LTE,,,5,,,
39.294172,-76.597294,310,260,20233,32654185,,1000,1,1,LTE,,,20233,,,
39.294182,-76.588089,310,120,9,4793,,1000,1,1,LTE,,,9,,,
