lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.777863,-122.443314,310,120,21264,175060025,,1000,1,1,LTE,,,21264,,,
37.777897,-122.440363,310,410,35630,170399895,,1693,1,1,LTE,,,35630,,,
37.777915,-122.444869,310,410,35630,170399761,,1000,1,1,LTE,,,35630,,,
37.777967,-122.43866,310,260,253,21551,,1361,1,1,GSM,,,,,,
37.778006,-122.446889,311,480,9730,9868802,,1064,1,1,LTE,,,9730,,,
37.778186,-122.446303,310,120,21258,175524875,,1181,1,1,LTE,,,21258,,,
37.778206,-122.43792,310,410,35630,170306831,,1000,1,1,LTE,,,35630,,,
37.778435,-122.447433,310,410,56967,4121414,,1000,1,1,UMTS,,,,,,
37.778549,-122.438801,310,410,56967,4078893,,1000,1,1,UMTS,,,,,,
37.778549,-122.438507,310,260,8862,157568793,,1000,1,1,UMTS,,,,,,
37.778549194336,-122.44743347168,310,120,21249,174172417,,1000,1,1,LTE,,,21249,,,
37.778549194336,-122.4405670166,310,260,40497,157600915,,1000,1,1,UMTS,,,,,,
37.778549194336,-122.43919372559,310,410,56967,4122104,,1000,1,1,UMTS,,,,,,
37.778549194336,-122.43782043457,310,410,56967,4078896,,1000,1,1,UMTS,,,,,,
37.778549194336,-122.43782043457,310,260,40482,157568787,,1000,1,1,UMTS,,,,,,
37.77901,-122.438737,310,410,35630,170306824,,2373,1,1,LTE,,,35630,,,
37.779163,-122.445596,310,410,35630,170399754,,2102,1,1,LTE,,,35630,,,
37.779236,-122.440567,310,260,8862,157573151,,1000,1,1,UMTS,,,,,,
37.779236,-122.43988,310,120,21264,174195971,,1000,1,1,LTE,,,21264,,,
37.779342,-122.438941,310,260,14450,21403657,,2436,1,1,LTE,,,14450,,,
37.779465,-122.44194,310,410,56967,4122107,,1000,1,1,UMTS,,,,,,
37.779475,-122.44194,310,260,40482,157578793,,1000,1,1,UMTS,,,,,,
37.779579,-122.441597,310,410,56967,4113754,,1000,1,1,UMTS,,,,,,
37.779714,-122.441734,310,260,14450,21177866,,3710,1,1,LTE,,,14450,,,
37.779922485352,-122.4405670166,310,410,56967,170467081,,1000,1,1,UMTS,,,,,,
37.779922485352,-122.4405670166,310,260,8862,157549787,,1000,1,1,UMTS,,,,,,
37.779922485352,-122.43919372559,310,410,35630,170467088,,1000,1,1,LTE,,,35630,,,
37.779922485352,-122.43919372559,310,260,40482,157568790,,1000,1,1,UMTS,,,,,,
37.779922485352,-122.43782043457,310,4183,3,757,,1000,1,1,CDMA,,,,4183,3,757
37.779923,-122.440175,310,410,56967,4120844,,1000,1,1,UMTS,,,,,,
37.780008,-122.443872,310,120,21258,174172689,,1117,1,1,LTE,,,21258,,,
37.780098,-122.438346,310,260,40482,157549787,,2137,1,1,UMTS,,,,,,
37.78015,-122.437863,311,480,9730,86668822,,1014,1,1,LTE,,,9730,,,
37.780197,-122.438644,310,410,56967,4113757,,1000,1,1,UMTS,,,,,,
37.780212,-122.439314,310,410,35630,170467081,,2237,1,1,LTE,,,35630,,,
37.78028,-122.442743,310,410,35630,171452567,,3140,1,1,LTE,,,35630,,,
37.78038,-122.438278,310,410,56967,4120843,,1000,1,1,UMTS,,,,,,
37.780609,-122.44606,310,120,21249,175524875,,1000,1,1,LTE,,,21249,,,
37.78061,-122.437563,310,260,14450,24404227,,2021,1,1,LTE,,,14450,,,
37.780685,-122.437721,310,260,14450,21403654,,1000,1,1,LTE,,,14450,,,
37.780691,-122.447994,310,260,14450,21177864,,1000,1,1,LTE,,,14450,,,
37.780816,-122.440883,310,410,35630,170357776,,1340,1,1,LTE,,,35630,,,
37.780834,-122.444057,310,260,14450,21177858,,3406,1,1,LTE,,,14450,,,
37.780838,-122.439652,310,260,40497,19943036,,1347,1,1,UMTS,,,,,,
37.780991,-122.439651,310,120,21258,174252815,,1000,1,1,LTE,,,21258,,,
37.781021,-122.441116,310,120,21258,175584005,,1000,1,1,LTE,,,21258,,,
37.781062,-122.4391,311,480,9730,9746716,,1000,1,1,LTE,,,9730,,,
37.781064,-122.43967,310,410,35630,170306965,,1000,1,1,LTE,,,35630,,,
37.781077,-122.439022,310,260,14401,61705218,,1000,1,1,LTE,,,14401,,,
37.781295776367,-122.44606018066,310,410,56967,2980943,,1000,1,1,UMTS,,,,,,
37.781295776367,-122.44606018066,310,410,56967,257588,,1000,1,1,UMTS,,,,,,
37.781295776367,-122.44606018066,310,260,8862,157568641,,1000,1,1,UMTS,,,,,,
37.781295776367,-122.44468688965,311,490,21249,174252802,,1000,1,1,LTE,,,21249,,,
37.781295776367,-122.44468688965,310,260,8862,157563136,,1000,1,1,UMTS,,,,,,
37.781295776367,-122.44331359863,310,260,65534,21175297,,1000,1,1,UMTS,,,,,,
37.781295776367,-122.4405670166,310,260,8862,157600915,,1000,1,1,UMTS,,,,,,
37.781295776367,-122.43782043457,310,260,40482,157578790,,1000,1,1,UMTS,,,,,,
37.781296,-122.441254,310,120,21249,174252817,,1000,1,1,LTE,,,21249,,,
37.781298,-122.444687,310,260,40497,19943245,,1810,1,1,UMTS,,,,,,
37.781408,-122.440231,310,410,35630,171452433,,1994,1,1,LTE,,,35630,,,
37.781545,-122.441691,310,120,21249,174252815,,1000,1,1,LTE,,,21249,,,
37.781563,-122.438728,310,260,14450,48756483,,1000,1,1,LTE,,,14450,,,
37.781675,-122.442896,310,120,231,11634,,1714,1,1,LTE,,,231,,,
37.781845,-122.444615,310,260,14450,21178113,,3250,1,1,LTE,,,14450,,,
37.781874,-122.439049,310,260,14401,24404233,,1031,1,1,LTE,,,14401,,,
37.781953,-122.446157,310,120,21258,175524866,,1000,1,1,LTE,,,21258,,,
37.781963,-122.445938,311,480,48707,48783374,,1000,1,1,LTE,,,48707,,,
37.781982,-122.440567,310,410,56967,4114324,,1000,1,1,UMTS,,,,,,
37.782024,-122.445761,310,260,40482,157608636,,1145,1,1,UMTS,,,,,,
37.782076,-122.439972,311,480,9730,86546722,,1000,1,1,LTE,,,9730,,,
37.782211,-122.445602,310,260,8862,157608636,,1000,1,1,UMTS,,,,,,
37.782284,-122.447014,310,410,35630,170775388,,1000,1,1,LTE,,,35630,,,
37.78234,-122.440483,310,120,21258,175584002,,1578,1,1,LTE,,,21258,,,
37.782354,-122.446267,310,120,231,11633,,1000,1,1,LTE,,,231,,,
37.782513,-122.447174,310,410,35630,170298773,,1000,1,1,LTE,,,35630,,,
37.782516,-122.446304,311,480,9730,9868834,,1000,1,1,LTE,,,9730,,,
37.782665,-122.445374,312,530,231,11714,,1000,1,1,LTE,,,231,,,
37.782669,-122.445786,310,260,40482,157568641,,1000,1,1,UMTS,,,,,,
37.782669,-122.44194,310,410,56981,56243,,1000,1,1,CDMA,,,,410,56981,56243
37.782669067383,-122.44743347168,310,410,56981,2350002,,1000,1,1,UMTS,,,,,,
37.782669067383,-122.44606018066,311,870,21264,174172674,,1000,1,1,LTE,,,21264,,,
37.782669067383,-122.44606018066,311,480,7680,7700994,,1000,1,1,LTE,,,7680,,,
37.782669067383,-122.44468688965,310,120,2602,9748993,,1000,1,1,LTE,,,2602,,,
37.782669067383,-122.44331359863,310,410,65534,170399761,,1000,1,1,UMTS,,,,,,
37.782669067383,-122.44331359863,310,410,56967,4087004,,1000,1,1,UMTS,,,,,,
37.782669067383,-122.44331359863,310,410,56967,4093696,,1000,1,1,UMTS,,,,,,
37.782669067383,-122.44331359863,310,260,40482,157573148,,1000,1,1,UMTS,,,,,,
37.782669067383,-122.44331359863,310,120,2602,9746691,,1000,1,1,LTE,,,2602,,,
37.782669067383,-122.44194030762,311,870,21249,174193665,,1000,1,1,LTE,,,21249,,,
37.782669067383,-122.44194030762,311,870,21249,174252800,,1000,1,1,LTE,,,21249,,,
37.782669067383,-122.44194030762,311,480,7680,21175297,,1000,1,1,LTE,,,7680,,,
