lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
45.426514,-122.567261,311,490,13612,21862671,,1000,1,1,LTE,,,13612,,,
45.427780151367,-122.56690979004,310,410,33979,14877383,,1000,1,1,UMTS,,,,,,
45.427819,-122.565412,310,410,36881,84660994,,1226,1,1,LTE,,,36881,,,
45.428426,-122.565725,311,480,1280,1347603,,1000,1,1,LTE,,,1280,,,
45.428467,-122.565536,310,4174,1,881,,1000,1,1,CDMA,,,,4174,1,881
45.428574,-122.565872,311,490,13612,21862669,,1000,1,1,LTE,,,13612,,,
45.428987,-122.566485,310,260,13612,25246981,,2998,1,1,LTE,,,13612,,,
45.429005,-122.566603,310,260,13602,21898518,,5272,1,1,LTE,,,13602,,,
45.429013,-122.560895,311,490,13612,167786502,,1197,1,1,LTE,,,13612,,,
45.429153442383,-122.56690979004,310,260,35895,80660692,,1000,1,1,UMTS,,,,,,
45.429565,-122.56691,310,120,20489,167854096,,1285,1,1,LTE,,,20489,,,
45.429822,-122.560993,310,120,20489,167806480,,1000,1,1,LTE,,,20489,,,
45.429938,-122.565536,310,260,35895,80623098,,1000,1,1,UMTS,,,,,,
45.430042,-122.563568,310,410,33985,14877304,,1000,1,1,UMTS,,,,,,
45.430043,-122.56233,310,260,13612,21862718,,1000,1,1,LTE,,,13612,,,
45.430121,-122.565237,311,480,1280,78124046,,3113,1,1,LTE,,,1280,,,
45.430139,-122.562861,310,260,13602,21862678,,1000,1,1,LTE,,,13602,,,
45.430235,-122.560913,310,120,20489,167806465,,1000,1,1,LTE,,,20489,,,
45.43028,-122.561031,310,260,13612,21862678,,1000,1,1,LTE,,,13612,,,
45.430526733398,-122.56690979004,310,4945,9,2481,,1000,1,1,CDMA,,,,4945,9,2481
45.430526733398,-122.56690979004,310,410,36881,14923743,,1000,1,1,LTE,,,36881,,,
45.430526733398,-122.56004333496,310,410,41033,7536,,1000,1,1,GSM,,,,,,
45.430526733398,-122.55729675293,310,410,33985,14884211,,1000,1,1,UMTS,,,,,,
45.430527,-122.566223,310,410,41043,714,,1000,1,1,GSM,,,,,,
45.430716,-122.566314,310,260,13656,25246981,,1526,1,1,LTE,,,13656,,,
45.430775,-122.564262,311,480,1280,78239002,,1000,1,1,LTE,,,1280,,,
45.430796,-122.565718,310,260,13612,49297806,,1000,1,1,LTE,,,13612,,,
45.430897,-122.566216,310,410,33985,14883744,,1000,1,1,UMTS,,,,,,
45.430985,-122.563705,310,410,41033,645,,1000,1,1,GSM,,,,,,
45.431019,-122.564308,311,490,13612,167786500,,1000,1,1,LTE,,,13612,,,
45.431034,-122.564301,311,490,13612,167786496,,1000,1,1,LTE,,,13612,,,
45.431068,-122.564323,311,490,13612,167806469,,1000,1,1,LTE,,,13612,,,
45.431071,-122.564327,311,490,245,47155,,1000,1,1,LTE,,,245,,,
45.431103,-122.564346,311,490,13612,167854084,,1000,1,1,LTE,,,13612,,,
45.431129,-122.564312,311,490,13612,167806487,,1000,1,1,LTE,,,13612,,,
45.431501,-122.564974,311,480,1280,1324046,,1859,1,1,LTE,,,1280,,,
45.4319,-122.556198,310,120,20500,167806465,,1000,1,1,LTE,,,20500,,,
45.431900024414,-122.56690979004,310,410,33979,14877304,,1000,1,1,UMTS,,,,,,
45.431900024414,-122.56416320801,310,260,35895,13815,,1000,1,1,CDMA,,,,260,35895,13815
45.431900024414,-122.56278991699,310,410,33978,14884249,,1000,1,1,UMTS,,,,,,
45.431900024414,-122.56278991699,310,410,33980,15013872,,1000,1,1,UMTS,,,,,,
45.431900024414,-122.55867004395,310,410,33985,14483944,,1000,1,1,UMTS,,,,,,
45.431900024414,-122.55867004395,310,120,20500,169137665,,1000,1,1,LTE,,,20500,,,
45.431938,-122.56015,310,120,245,47154,,1000,1,1,LTE,,,245,,,
45.432072,-122.56073,311,480,1280,1515265,,1000,1,1,LTE,,,1280,,,
45.432083,-122.560005,310,260,13612,21892927,,1000,1,1,LTE,,,13612,,,
45.43224,-122.566471,310,410,36881,86800151,,5707,1,1,LTE,,,36881,,,
45.432339,-122.558286,310,120,20489,169137665,,1000,1,1,LTE,,,20489,,,
45.432358,-122.556839,310,120,20489,167806468,,1000,1,1,LTE,,,20489,,,
45.432421,-122.564989,311,480,1280,78124044,,6931,1,1,LTE,,,1280,,,
45.432489,-122.559651,310,120,20500,169137668,,1000,1,1,LTE,,,20500,,,
45.432548,-122.565183,311,480,1280,1324044,,1000,1,1,LTE,,,1280,,,
45.432587,-122.566223,310,260,35895,80623092,,1000,1,1,UMTS,,,,,,
45.432694,-122.559809,311,480,1280,1324033,,1000,1,1,LTE,,,1280,,,
45.432855,-122.566809,310,410,36881,84496151,,6908,1,1,LTE,,,36881,,,
45.432881,-122.559455,310,120,20489,169137668,,1000,1,1,LTE,,,20489,,,
