lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
46.272705,-96.076172,310,410,32506,91214868,,20725,1,1,UMTS,,,,,,
46.273384,-96.069946,310,120,17409,142608656,,1000,1,1,LTE,,,17409,,,
46.275100708008,-96.078872680664,310,120,17409,142608641,,1000,1,1,LTE,,,17409,,,
46.276201,-96.078864,310,410,32506,91212777,,6350,1,1,UMTS,,,,,,
46.276473999023,-96.076126098633,310,410,32905,53622,,1000,1,1,GSM,,,,,,
46.276793,-96.072702,310,410,17927,83309875,,2290,1,1,LTE,,,17927,,,
46.277504,-96.075783,310,120,17409,142608644,,1000,1,1,LTE,,,17409,,,
46.279220581055,-96.074752807617,310,120,17412,142608641,,1000,1,1,LTE,,,17412,,,
46.280607,-96.077475,311,480,50027,49924387,,1000,1,1,LTE,,,50027,,,
46.281441,-96.078638,311,480,50027,49924367,,1232,1,1,LTE,,,50027,,,
