lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.137268,-118.094788,311,870,24081,197291274,,1000,1,1,LTE,,,24081,,,
34.137385,-118.094417,310,260,15482,22522124,,1000,1,1,LTE,,,15482,,,
34.137497,-118.09227,310,410,55049,13813,,1174,1,1,CDMA,,,,410,55049,13813
34.137753,-118.089257,310,260,26296,26397249,,3288,1,1,UMTS,,,,,,
34.137914,-118.095393,311,480,12545,12785164,,1000,1,1,LTE,,,12545,,,
34.137954711914,-118.09547424316,310,410,55515,56697365,,1000,1,1,UMTS,,,,,,
34.137954711914,-118.09410095215,310,260,15410,23889413,,1000,1,1,LTE,,,15410,,,
34.137954711914,-118.09410095215,310,260,15410,26369131,,1000,1,1,LTE,,,15410,,,
34.138412,-118.08815,311,870,24082,197310211,,1000,1,1,LTE,,,24082,,,
34.138641,-118.085861,310,260,26296,26364356,,1000,1,1,UMTS,,,,,,
34.138653,-118.094539,310,260,15482,48523013,,1000,1,1,LTE,,,15482,,,
34.138718,-118.096237,311,480,12545,89585164,,1000,1,1,LTE,,,12545,,,
34.138939,-118.094742,310,260,15360,22522124,,1000,1,1,LTE,,,15360,,,
34.13932800293,-118.09410095215,311,2,9,3619,,1000,1,1,LTE,,,9,,,
34.13955,-118.094101,310,120,24081,197300226,,1000,1,1,LTE,,,24081,,,
34.139677,-118.094528,311,480,13573,13661710,,11272,1,1,LTE,,,13573,,,
34.1402,-118.092381,311,480,12545,12749908,,1078,1,1,LTE,,,12545,,,
34.140439,-118.093551,310,410,55049,14177,,21764,1,1,CDMA,,,,410,55049,14177
34.140701,-118.091812,310,120,24081,197300242,,1000,1,1,LTE,,,24081,,,
34.141037,-118.09491,310,260,15470,22522116,,1000,1,1,LTE,,,15470,,,
34.141224,-118.092466,310,120,24081,197300234,,1000,1,1,LTE,,,24081,,,
34.142074584961,-118.09272766113,310,410,55541,58217,,1000,1,1,CDMA,,,,410,55541,58217
34.142074584961,-118.08860778809,311,490,9665,41084161,,1000,1,1,LTE,,,9665,,,
34.142074584961,-118.08586120605,310,260,85,23943,,1000,1,1,GSM,,,,,,
34.142075,-118.089981,310,410,55049,5918,,1000,1,1,CDMA,,,,410,55049,5918
34.142403,-118.085648,310,260,15482,23266051,,1000,1,1,LTE,,,15482,,,
34.142515,-118.092865,311,480,12545,12749906,,1166,1,1,LTE,,,12545,,,
34.142601,-118.094696,310,260,15360,60529038,,1000,1,1,LTE,,,15360,,,
34.14347,-118.08852,311,480,12545,12601859,,1536,1,1,LTE,,,12545,,,
34.143659,-118.08846,311,480,12545,12601888,,1000,1,1,LTE,,,12545,,,
34.143948,-118.094894,310,120,15,282,,1000,1,1,LTE,,,15,,,
34.144064,-118.095256,310,260,15482,20678513,,1000,1,1,LTE,,,15482,,,
34.144336,-118.089012,311,480,12545,89401888,,1000,1,1,LTE,,,12545,,,
34.144646,-118.09481,310,260,15470,20697093,,1000,1,1,LTE,,,15470,,,
34.144646,-118.09481,310,260,15470,23133187,,1000,1,1,LTE,,,15470,,,
34.144661,-118.087934,310,260,15482,47535934,,5147,1,1,LTE,,,15482,,,
34.144771,-118.085711,310,260,26296,26369129,,2442,1,1,UMTS,,,,,,
34.14507,-118.09304,310,410,55520,57703482,,7219,1,1,UMTS,,,,,,
34.145454,-118.094704,310,260,15482,23142401,,1000,1,1,LTE,,,15482,,,
34.145488,-118.08951,310,260,15410,20678402,,6571,1,1,LTE,,,15410,,,
34.145737,-118.088837,310,260,26296,26362337,,1000,1,1,UMTS,,,,,,
34.14582,-118.085873,310,260,15482,20694793,,6848,1,1,LTE,,,15482,,,
34.145931,-118.09173,310,260,15482,47535878,,1670,1,1,LTE,,,15482,,,
34.145995,-118.088533,310,410,55049,3441,,1394,1,1,CDMA,,,,410,55049,3441
34.146069,-118.088787,310,260,26266,94555310,,1000,1,1,UMTS,,,,,,
34.14609,-118.090989,310,260,26266,94555310,,1000,1,1,LTE,,,26266,,,
34.146096,-118.08647,311,480,9,3619,,5812,1,1,LTE,,,9,,,
