lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
45.716353,-122.652031,310,410,36882,84502282,,1000,1,1,UMTS,,,,,,
45.716406,-122.651183,310,120,20483,167796737,,1000,1,1,LTE,,,20483,,,
45.716494,-122.651731,310,120,20505,169127940,,1000,1,1,LTE,,,20505,,,
45.71653,-122.646988,312,530,13601,167796749,,1000,1,1,LTE,,,13601,,,
45.7166,-122.6532,310,260,13611,21848589,,1027,1,1,LTE,,,13611,,,
45.716609,-122.642408,311,480,1289,1353740,,3192,1,1,LTE,,,1289,,,
45.716675,-122.651438,310,120,245,42866,,9290,1,1,LTE,,,245,,,
45.716698,-122.651382,310,410,36882,84502281,,1000,1,1,LTE,,,36882,,,
45.716855,-122.653656,312,250,13611,21848589,,1000,1,1,LTE,,,13611,,,
45.716863,-122.650958,310,120,20483,169127943,,3324,1,1,LTE,,,20483,,,
45.717264,-122.652412,312,250,13611,21848579,,1000,1,1,LTE,,,13611,,,
45.71738,-122.642332,310,260,13611,21848578,,2359,1,1,LTE,,,13611,,,
45.717544555664,-122.64930725098,310,260,35896,87179042,,1000,1,1,UMTS,,,,,,
45.717544555664,-122.64793395996,311,870,20505,169127937,,1000,1,1,LTE,,,20505,,,
45.717544555664,-122.64656066895,311,480,1282,78153740,,1000,1,1,LTE,,,1282,,,
45.71778,-122.651982,312,250,13611,44874373,,1000,1,1,LTE,,,13611,,,
45.717903,-122.65239,310,410,36871,84502490,,1000,1,1,LTE,,,36871,,,
45.718112,-122.647738,312,250,13611,21848578,,1000,1,1,LTE,,,13611,,,
45.718131,-122.65429,310,260,13611,44874373,,1000,1,1,LTE,,,13611,,,
45.718155,-122.653908,312,250,13611,44874383,,1000,1,1,LTE,,,13611,,,
45.718436,-122.648719,310,260,13611,22324236,,1000,1,1,LTE,,,13611,,,
45.71846,-122.642441,310,120,20483,167882257,,1000,1,1,LTE,,,20483,,,
45.7186,-122.6539,310,260,13611,21848579,,1015,1,1,LTE,,,13611,,,
45.71867,-122.649551,311,490,13601,21848579,,1000,1,1,LTE,,,13601,,,
45.718749,-122.653597,310,260,13601,21848589,,2990,1,1,LTE,,,13601,,,
45.718899,-122.643176,310,260,13611,21848598,,1525,1,1,LTE,,,13611,,,
45.71899,-122.643155,310,260,13611,21848588,,2070,1,1,LTE,,,13611,,,
45.719292,-122.652004,310,120,20483,169127937,,1000,1,1,LTE,,,20483,,,
45.719429,-122.652207,310,120,20483,169127940,,4796,1,1,LTE,,,20483,,,
45.719574,-122.644929,312,250,13611,21848588,,1000,1,1,LTE,,,13611,,,
45.719629,-122.652614,310,260,13601,44874383,,4344,1,1,LTE,,,13601,,,
45.719711,-122.653778,310,260,245,42691,,1000,1,1,LTE,,,245,,,
45.720083,-122.64825,310,260,13611,22324366,,1000,1,1,LTE,,,13611,,,
45.720204,-122.647594,311,870,245,46707,,1000,1,1,LTE,,,245,,,
45.720238,-122.648418,310,260,13611,22324356,,1000,1,1,LTE,,,13611,,,
45.720291,-122.65274,310,260,35896,74106473,,1000,1,1,UMTS,,,,,,
45.720291137695,-122.65205383301,310,260,35894,87175913,,1000,1,1,UMTS,,,,,,
45.720291137695,-122.64930725098,310,30,2,4384,,1000,1,1,CDMA,,,,30,2,4384
45.720291137695,-122.64793395996,310,410,33999,14878624,,1000,1,1,UMTS,,,,,,
45.720301,-122.649028,310,260,13601,21887550,,3083,1,1,LTE,,,13601,,,
45.720463,-122.653942,310,260,35894,87213673,,1000,1,1,UMTS,,,,,,
45.720502,-122.649042,310,260,13611,22324226,,1067,1,1,LTE,,,13611,,,
45.720585,-122.647652,312,250,13611,44874382,,1000,1,1,LTE,,,13611,,,
45.7207,-122.6431,311,480,1289,1353729,,8545,1,1,LTE,,,1289,,,
45.720715,-122.646035,310,260,13611,44874382,,1000,1,1,LTE,,,13611,,,
45.720896,-122.647666,311,480,1289,1353742,,15177,1,1,LTE,,,1289,,,
45.720973,-122.65178,311,480,1289,78153744,,5648,1,1,LTE,,,1289,,,
45.721119,-122.653862,312,250,13601,21848579,,1000,1,1,LTE,,,13601,,,
45.721129,-122.644823,310,260,13611,44874372,,1000,1,1,LTE,,,13611,,,
45.721665,-122.64381,310,120,20483,169127939,,2176,1,1,LTE,,,20483,,,
45.721668,-122.644368,312,250,13611,44874372,,1000,1,1,LTE,,,13611,,,
45.722061,-122.652054,311,30,2,4384,,1000,1,1,LTE,,,2,,,
45.722214,-122.652054,310,260,35896,21848578,,1000,1,1,UMTS,,,,,,
45.7228,-122.6495,311,480,1289,78153740,,9360,1,1,LTE,,,1289,,,
45.723608,-122.651554,310,410,36882,84502280,,1000,1,1,UMTS,,,,,,
