lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.526465,-111.892659,310,260,11622,21551113,,6881,1,1,LTE,,,11622,,,
40.526504516602,-111.89231872559,310,260,11560,21551107,,1000,1,1,LTE,,,11560,,,
40.526504516602,-111.88819885254,310,410,45990,20731259,,1000,1,1,UMTS,,,,,,
40.52652,-111.884624,310,260,11622,47934271,,9880,1,1,LTE,,,11622,,,
40.526573,-111.893871,310,260,11622,21551167,,4279,1,1,LTE,,,11622,,,
40.526714,-111.894958,310,120,237,51171,,1000,1,1,LTE,,,237,,,
40.52675,-111.889669,310,410,49021,11655,,2220,1,1,GSM,,,,,,
40.526932,-111.890391,311,870,237,51171,,1299,1,1,LTE,,,237,,,
40.527045,-111.888568,310,260,11622,48558479,,10562,1,1,LTE,,,11622,,,
40.527118,-111.889469,310,260,39994,35182355,,5738,1,1,UMTS,,,,,,
40.527191,-111.887512,310,410,45990,21617,,1000,1,1,CDMA,,,,410,45990,21617
40.527271,-111.891251,310,410,39168,116279447,,1000,1,1,LTE,,,39168,,,
40.527489,-111.887566,311,870,237,55555,,1000,1,1,CDMA,,,,870,237,55555
40.527533,-111.891762,311,480,3074,3148803,,1452,1,1,LTE,,,3074,,,
40.527753,-111.891453,311,480,3074,3149092,,1000,1,1,LTE,,,3074,,,
40.527873,-111.892499,311,480,3074,3092994,,1324,1,1,LTE,,,3074,,,
40.527877807617,-111.89094543457,310,260,39991,15056,,1000,1,1,CDMA,,,,260,39991,15056
40.527877807617,-111.89094543457,311,490,17937,73464833,,1000,1,1,LTE,,,17937,,,
40.527877807617,-111.89094543457,311,490,43032,73425408,,1000,1,1,LTE,,,43032,,,
40.527877807617,-111.88819885254,311,490,17944,73425408,,1000,1,1,LTE,,,17944,,,
40.527877807617,-111.88682556152,310,260,39993,22038367,,1000,1,1,UMTS,,,,,,
40.527878,-111.884864,311,480,3074,3197697,,1000,1,1,LTE,,,3074,,,
40.528,-111.8918,311,480,3074,79948836,,1169,1,1,LTE,,,3074,,,
40.528069,-111.889694,310,120,237,55297,,1000,1,1,LTE,,,237,,,
40.528159,-111.885682,310,260,39994,35139850,,4166,1,1,UMTS,,,,,,
40.528235,-111.887977,310,260,11544,225925408,,19164,1,1,LTE,,,11544,,,
40.528464,-111.890447,310,260,11622,45950734,,8822,1,1,LTE,,,11622,,,
40.528473,-111.888512,312,250,11622,182492417,,1000,1,1,LTE,,,11622,,,
40.52865,-111.890809,310,120,22281,183193393,,2082,1,1,LTE,,,22281,,,
40.528674,-111.891959,310,120,22281,182470144,,1863,1,1,LTE,,,22281,,,
40.528776,-111.888304,311,490,22281,73425408,,1000,1,1,LTE,,,22281,,,
