lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.014974,-118.183737,310,260,15491,24460033,,1422,1,1,LTE,,,15491,,,
34.015274,-118.1884,310,4145,15,982,,1060,1,1,CDMA,,,,4145,15,982
34.015541,-118.188422,310,410,34642,141449232,,1938,1,1,LTE,,,34642,,,
34.015731811523,-118.19023132324,310,410,55578,58394430,,1000,1,1,UMTS,,,,,,
34.015731811523,-118.19023132324,310,410,34642,58394427,,1000,1,1,LTE,,,34642,,,
34.015731811523,-118.18748474121,310,260,26268,192843253,,1000,1,1,UMTS,,,,,,
34.016749,-118.186386,310,260,15482,45223436,,1000,1,1,LTE,,,15482,,,
34.016918,-118.183797,310,410,55578,58417938,,1000,1,1,UMTS,,,,,,
34.016954,-118.185995,310,260,15460,22190593,,11520,1,1,LTE,,,15460,,,
34.017009,-118.190966,310,120,24104,198682417,,1000,1,1,LTE,,,24104,,,
34.017105,-118.184738,310,410,55578,58427698,,1000,1,1,UMTS,,,,,,
34.017105102539,-118.18748474121,310,410,55578,173155511,,1000,1,1,UMTS,,,,,,
34.01718,-118.182602,311,480,13568,13654531,,4958,1,1,LTE,,,13568,,,
34.01744,-118.186903,310,410,34642,141449239,,2025,1,1,LTE,,,34642,,,
34.017662,-118.184952,310,260,15482,227355269,,1574,1,1,LTE,,,15482,,,
34.01778,-118.183199,311,480,,89506582,,4289,1,1,LTE,,,,,,
34.017979,-118.192354,310,260,26259,173155511,,1000,1,1,UMTS,,,,,,
34.017988,-118.185761,310,260,15490,21000707,,20203,1,1,LTE,,,15490,,,
34.017994,-118.182436,310,260,15482,45223170,,1975,1,1,LTE,,,15482,,,
34.018021,-118.181992,310,410,55578,58417941,,1000,1,1,UMTS,,,,,,
34.018265,-118.190407,310,260,15490,25311236,,1000,1,1,LTE,,,15490,,,
34.018352,-118.185699,310,260,15378,60525069,,1680,1,1,LTE,,,15378,,,
34.018365,-118.182071,310,260,15482,20892936,,1659,1,1,LTE,,,15482,,,
34.018435,-118.192112,310,260,15470,45223427,,1000,1,1,LTE,,,15470,,,
34.018467,-118.184712,310,260,15378,60525079,,1000,1,1,LTE,,,15378,,,
34.018478,-118.185425,310,410,55578,58417944,,1000,1,1,UMTS,,,,,,
34.018478393555,-118.19160461426,311,490,9645,40894720,,1000,1,1,LTE,,,9645,,,
34.018518,-118.182841,310,260,15482,20892929,,2118,1,1,LTE,,,15482,,,
34.01856,-118.184622,310,260,15401,24275464,,1000,1,1,LTE,,,15401,,,
34.018621,-118.185087,310,260,15490,20527107,,6618,1,1,LTE,,,15490,,,
34.018712,-118.183866,310,260,15490,24275458,,7079,1,1,LTE,,,15490,,,
34.01889,-118.187157,310,260,15470,24275464,,1000,1,1,LTE,,,15470,,,
34.018892,-118.186783,310,260,15470,24275465,,1020,1,1,LTE,,,15470,,,
34.018906,-118.190712,310,260,15470,22881289,,1000,1,1,LTE,,,15470,,,
34.01891,-118.188515,310,260,15482,25311246,,1180,1,1,LTE,,,15482,,,
34.01894,-118.185547,310,410,34642,141439637,,1000,1,1,LTE,,,34642,,,
34.019073,-118.183969,310,260,15482,24275461,,2542,1,1,LTE,,,15482,,,
34.019285,-118.185201,310,260,15482,24275463,,9928,1,1,LTE,,,15482,,,
34.019305,-118.18457,310,260,26259,173155504,,1000,1,1,UMTS,,,,,,
34.019394,-118.192062,310,4145,15,4408,,1000,1,1,CDMA,,,,4145,15,4408
34.0194,-118.185058,310,260,15378,60525059,,1000,1,1,LTE,,,15378,,,
34.019465,-118.182658,310,260,89,30663,,1396,1,1,CDMA,,,,260,89,30663
34.019485,-118.184031,310,260,26259,173155509,,1000,1,1,UMTS,,,,,,
34.019491,-118.18805,310,260,15490,24275457,,9885,1,1,LTE,,,15490,,,
34.019509,-118.191596,310,260,15490,24275459,,4903,1,1,LTE,,,15490,,,
34.019509,-118.189544,310,4145,12,4408,,2620,1,1,CDMA,,,,4145,12,4408
34.019549,-118.181587,311,490,15482,24275463,,1000,1,1,LTE,,,15482,,,
34.019577,-118.18309,310,260,26259,173180957,,1000,1,1,UMTS,,,,,,
34.019643,-118.184441,310,260,26266,94512304,,1000,1,1,UMTS,,,,,,
34.019653,-118.192162,310,260,15470,25311246,,3742,1,1,LTE,,,15470,,,
34.019681,-118.184015,310,260,15482,20527109,,2275,1,1,LTE,,,15482,,,
34.019689,-118.185251,310,260,15482,45223180,,8777,1,1,LTE,,,15482,,,
34.019708,-118.190196,310,260,15490,20892930,,1000,1,1,LTE,,,15490,,,
34.019727,-118.191509,310,260,15482,45223426,,1366,1,1,LTE,,,15482,,,
34.019745,-118.182655,310,260,15470,24519945,,1000,1,1,LTE,,,15470,,,
34.019754,-118.185131,310,260,26259,173155510,,1000,1,1,UMTS,,,,,,
34.019794,-118.189156,312,530,15470,198686522,,1000,1,1,LTE,,,15470,,,
34.019837,-118.183893,310,260,15482,24275464,,8895,1,1,LTE,,,15482,,,
34.01985168457,-118.19160461426,310,410,55578,58417553,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.19160461426,310,260,37734,173155511,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.19160461426,311,490,24105,197355267,,1000,1,1,LTE,,,24105,,,
34.01985168457,-118.18885803223,310,120,24084,197327883,,1000,1,1,LTE,,,24084,,,
34.01985168457,-118.18885803223,310,120,24084,197327875,,1000,1,1,LTE,,,24084,,,
34.01985168457,-118.18885803223,311,490,24105,40758530,,1000,1,1,LTE,,,24105,,,
34.01985168457,-118.18748474121,310,260,86,20392,,1000,1,1,CDMA,,,,260,86,20392
34.01985168457,-118.18748474121,310,410,55578,2992957,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.18748474121,311,870,9645,40758530,,1000,1,1,LTE,,,9645,,,
34.01985168457,-118.18748474121,311,870,24084,197327875,,1000,1,1,LTE,,,24084,,,
34.01985168457,-118.18748474121,311,490,34733,40758530,,1000,1,1,LTE,,,34733,,,
34.01985168457,-118.18748474121,311,490,9645,40758530,,1000,1,1,LTE,,,9645,,,
34.01985168457,-118.18748474121,310,120,9645,40758530,,1000,1,1,LTE,,,9645,,,
34.01985168457,-118.18748474121,311,870,34733,40758530,,1000,1,1,LTE,,,34733,,,
34.01985168457,-118.18748474121,311,870,24105,197327875,,1000,1,1,LTE,,,24105,,,
34.01985168457,-118.1861114502,310,410,55560,55009701,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.1861114502,310,260,26268,32919465,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.1861114502,310,260,37734,173155504,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.1861114502,310,120,34733,198077755,,1000,1,1,LTE,,,34733,,,
34.01985168457,-118.1861114502,311,870,24105,198077747,,1000,1,1,LTE,,,24105,,,
34.01985168457,-118.1861114502,311,870,24105,198077755,,1000,1,1,LTE,,,24105,,,
34.01985168457,-118.18473815918,310,260,26259,173155506,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.18473815918,310,260,26259,32959674,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.18473815918,311,2,53,10563,,1000,1,1,LTE,,,53,,,
34.01985168457,-118.18336486816,310,410,55578,58427699,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.18336486816,310,410,55578,58417945,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.18336486816,310,410,55051,55352,,1000,1,1,GSM,,,,,,
34.01985168457,-118.18336486816,310,260,26268,173155008,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.18199157715,310,4145,15,470,,1000,1,1,CDMA,,,,4145,15,470
34.01985168457,-118.18199157715,311,870,9645,40758528,,1000,1,1,LTE,,,9645,,,
34.01985168457,-118.18199157715,311,480,12546,12778753,,1000,1,1,LTE,,,12546,,,
34.01985168457,-118.18199157715,311,490,9645,40758528,,1000,1,1,LTE,,,9645,,,
34.01985168457,-118.18199157715,310,120,9645,40758528,,1000,1,1,LTE,,,9645,,,
34.01985168457,-118.18199157715,310,260,26268,229537735,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.18199157715,311,870,34733,40758528,,1000,1,1,LTE,,,34733,,,
34.01985168457,-118.18199157715,310,260,37734,173176781,,1000,1,1,UMTS,,,,,,
34.01985168457,-118.18199157715,311,490,24105,40758528,,1000,1,1,LTE,,,24105,,,
34.01985168457,-118.18199157715,311,870,24105,198077233,,1000,1,1,LTE,,,24105,,,
34.019852,-118.191376,310,260,26268,173155509,,1000,1,1,UMTS,,,,,,
34.019852,-118.190384,310,260,26268,32959674,,1000,1,1,UMTS,,,,,,
34.019852,-118.188858,310,260,37734,173155509,,1000,1,1,UMTS,,,,,,
34.019852,-118.188343,310,410,55051,16307,,1000,1,1,CDMA,,,,410,55051,16307
34.019852,-118.187943,310,120,34733,198077747,,1000,1,1,LTE,,,34733,,,
34.019852,-118.187794,310,120,24105,198077747,,1000,1,1,LTE,,,24105,,,
34.019852,-118.186878,310,120,24105,198077755,,1000,1,1,LTE,,,24105,,,
34.019852,-118.186154,310,410,55051,16301,,1000,1,1,CDMA,,,,410,55051,16301
34.019855,-118.185944,310,260,15482,45067275,,1000,1,1,LTE,,,15482,,,
34.019873,-118.182739,310,260,15482,48652862,,1000,1,1,LTE,,,15482,,,
34.019898,-118.182533,311,480,12546,12631576,,2336,1,1,LTE,,,12546,,,
34.019942,-118.184317,310,260,15482,48652805,,1000,1,1,LTE,,,15482,,,
34.019959,-118.191635,310,410,55578,58394427,,1000,1,1,UMTS,,,,,,
34.019978,-118.190229,310,260,15366,227128197,,1000,1,1,LTE,,,15366,,,
34.019993,-118.191288,310,120,24105,197327875,,1000,1,1,LTE,,,24105,,,
34.02,-118.186096,310,260,15482,20527112,,9261,1,1,LTE,,,15482,,,
34.020017,-118.18854,310,260,15401,48685711,,1000,1,1,LTE,,,15401,,,
34.020023,-118.19109,310,120,24087,198145337,,1000,1,1,LTE,,,24087,,,
34.020029,-118.190364,310,260,86,20393,,1000,1,1,CDMA,,,,260,86,20393
34.020032,-118.181992,310,260,15378,60525057,,1000,1,1,LTE,,,15378,,,
34.020035,-118.182297,311,490,15482,21000713,,1000,1,1,LTE,,,15482,,,
34.020036,-118.191765,310,410,55578,58417547,,1000,1,1,UMTS,,,,,,
34.020036,-118.188558,310,260,15490,24275461,,6140,1,1,LTE,,,15490,,,
34.020039,-118.187057,310,410,34642,141449405,,1000,1,1,LTE,,,34642,,,
34.020048,-118.186194,310,410,34642,141449226,,1404,1,1,LTE,,,34642,,,
34.020049,-118.183245,310,260,15401,48685710,,1000,1,1,LTE,,,15401,,,
34.020054,-118.18335,310,260,15482,227128196,,1000,1,1,LTE,,,15482,,,
34.020056,-118.191742,310,260,15401,24275466,,1000,1,1,LTE,,,15401,,,
34.020073,-118.186349,310,260,15401,48685709,,1000,1,1,LTE,,,15401,,,
34.020084,-118.183495,312,250,15482,197327875,,1000,1,1,LTE,,,15482,,,
34.020085,-118.191581,310,260,86,30602,,1835,1,1,CDMA,,,,260,86,30602
34.020085,-118.182933,310,260,15378,60525067,,1000,1,1,LTE,,,15378,,,
34.02009,-118.183468,310,260,15401,48685700,,1000,1,1,LTE,,,15401,,,
34.020101,-118.187559,310,260,15482,24275457,,9377,1,1,LTE,,,15482,,,
34.020112,-118.191793,310,260,15401,48685699,,1000,1,1,LTE,,,15401,,,
34.020123,-118.186241,310,410,34642,141800713,,1000,1,1,LTE,,,34642,,,
34.020161,-118.18924,310,260,15470,20661001,,1000,1,1,LTE,,,15470,,,
34.020188,-118.186051,310,260,15482,20527216,,1000,1,1,LTE,,,15482,,,
34.020191,-118.18396,310,260,15378,60525119,,1000,1,1,LTE,,,15378,,,
34.020195,-118.181648,310,120,34733,198077233,,1000,1,1,LTE,,,34733,,,
34.02021,-118.190582,310,260,15482,20892935,,1000,1,1,LTE,,,15482,,,
34.02021,-118.190582,310,260,15482,20892937,,1000,1,1,LTE,,,15482,,,
34.02021,-118.190582,310,260,15482,22009612,,1000,1,1,LTE,,,15482,,,
34.02021,-118.190582,310,260,15482,20727048,,1000,1,1,LTE,,,15482,,,
34.020234,-118.189503,310,260,15401,24275468,,2280,1,1,LTE,,,15401,,,
34.020245,-118.191757,310,260,15401,48685701,,1000,1,1,LTE,,,15401,,,
34.020249,-118.186333,310,260,15401,24275463,,2547,1,1,LTE,,,15401,,,
34.020258,-118.189984,310,260,15482,24275466,,6867,1,1,LTE,,,15482,,,
34.020271,-118.185585,310,410,34642,141800714,,1000,1,1,LTE,,,34642,,,
34.020285,-118.189974,310,260,15482,20527217,,1000,1,1,LTE,,,15482,,,
34.020287,-118.191803,310,260,15482,20892933,,1000,1,1,LTE,,,15482,,,
34.0203,-118.187,310,260,3963392,7671849261,,1000,1,1,NR,,,3963392,,,
34.020325,-118.187035,311,480,,12587552,,1000,1,1,LTE,,,,,,
34.020344,-118.192406,310,410,34642,143217679,,4327,1,1,LTE,,,34642,,,
34.020344,-118.188515,310,260,16290,21000713,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,21000706,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,24541448,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,20698885,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,24541447,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,24541441,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,25535747,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,25535745,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,20685313,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,20685315,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,20685314,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,21944065,,1000,1,1,LTE,,,16290,,,
34.020344,-118.188515,310,260,16290,24559873,,1000,1,1,LTE,,,16290,,,
34.020378,-118.183468,310,410,34642,143217813,,1182,1,1,LTE,,,34642,,,
34.020391,-118.191973,310,260,15470,25311236,,7513,1,1,LTE,,,15470,,,
34.02042,-118.192368,311,480,,12587542,,1000,1,1,LTE,,,,,,
34.020462,-118.184052,310,120,24105,198077241,,1000,1,1,LTE,,,24105,,,
34.020537,-118.186111,310,260,15482,24275458,,8137,1,1,LTE,,,15482,,,
34.020538,-118.181992,310,410,55578,25366,,1000,1,1,CDMA,,,,410,55578,25366
34.020604,-118.185854,310,260,15490,20527109,,6377,1,1,LTE,,,15490,,,
34.020683,-118.190855,310,260,15482,20527113,,8940,1,1,LTE,,,15482,,,
34.020683,-118.189568,310,410,34617,142422018,,1000,1,1,LTE,,,34617,,,
34.02069,-118.189258,310,260,26266,94512303,,1000,1,1,UMTS,,,,,,
34.020725,-118.184943,310,260,15490,20527112,,4905,1,1,LTE,,,15490,,,
34.020731,-118.182509,310,260,15366,22127368,,1497,1,1,LTE,,,15366,,,
34.020813,-118.191742,310,120,24105,197327891,,1000,1,1,LTE,,,24105,,,
34.020882,-118.191948,310,260,26268,173180958,,1000,1,1,UMTS,,,,,,
34.020944,-118.184145,310,120,24105,198077233,,1000,1,1,LTE,,,24105,,,
34.020954,-118.192402,310,260,15470,24275468,,1000,1,1,LTE,,,15470,,,
34.020982,-118.19008,310,410,34642,143217672,,8416,1,1,LTE,,,34642,,,
34.021048,-118.182191,311,490,34733,40758528,,1000,1,1,LTE,,,34733,,,
34.021153,-118.191685,310,410,34642,143217686,,5690,1,1,LTE,,,34642,,,
34.021224975586,-118.19160461426,310,260,26259,173155508,,1000,1,1,UMTS,,,,,,
34.021224975586,-118.19160461426,310,410,34642,58417547,,1000,1,1,LTE,,,34642,,,
34.021224975586,-118.19160461426,310,260,26268,173166505,,1000,1,1,UMTS,,,,,,
34.021224975586,-118.19023132324,310,260,7492,20393,,1000,1,1,CDMA,,,,260,7492,20393
34.021224975586,-118.19023132324,310,410,55578,3651387,,1000,1,1,UMTS,,,,,,
34.021224975586,-118.19023132324,311,480,12546,89578784,,1000,1,1,LTE,,,12546,,,
34.021224975586,-118.18885803223,311,490,24087,197348353,,1000,1,1,LTE,,,24087,,,
34.021224975586,-118.18336486816,310,410,55578,58417942,,1000,1,1,UMTS,,,,,,
34.021224975586,-118.18199157715,310,260,15470,183640124,,1000,1,1,LTE,,,15470,,,
34.021225,-118.190575,310,260,26273,20393,,1000,1,1,CDMA,,,,260,26273,20393
34.021275,-118.191051,310,260,15490,20527113,,4375,1,1,LTE,,,15490,,,
34.021496,-118.182361,310,410,34642,142915850,,4806,1,1,LTE,,,34642,,,
34.021511,-118.18186,310,260,15482,45223171,,1056,1,1,LTE,,,15482,,,
34.021561,-118.18824,310,260,15482,197327875,,1000,1,1,LTE,,,15482,,,
34.021683,-118.189774,310,2,9,2723,,1000,1,1,CDMA,,,,2,9,2723
34.021683,-118.187485,310,2,48,5474,,1000,1,1,CDMA,,,,2,48,5474
34.021713,-118.186234,310,260,15366,20527112,,1000,1,1,LTE,,,15366,,,
34.021722,-118.190031,310,260,15490,24275460,,6413,1,1,LTE,,,15490,,,
34.021807,-118.19056,311,480,12546,89387552,,1000,1,1,LTE,,,12546,,,
34.021812,-118.190998,310,260,15482,48685700,,1000,1,1,LTE,,,15482,,,
34.021845,-118.188512,310,260,26259,173155503,,3184,1,1,UMTS,,,,,,
34.021912,-118.188858,310,260,26273,229527468,,1000,1,1,UMTS,,,,,,
34.021971,-118.190177,311,480,12546,12587552,,6826,1,1,LTE,,,12546,,,
34.022002,-118.184719,310,410,34642,141449233,,1151,1,1,LTE,,,34642,,,
34.022118,-118.191417,310,410,55578,58397790,,4957,1,1,UMTS,,,,,,
34.022141,-118.189774,310,260,26273,20396,,1000,1,1,CDMA,,,,260,26273,20396
34.022421,-118.187319,310,410,34642,142915857,,4771,1,1,LTE,,,34642,,,
34.022562,-118.191236,310,260,26259,173166511,,4921,1,1,UMTS,,,,,,
34.02257,-118.191761,310,260,15470,45222913,,1000,1,1,LTE,,,15470,,,
34.022598,-118.189316,310,260,26259,173180958,,1000,1,1,UMTS,,,,,,
34.022598266602,-118.19160461426,311,2,9,2723,,1000,1,1,LTE,,,9,,,
34.022598266602,-118.19023132324,310,260,86,20391,,1000,1,1,CDMA,,,,260,86,20391
34.022598266602,-118.18885803223,311,490,24084,197327873,,1000,1,1,LTE,,,24084,,,
34.022598266602,-118.18336486816,310,260,26259,173166504,,1000,1,1,UMTS,,,,,,
34.022634,-118.188341,310,120,24087,198682417,,1000,1,1,LTE,,,24087,,,
34.022646,-118.187493,310,260,15482,45223181,,8504,1,1,LTE,,,15482,,,
34.022884,-118.191574,310,260,15482,20527110,,1399,1,1,LTE,,,15482,,,
34.022924,-118.185026,310,410,34642,142915864,,6432,1,1,LTE,,,34642,,,
34.022967,-118.188332,310,260,15490,45222914,,1496,1,1,LTE,,,15490,,,
34.023056,-118.189774,310,260,26273,229527465,,1000,1,1,UMTS,,,,,,
34.023374,-118.188951,310,260,15482,48652804,,1000,1,1,LTE,,,15482,,,
34.023406,-118.184252,310,260,26259,173166510,,1000,1,1,UMTS,,,,,,
34.023533,-118.185275,310,260,15482,20527106,,3643,1,1,LTE,,,15482,,,
34.023659,-118.191849,310,260,15460,20527107,,1000,1,1,LTE,,,15460,,,
34.023666,-118.191406,310,260,15490,25311235,,1000,1,1,LTE,,,15490,,,
34.023738,-118.182603,310,260,15482,45223182,,1001,1,1,LTE,,,15482,,,
34.023783,-118.191677,310,260,26266,94523310,,1000,1,1,UMTS,,,,,,
34.023804,-118.192299,310,260,15470,45222924,,1000,1,1,LTE,,,15470,,,
34.023834,-118.191082,310,260,15482,20527107,,8458,1,1,LTE,,,15482,,,
34.023889,-118.190296,310,260,15490,20527106,,3307,1,1,LTE,,,15490,,,
