lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.203873,-118.87928,310,260,26264,107668478,,1000,1,1,UMTS,,,,,,
34.204286,-118.879262,310,410,55567,57360483,,2610,1,1,UMTS,,,,,,
34.204667,-118.883338,310,260,26264,107643535,,11464,1,1,UMTS,,,,,,
34.204812,-118.878796,310,260,15301,44860674,,1000,1,1,LTE,,,15301,,,
34.20524597168,-118.87825012207,310,410,55561,52969577,,1000,1,1,UMTS,,,,,,
34.205542,-118.886849,311,870,15170,201330195,,1000,1,1,LTE,,,15170,,,
34.205692,-118.87825,311,870,15170,202663739,,1000,1,1,LTE,,,15170,,,
34.205863,-118.882097,311,480,10498,10664962,,4756,1,1,LTE,,,10498,,,
34.206493,-118.877089,310,410,34634,192421898,,6461,1,1,LTE,,,34634,,,
34.206619262695,-118.88511657715,310,260,26264,107667788,,1000,1,1,UMTS,,,,,,
34.206902,-118.883085,310,260,26264,107646071,,2819,1,1,UMTS,,,,,,
34.207114,-118.883484,311,870,15170,201330203,,1000,1,1,LTE,,,15170,,,
34.207297,-118.881782,310,260,15170,22254339,,1306,1,1,LTE,,,15170,,,
34.207611,-118.882721,311,870,15170,201330179,,1000,1,1,LTE,,,15170,,,
34.207722,-118.882774,311,870,15170,201330201,,1000,1,1,LTE,,,15170,,,
34.207722,-118.882774,311,870,4,785,,1000,1,1,CDMA,,,,870,4,785
34.207966,-118.88134,310,410,34634,194513303,,1000,1,1,LTE,,,34634,,,
34.207966,-118.88134,310,410,34634,192422084,,1000,1,1,LTE,,,34634,,,
34.207992553711,-118.8809967041,310,410,55567,16489,,1000,1,1,CDMA,,,,410,55567,16489
34.207992553711,-118.87962341309,310,410,55567,16486,,1000,1,1,CDMA,,,,410,55567,16486
34.208387,-118.885126,311,480,10498,10664982,,4675,1,1,LTE,,,10498,,,
34.209107,-118.881439,310,410,34634,192418063,,3610,1,1,LTE,,,34634,,,
34.209366,-118.880497,310,260,72,53251,,1330,1,1,GSM,,,,,,
34.209732,-118.878639,310,410,34634,192418320,,3595,1,1,LTE,,,34634,,,
